priority rank,old URL,old title,old meta description,old page type,current status,clicks,impressions,recommended new route,restore/redirect recommendation,content found yes/no,image found yes/no,legal review status,notes
1,https://chamanlawfirm.com/,Home,,homepage,live production route,1598,78655,/,keep canonical homepage route,yes,yes,not required,Do not create blog article for homepage authority.
2,https://www.chamanlawfirm.com/,Home,,canonical host,redirects to apex,1452,96316,https://chamanlawfirm.com/,keep www to apex redirect,yes,yes,not required,Do not change DNS or host canonical.
3,https://chamanlawfirm.com/about-us/,About,,static page,redirect configured,733,41803,/about,redirect to current About page,yes,yes,not required,Already appropriate as static route.
4,https://chamanlawfirm.com/category/top-law-firm-blog/page/2/,Blog archive,,archive page,not restored as page,5,18,/resources/blog?page=2,review archive redirect later,partial,no,not required,Do not redirect to hidden content; pagination uses query params.
5,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,Gain Nigerian Citizenship By Marriage,,legacy article/static hybrid,redirects to practice area,505,34961,/practice-areas/immigration-services,keep practice redirect unless full article is restored,not confirmed,no,pending,Do not create article without recovered body and review.
6,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,How To Legally Change A Child Surname,,legacy article/static hybrid,redirects to family law,180,10512,/practice-areas/family-law,keep hidden pending source recovery,not confirmed,no,pending,Family law content needs careful lawyer review.
7,https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy/,The Role Of The Judiciary In Nigerian Democracy,,legacy article/static hybrid,redirects to litigation,177,8272,/practice-areas/litigation-dispute-resolution,keep practice redirect pending recovery,not confirmed,no,pending,Potential legal education article if source body is recovered.
8,https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land/,How To Verify Land Title Before Buying Land,,legacy article/static hybrid,redirects to property law,154,8738,/practice-areas/property-real-estate-law,restore as article only after source/image review,not confirmed,no,pending,High property value; candidate for future recovery.
9,https://chamanlawfirm.com/the-nigerian-legal-system/,The Nigerian Legal System,,legacy article/static hybrid,unrestored,145,21767,/resources/blog/the-nigerian-legal-system,keep hidden pending body recovery,not confirmed,no,pending,Good authority topic but needs body and metadata.
10,https://chamanlawfirm.com/tthe-legal-rights-of-a-wife-after-divorce/,Tthe Legal Rights Of A Wife After Divorce,,legacy article/static hybrid,redirects to family law,138,7285,/practice-areas/family-law,keep practice redirect pending cleanup,not confirmed,no,pending,Typo-heavy old slug/title; lawyer review required.
11,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/,Rights Of A Property Owner In Nigeria,,legacy article/static hybrid,unrestored,105,7442,/resources/blog/rights-of-a-property-owner-in-nigeria,restore later if body/image found,not confirmed,no,pending,Property-law authority candidate.
12,https://chamanlawfirm.com/land-use-act-1978/,Land Use Act 1978,,legacy article/static hybrid,unrestored,96,15652,/resources/blog/land-use-act-1978,restore later if source is clean,not confirmed,no,pending,Possible duplicate/cannibalization with existing Land Use Act posts.
13,https://chamanlawfirm.com/about-chaman-law-firm/,About Chaman Law Firm,,legacy static page,unrestored,83,7680,/about,redirect to current About page,not confirmed,no,not required,Do not publish as blog article.
14,https://chamanlawfirm.com/contact-for-legal-consultation/,Contact For Legal Consultation,,legacy contact page,unrestored,74,7109,/consultation,redirect to consultation after final filtered map review,not confirmed,no,not required,Lead route candidate, not blog content.
15,https://chamanlawfirm.com/documents-to-verify-before-buying-property/,Documents To Verify Before Buying Property,,legacy article/static hybrid,unrestored,63,4881,/resources/blog/documents-to-verify-before-buying-property,restore later if source and image found,not confirmed,no,pending,High property-law value.
