priority,old URL,old title,GSC evidence,current redirect status,existing target,recommended target,target URL,page type,legal status,image status,priority score,recommended action
1,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria,Landlord and Tenant Rights In Nigeria,1579 clicks; 59489 impressions,already configured,/resources/blog/landlord-and-tenant-rights-in-nigeria,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,16535,monitor existing redirect
2,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,Obtaining A Certificate of Occupancy C of O,1173 clicks; 39662 impressions,already configured,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image recovery needed,12277,monitor existing redirect
3,https://chamanlawfirm.com/cac-public-search-guide-nigeria,CAC Public Search Guide Nigeria,1009 clicks; 77699 impressions,already configured,/resources/blog/cac-public-search-guide-nigeria,/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,corporate/commercial,low/medium - editorial and legal review still required,image and alt present in Sanity,11017,monitor existing redirect
4,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria,The Jurisdiction of Courts In Nigeria,770 clicks; 40707 impressions,already configured,/resources/blog/the-jurisdiction-of-courts-in-nigeria,/practice-areas/litigation-dispute-resolution,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,litigation/ADR,low/medium - editorial and legal review still required,image and alt present in Sanity,8107,monitor existing redirect
5,https://chamanlawfirm.com/types-of-tenant-in-nigeria,Types of Tenant In Nigeria,758 clicks; 23316 impressions,already configured,/resources/blog/types-of-tenant-in-nigeria,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,7963,monitor existing redirect
6,https://chamanlawfirm.com/about-us,About Us,733 clicks; 41803 impressions,already configured,/about,/about,https://chamanlawfirm.com/about,general legal education,low/medium - editorial and legal review still required,image recovery needed,7748,monitor existing redirect
7,https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants,Proper Steps To Eviction of Tenants,708 clicks; 32444 impressions; avg position 9.43 from local GSC Pages.csv,already configured,/resources/blog/proper-steps-to-eviction-of-tenants,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,high - lawyer review required before publication,image and alt present in Sanity,7554,monitor existing redirect
8,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin,4 Steps On How To Deal With A Bad Landlordin,570 clicks; 14414 impressions,already configured,/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,5994,monitor existing redirect
9,https://chamanlawfirm.com/how-to-change-name-with-deed-poll,How To Change Name With Deed Poll,531 clicks; 24126 impressions,already configured,/resources/blog/how-to-change-name-with-deed-poll,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,low/medium - editorial and legal review still required,image and alt present in Sanity,5701,monitor existing redirect
10,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage,Gain Nigerian Citizenship By Marriage,505 clicks; 34961 impressions; avg position 11.08 from local GSC Pages.csv,already configured,/practice-areas/immigration-services,/practice-areas/immigration-services,https://chamanlawfirm.com/practice-areas/immigration-services,immigration,high - lawyer review required before publication,image recovery needed,5550,monitor existing redirect
11,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right,Statutory Right of Occupancy Vs Customary Right,503 clicks; 14711 impressions,already configured,/resources/blog/statutory-right-of-occupancy-vs-customary-right,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,general legal education,low/medium - editorial and legal review still required,image and alt present in Sanity,5327,monitor existing redirect
12,https://chamanlawfirm.com/ways-to-prove-ownership-of-land,Ways To Prove Ownership of Land,442 clicks; 28020 impressions,already configured,/resources/blog/ways-to-prove-ownership-of-land,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,property/title,medium - verify current law and facts before publication,image and alt present in Sanity,4850,monitor existing redirect
13,https://chamanlawfirm.com/what-are-elements-of-tax-law,What Are Elements of Tax Law,397 clicks; 10170 impressions,already configured,/resources/blog/what-are-elements-of-tax-law,/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,corporate/commercial,medium - verify current law and facts before publication,image and alt present in Sanity,4222,monitor existing redirect
14,https://chamanlawfirm.com/tax-administration-in-nigeria,Tax Administration In Nigeria,376 clicks; 16882 impressions,already configured,/resources/blog/tax-administration-in-nigeria,/practice-areas/corporate-commercial-law,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,corporate/commercial,medium - verify current law and facts before publication,image and alt present in Sanity,4079,monitor existing redirect
