title,slug,document checked,image is relevant,image is not misleading,no Chaman Properties sales/listing content,no repeated generic principal image problem,alt text accurately describes image and article topic,Sanity image reference is valid,correction applied,correction status,post-approval live image check
"Can A Landlord Increase Rent Arbitrarily In Ogun","can-a-landlord-increase-rent-arbitrarily-in-ogun","drafts.chamanlawfirm.sprint10i.can-a-landlord-increase-rent-arbitrarily-in-ogun","yes","yes","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","yes","yes","no","no correction needed now - image/alt appears relevant but article remains legally blocked","not applicable - no new approval in Sprint 11B"
"Certificate Of Occupancy In Rivers State","certificate-of-occupancy-in-rivers-state","drafts.chamanlawfirm.sprint10h.certificate-of-occupancy-in-rivers-state","yes","yes","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","yes","yes","no","not changed - duplicate public target already exists","not applicable - no new approval in Sprint 11B"
"Challenges Of Implementing The Land Use Act","challenges-of-implementing-the-land-use-act","drafts.chamanlawfirm.sprint10i.challenges-of-implementing-the-land-use-act","yes","yes","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","yes","yes","no","no correction needed now - image/alt appears relevant but article remains legally blocked","not applicable - no new approval in Sprint 11B"
"How Do I Legally Evict a Tenant in Ogun State?","how-do-i-legally-evict-a-tenant-in-ogun-state","drafts.chamanlawfirm.phase5c.how-do-i-legally-evict-a-tenant-in-ogun-state","no","needs manual image review","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","no","yes","no","not changed - image correction deferred until lawyer review clears article","not applicable - no new approval in Sprint 11B"
"How to calculate stamp duty for property transactions in Ogun?","how-to-calculate-stamp-duty-chaman-law-firm","drafts.chamanlawfirm.sprint10h.how-to-calculate-stamp-duty-chaman-law-firm","yes","yes","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","yes","yes","no","not changed - duplicate public target already exists","not applicable - no new approval in Sprint 11B"
"Severe Repercussions of Land Grabbing in Nigeria: What Property Owners Must Know","land-grabbing-the-legal-consequences-of","drafts.chamanlawfirm.sprint10h.land-grabbing-the-legal-consequences-of","yes","yes","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","yes","yes","no","no correction needed now - image/alt appears relevant but article remains legally blocked","not applicable - no new approval in Sprint 11B"
"Property How To Place A Caveat","property-how-to-place-a-caveat","drafts.chamanlawfirm.sprint10h.property-how-to-place-a-caveat","yes","yes","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","yes","yes","no","no correction needed now - image/alt appears relevant but article remains legally blocked","not applicable - no new approval in Sprint 11B"
"THE ROLE OF FAMILY COURT IN RELATION TO CHILD PROTECTION IN NIGERIA","the-role-of-family-court-in-relation-to-child-protect-in-nigeria","drafts.chamanlawfirm.sprint10h.the-role-of-family-court-in-relation-to-child-protect-in-nigeria","yes","yes","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","yes","yes","no","not changed - duplicate public target already exists","not applicable - no new approval in Sprint 11B"
"Void and Voidable Marriages in Nigeria: Understanding Legal Implications","void-and-voidable-marriages-in-nigeria","drafts.chamanlawfirm.sprint10h.void-and-voidable-marriages-in-nigeria","yes","yes","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","yes","yes","no","no correction needed now - image/alt appears relevant but article remains legally blocked","not applicable - no new approval in Sprint 11B"
"rights-of-a-property-owner-in-nigeria","rights-of-a-property-owner-in-nigeria","not found","no","needs manual image review","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","no","no","no","not changed - source record missing","not applicable - no new approval in Sprint 11B"
"letters-of-administration-in-nigeria","letters-of-administration-in-nigeria","not found","no","needs manual image review","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","no","no","no","not changed - source record missing","not applicable - no new approval in Sprint 11B"
"debt-recovery-lawyer-nigeria","debt-recovery-lawyer-nigeria","not found","no","needs manual image review","no Chaman Properties image signal found in Sanity metadata reviewed","no repeated-principal-image signal found in Sanity metadata reviewed","no","no","no","not changed - source record missing","not applicable - no new approval in Sprint 11B"
