title,slug,old URL,issue category,legal sensitivity,duplicate/cannibalization risk,current-law verification needed,title cleanup needed,image/alt issue,category/practice issue,recommended action,approval readiness,notes
"Can A Landlord Increase Rent Arbitrarily In Ogun","can-a-landlord-increase-rent-arbitrarily-in-ogun","https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun/","Tenancy/current-law and self-help review","Tenancy/current-law and self-help review","medium","yes","yes","no","repaired or already aligned","keep hidden until lawyer-current-law review is manually confirmed","blocked by unresolved lawyer review","Best hidden draft: drafts.chamanlawfirm.sprint10i.can-a-landlord-increase-rent-arbitrarily-in-ogun; body blocks: 82; categories: Property and tenancy law; Tenancy, landlord and eviction."
"Certificate Of Occupancy In Rivers State","certificate-of-occupancy-in-rivers-state","https://chamanlawfirm.com/certificate-of-occupancy-in-rivers-state/","C of O/current authority and duplicate review","C of O/current authority and duplicate review","high - public approved version already exists","yes","yes","no","repaired or already aligned","keep hidden; public version already exists","blocked by duplicate/live public target","Approved public document exists: chamanlawfirm-sprint10l-certificate-of-occupancy-in-rivers-state. Do not approve duplicate hidden drafts."
"Challenges Of Implementing The Land Use Act","challenges-of-implementing-the-land-use-act","https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act/","Land Use Act/current-law and cannibalization review","Land Use Act/current-law and cannibalization review","high","yes","yes","no","repaired or already aligned","keep hidden until lawyer-current-law review is manually confirmed","blocked by unresolved lawyer review","Best hidden draft: drafts.chamanlawfirm.sprint10i.challenges-of-implementing-the-land-use-act; body blocks: 55; categories: Property And Real Estate Law; Land ownership, title and registration."
"How Do I Legally Evict a Tenant in Ogun State?","how-do-i-legally-evict-a-tenant-in-ogun-state","https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state/","Tenancy/current-law and self-help review","Tenancy/current-law and self-help review","medium","yes","review","yes","repaired or already aligned","keep hidden; image or alt relevance incomplete","blocked by image/alt relevance","Best hidden draft: drafts.chamanlawfirm.phase5c.how-do-i-legally-evict-a-tenant-in-ogun-state; body blocks: 87; categories: Property and tenancy law; Tenancy, landlord and eviction."
"How to calculate stamp duty for property transactions in Ogun?","how-to-calculate-stamp-duty-chaman-law-firm","https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm/","Stamp duty/current-rate review","Stamp duty/current-rate review","high - public approved version already exists","yes","review","no","repaired or already aligned","keep hidden; public version already exists","blocked by duplicate/live public target","Approved public document exists: chamanlawfirm-sprint10i-how-to-calculate-stamp-duty-chaman-law-firm. Do not approve duplicate hidden drafts."
"Severe Repercussions of Land Grabbing in Nigeria: What Property Owners Must Know","land-grabbing-the-legal-consequences-of","https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of/","Land-grabbing/current-law and overstatement review","Land-grabbing/current-law and overstatement review","medium","yes","review","no","repaired or already aligned","keep hidden until lawyer-current-law review is manually confirmed","blocked by unresolved lawyer review","Best hidden draft: drafts.chamanlawfirm.sprint10h.land-grabbing-the-legal-consequences-of; body blocks: 11; categories: Property And Real Estate Law; Land disputes and trespass."
"Property How To Place A Caveat","property-how-to-place-a-caveat","https://chamanlawfirm.com/property-how-to-place-a-caveat/","Property title/procedure review","Property title/procedure review","medium","yes","yes","no","repaired or already aligned","keep hidden until lawyer-current-law review is manually confirmed","blocked by unresolved lawyer review","Best hidden draft: drafts.chamanlawfirm.sprint10h.property-how-to-place-a-caveat; body blocks: 22; categories: Property And Real Estate Law; Property title and perfection."
"THE ROLE OF FAMILY COURT IN RELATION TO CHILD PROTECTION IN NIGERIA","the-role-of-family-court-in-relation-to-child-protect-in-nigeria","https://chamanlawfirm.com/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/","Family/child-protection sensitivity review","Family/child-protection sensitivity review","high - public approved version already exists","yes","yes","no","repaired or already aligned","keep hidden; public version already exists","blocked by duplicate/live public target","Approved public document exists: chamanlawfirm-sprint10i-the-role-of-family-court-in-relation-to-child-protect-in-nigeria. Do not approve duplicate hidden drafts."
"Void and Voidable Marriages in Nigeria: Understanding Legal Implications","void-and-voidable-marriages-in-nigeria","https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria/","Family/marriage validity sensitivity review","Family/marriage validity sensitivity review","medium","yes","review","no","repaired or already aligned","keep hidden until lawyer-current-law review is manually confirmed","blocked by unresolved lawyer review","Best hidden draft: drafts.chamanlawfirm.sprint10h.void-and-voidable-marriages-in-nigeria; body blocks: 59; categories: Family Law; Family, marriage and divorce."
"rights-of-a-property-owner-in-nigeria","rights-of-a-property-owner-in-nigeria","https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/","Property-rights duplicate review","Property-rights duplicate review","high","yes","review","unknown","unknown","recover source before approval","not ready","No matching hidden or public Sanity post found in this Sprint 11A query."
"letters-of-administration-in-nigeria","letters-of-administration-in-nigeria","https://chamanlawfirm.com/letters-of-administration-in-nigeria/","Probate/current-procedure review","Probate/current-procedure review","medium","yes","review","unknown","unknown","recover source before approval","not ready","No matching hidden or public Sanity post found in this Sprint 11A query."
"debt-recovery-lawyer-nigeria","debt-recovery-lawyer-nigeria","https://chamanlawfirm.com/debt-recovery-lawyer-nigeria/","Service-page cannibalization and claims review","Service-page cannibalization and claims review","medium","yes","review","unknown","unknown","recover source before approval","not ready","No matching hidden or public Sanity post found in this Sprint 11A query."
