old URL,old title,slug,source type,content type,body recovered yes/no,body quality,image recovered yes/no,metadata recovered yes/no,draft/source record created yes/no,public-safe non-dotted record needed yes/no,hidden/source repair applied yes/no,legal risk,current-law risk,duplicate/cannibalization risk,recommended next action,priority score,notes
https://chamanlawfirm.com/7-steps-on-how-to-use-small-claims-court,7 Steps On How To Use Small Claims Court,7-steps-on-how-to-use-small-claims-court,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,100,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/legal-requirementsfor-registering-a-property,Legal Requirementsfor Registering A Property,legal-requirementsfor-registering-a-property,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review; unsupported outcome claim,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,99,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/cyber-crime-awareness-campaigns-10-powerful,Cyber Crime Awareness Campaigns 10 Powerful,cyber-crime-awareness-campaigns-10-powerful,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,98,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/inheritance-rights-under-ogun-customary-law,Inheritance Rights Under Ogun Customary Law,inheritance-rights-under-ogun-customary-law,Sanity dotted hidden/source record,blog,yes,thin/needs cleanup,no,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,97,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/family-property-disputes-in-lagos,Family Property Disputes In Lagos,family-property-disputes-in-lagos,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,dispute-resolution wording requires lawyer review,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,96,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/defenses-and-bars-to-a-petition-for-divorce,Defenses And Bars To A Petition For Divorce,defenses-and-bars-to-a-petition-for-divorce,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,family-status topic requires lawyer review,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,95,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/challenges-in-debt-recovery-and-solutions,Challenges In Debt Recovery And Solutions,challenges-in-debt-recovery-and-solutions,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,94,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/land-use-act-impact-land-ownership-and-titles,Land Use Act Impact Land Ownership And Titles,land-use-act-impact-land-ownership-and-titles,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,93,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/filing-for-divorce-in-nigeria-a-comprehen,Filing For Divorce In Nigeria A Comprehen,filing-for-divorce-in-nigeria-a-comprehen,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,family-status topic requires lawyer review,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,92,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/registering-a-private-security-company,Registering A Private Security Company,registering-a-private-security-company,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,redirect conflict: /practice-areas/corporate-commercial-law,keep hidden for cleanup/lawyer review,91,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/powerful-steps-grant-of-probate-in-lagos-state,Powerful Steps Grant Of Probate In Lagos State,powerful-steps-grant-of-probate-in-lagos-state,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,90,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/family-disputes-with-international-dimension,Family Disputes With International Dimension,family-disputes-with-international-dimension,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,family-status topic requires lawyer review,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,89,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/navigating-the-probate-registry-in-ogun-state,Navigating the Probate Registry in Ogun State,navigating-the-probate-registry-in-ogun-state,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,candidate for fast publish review,88,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/how-to-verify-property-titles-in-nigeria,How to Verify Property Titles in Nigeria,how-to-verify-property-titles-in-nigeria,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,87,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/division-in-divorce-proceedings,Division of Property in Divorce Proceedings in Nigeria,division-in-divorce-proceedings,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,candidate for fast publish review,86,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/how-to-verify-a-propertys-survey-plan-in-lagos,How To Verify A Propertys Survey Plan In Lagos,how-to-verify-a-propertys-survey-plan-in-lagos,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,85,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/calculate-land-use-charge-chaman-law-firm,How to Calculate Land Use Charge in Nigeria,calculate-land-use-charge-chaman-law-firm,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,84,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/how-does-the-land-use-act-involve-the-surveyor-generals-office,How Does The Land Use Act Involve The Surveyor Generals Office,how-does-the-land-use-act-involve-the-surveyor-generals-office,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,dispute-resolution wording requires lawyer review,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,83,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/strategies-to-handle-a-bad-tenant-legally,Legal Strategies for Handling Difficult Tenants in Nigeria,strategies-to-handle-a-bad-tenant-legally,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,82,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/verify-land-titles-before-buying-property,How to Verify Land Titles Before Buying Property,verify-land-titles-before-buying-property,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,off-brand/property-sales wording; current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,81,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/business-registration-process-in-lagosa-com,Business Registration Process in Lagos,business-registration-process-in-lagosa-com,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,candidate for fast publish review,80,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/difference-between-excision-gazette-c-of-o,"Difference Between Excision, Gazette and Certificate of Occupancy",difference-between-excision-gazette-c-of-o,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,79,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/family-courts-and-specialized-tribunals,Family Courts And Specialized Tribunals,family-courts-and-specialized-tribunals,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic; family-status topic requires lawyer review,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,78,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/9-cyber-crime-prosecution-breakthrough-ch,Cybercrime Prosecution in Nigeria,9-cyber-crime-prosecution-breakthrough-ch,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,77,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/regarding-the-custody-of-a-child,Regarding The Custody Of A Child,regarding-the-custody-of-a-child,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic; family-status topic requires lawyer review,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,76,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/real-estate-title-frauds-in-nigeria,Real Estate Title Frauds In Nigeria,real-estate-title-frauds-in-nigeria,Sanity dotted hidden/source record,blog,yes,thin/needs cleanup,no,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,75,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/dealing-with-abadtenantinlagos-for-landlords,Dealing With Abadtenantinlagos For Landlords,dealing-with-abadtenantinlagos-for-landlords,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,possible unsafe self-help wording; current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,74,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/how-to-perfect-a-property-title-in-nigeria,How to Perfect a Property Title in Nigeria,how-to-perfect-a-property-title-in-nigeria,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,73,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/criteria-for-patent-in-nigeria,Criteria for Patent Protection in Nigeria,criteria-for-patent-in-nigeria,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,72,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/what-are-the-penalties-for-fake-land-documents,Penalties for Fake Land Documents in Nigeria,what-are-the-penalties-for-fake-land-documents,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,71,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/estate-administration-in-lagos-state,Estate Administration in Lagos State,estate-administration-in-lagos-state,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,unsupported outcome claim,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,70,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/mechanisms-for-the-childs-rights-act,Mechanisms Under the Child Rights Act in Nigeria,mechanisms-for-the-childs-rights-act,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,69,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/drafting-company-bylaws-in-nigeria-a-compre,Drafting Company Bylaws in Nigeria,drafting-company-bylaws-in-nigeria-a-compre,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,candidate for fast publish review,68,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/the-essential-ethics-of-debt-recovery,Ethical Debt Recovery in Nigeria,the-essential-ethics-of-debt-recovery,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,possible unsafe self-help wording; current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,67,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/4-proven-features-of-customary-marriage-and-the-bill-of-rights-conflicting-interests,Customary Marriage and Constitutional Rights in Nigeria,4-proven-features-of-customary-marriage-and-the-bill-of-rights-conflicting-interests,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic; family-status topic requires lawyer review,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,66,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/financing-real-estate-investments-in-nigeria,Financing Real Estate Investments In Nigeria,financing-real-estate-investments-in-nigeria,Sanity dotted hidden/source record,blog,yes,complete,no,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic; unsupported outcome claim,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,65,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/how-to-register-a-tech-company-in-nigeria,How to Register a Tech Company in Nigeria,how-to-register-a-tech-company-in-nigeria,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,low automated risk,low automated risk,no configured redirect conflict detected,candidate for fast publish review,64,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/understanding-the-land-use-act-in-nigeria,Understanding the Land Use Act in Nigeria,understanding-the-land-use-act-in-nigeria,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,63,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/modernizing-customary-marriage,Modernizing Customary Marriage in Nigeria,modernizing-customary-marriage,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,dry-run only,family-status topic requires lawyer review; unsupported outcome claim,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,62,Bulk track records recovered source availability first; publication remains gated.
