priority rank,legacy post ID,old URL,old slug,old title,old SEO title,old meta description,clicks,impressions,current production status,current redirect target,content recovered yes/no,image recovered yes/no,proposed Sanity slug,proposed public URL,approval status,redirect replacement status,notes
1,60189,https://chamanlawfirm.com/navigating-the-probate-registry-in-ogun-state/,navigating-the-probate-registry-in-ogun-state,Navigating the Probate Registry in Ogun State,Powerful Step: Navigating the Probate Registry in Ogun State,"Navigating the Probate Registry in Ogun State with expert legal support. Chaman Law Firm assists with probate, wills, and estate documentation.",26,769,selected for Sprint 10N recovery,not currently redirected,yes,yes,navigating-the-probate-registry-in-ogun-state,/resources/blog/navigating-the-probate-registry-in-ogun-state,candidate for controlled approval,pending exact article redirect after approval,
2,58507,https://chamanlawfirm.com/how-to-verify-property-titles-in-nigeria/,how-to-verify-property-titles-in-nigeria,How to Verify Property Titles in Nigeria,How to Verify Property Titles in Nigeria,Learn how to verify property titles in Nigeria before buying land or property. Avoid scams and secure your investment with this legal step-by-step. . .,25,5629,selected for Sprint 10N recovery,not currently redirected,yes,yes,how-to-verify-property-titles-in-nigeria,/resources/blog/how-to-verify-property-titles-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
3,46611,https://chamanlawfirm.com/division-in-divorce-proceedings/,division-in-divorce-proceedings,Division of Property in Divorce Proceedings in Nigeria,Division of Property in Divorce Proceedings in Nigeria,"Divorce is a complex process, and one of the most contentious aspects often involves the division of property. In Nigeria, property division during divorce proceedings can be particularly intricate due to varying laws,",25,3451,selected for Sprint 10N recovery,not currently redirected,yes,yes,division-in-divorce-proceedings,/resources/blog/division-in-divorce-proceedings,candidate for controlled approval,pending exact article redirect after approval,
4,61754,https://chamanlawfirm.com/how-to-verify-a-propertys-survey-plan-in-lagos/,how-to-verify-a-propertys-survey-plan-in-lagos,How To Verify A Propertys Survey Plan In Lagos,Powerful Steps: Property’s Survey Plan / Chaman Law Firm,How to Verify a Property’s Survey Plan -,25,2630,selected for Sprint 10N recovery,not currently redirected,yes,no,how-to-verify-a-propertys-survey-plan-in-lagos,/resources/blog/how-to-verify-a-propertys-survey-plan-in-lagos,hidden draft only,do not replace while hidden,Meta description may need improvement.; No recoverable article-specific image found.
5,60937,https://chamanlawfirm.com/calculate-land-use-charge-chaman-law-firm/,calculate-land-use-charge-chaman-law-firm,How to Calculate Land Use Charge in Nigeria,Powerful Steps: Calculate Land Use Charge / Chaman Law Firm,Learn how to calculate Land Use Charge in Ogun State- the key components of the charge and applicable rates from Chaman Law Firm,25,1874,selected for Sprint 10N recovery,not currently redirected,yes,yes,calculate-land-use-charge-chaman-law-firm,/resources/blog/calculate-land-use-charge-chaman-law-firm,candidate for controlled approval,pending exact article redirect after approval,
6,10175,https://chamanlawfirm.com/how-does-the-land-use-act-involve-the-surveyor-generals-office/,how-does-the-land-use-act-involve-the-surveyor-generals-office,How Does The Land Use Act Involve The Surveyor Generals Office,How Does The Land Use Act Involve The Surveyor Generals Office,"The Land Use Act of 1978 is a significant piece of legislation in Nigeria, governing land ownership, allocation, and use. It outlines a comprehensive framework for land administration and provides for the establishment",25,1776,selected for Sprint 10N recovery,not currently redirected,yes,yes,how-does-the-land-use-act-involve-the-surveyor-generals-office,/resources/blog/how-does-the-land-use-act-involve-the-surveyor-generals-office,hidden draft only,do not replace while hidden,
7,51410,https://chamanlawfirm.com/strategies-to-handle-a-bad-tenant-legally/,strategies-to-handle-a-bad-tenant-legally,Legal Strategies for Handling Difficult Tenants in Nigeria,Legal Strategies for Handling Difficult Tenants in Nigeria,"Introduction As a landlord in Lagos, one of the most challenging scenarios you may encounter is dealing with a bad tenant. From unpaid rent to property damage or even illegal activities on the premises, troublesome ten",25,1608,selected for Sprint 10N recovery,not currently redirected,yes,yes,strategies-to-handle-a-bad-tenant-legally,/resources/blog/strategies-to-handle-a-bad-tenant-legally,candidate for controlled approval,pending exact article redirect after approval,
8,61097,https://chamanlawfirm.com/verify-land-titles-before-buying-property/,verify-land-titles-before-buying-property,How to Verify Land Titles Before Buying Property,Powerful Steps: Verify Land Titles Before Buying Property,Verify land titles before buying property in Lekki. Chaman Law Firm offers expert legal guidance to ensure safe and secure real estate transactions.,24,6800,selected for Sprint 10N recovery,not currently redirected,yes,yes,verify-land-titles-before-buying-property,/resources/blog/verify-land-titles-before-buying-property,candidate for controlled approval,pending exact article redirect after approval,
9,50057,https://chamanlawfirm.com/business-registration-process-in-lagosa-com/,business-registration-process-in-lagosa-com,Business Registration Process in Lagos,Business Registration Process in Lagos,"Introduction Starting a business in Lagos, Nigeria's economic hub, offers immense opportunities but also requires adherence to specific regulatory processes. Registering your business is a crucial step that legitimizes",24,6371,selected for Sprint 10N recovery,not currently redirected,yes,yes,business-registration-process-in-lagosa-com,/resources/blog/business-registration-process-in-lagosa-com,candidate for controlled approval,pending exact article redirect after approval,
10,61303,https://chamanlawfirm.com/difference-between-excision-gazette-c-of-o/,difference-between-excision-gazette-c-of-o,"Difference Between Excision, Gazette and Certificate of Occupancy","Powerful Steps: Difference Between Excision, Gazette, C of O","Learn difference between Excision, Gazette, C of O and Governor’s Consent in Lekki properties. Chaman Law Firm provides expert legal guidance.",24,3822,selected for Sprint 10N recovery,not currently redirected,yes,yes,difference-between-excision-gazette-c-of-o,/resources/blog/difference-between-excision-gazette-c-of-o,candidate for controlled approval,pending exact article redirect after approval,
