priority rank,old URL,post title,image source,image found yes/no,image uploaded to Sanity yes/no,Sanity image asset reference,alt text,fallback used yes/no,repeated image risk,old repeated image refreshed yes/no,notes
1,https://chamanlawfirm.com/ultimate-legal-guide-to-buying-land-in-niger/,Ultimate Legal Guide To Buying Land In Niger,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/12/images-2024-11-18T173442.411.jpeg,yes,no,,Ultimate Legal Guide To Buying Land In Niger legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
2,https://chamanlawfirm.com/managing-corporate-reputation/,Managing Corporate Reputation,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/03-28.jpg,yes,no,,Managing Corporate Reputation legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
3,https://chamanlawfirm.com/land-registration-in-lagos/,Land Registration In Lagos,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/procedure-for-land-registration-ALpG39peV9uyaZGa-3.webp,yes,no,,Land Registration In Lagos legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
4,https://chamanlawfirm.com/what-property-taxes-must-i-pay-when-buying/,What Property Taxes Must I Pay When Buying,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/What-Property-Taxes-Must-I-Pay-When-Buying-Real-Estate-in-Lekki-768x456.png,yes,no,,What Property Taxes Must I Pay When Buying legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
5,https://chamanlawfirm.com/enhancing-nigerian-immigration-security-2/,Enhancing Nigerian Immigration Security 2,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/Data_IMG.png,yes,no,,Enhancing Nigerian Immigration Security 2 legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
6,https://chamanlawfirm.com/how-to-draft-a-commercial-contract-a-proven/,How to Draft a Commercial Contract in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/701680513244-1170x415.jpg,yes,yes,image-795f020b59792b0a11eb455245ee06eb992fb4c5-1170x415-jpg,How to Draft a Commercial Contract in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,uploaded
7,https://chamanlawfirm.com/4-main-guide-to-land-ownership-in-nigeria/,Guide to Land Ownership in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/12/Guide-to-Land-Ownership-in-Nigeria.webp,yes,yes,image-67300628f6fd738da85243283f57fca38a6ecdcb-1024x1024-webp,Guide to Land Ownership in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,uploaded
8,https://chamanlawfirm.com/how-to-start-a-private-lending-company/,How To Start A Private Lending Company,https://peachpuff-lemur-779915.hostingersite.com/wp-content/uploads/2024/09/whatsapp-image-2023-07-27-at-12.01.11-YbNDo9M8okTN0zbO-3.jpeg,no,no,,How To Start A Private Lending Company legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,image not found in archive from SQL/RankMath/body evidence
9,https://chamanlawfirm.com/piracy-and-its-burden-on-copyright/,Piracy and Copyright Protection in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/what-is-the-position-of-law-on-infringement-posed-on-copyright-AoPy952x1WS333b2-768x456.jpg,yes,yes,image-a70a9dd9120e11e6736a093b48ace2a7cc6bcefa-768x456-jpg,Piracy and Copyright Protection in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,uploaded
10,https://chamanlawfirm.com/lekki-property-when-owner-dies-without-will/,Lekki Property When Owner Dies Without Will,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/What-Happens-to-Lekki-Property-When-Owner-Dies-Without-Will-768x1152.png,yes,no,,Lekki Property When Owner Dies Without Will legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
11,https://chamanlawfirm.com/property-developers-guide-to-tax-compliance/,Property Developers Guide To Tax Compliance,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/What-Are-the-Environmental-Compliance-Requirements-for-Property-Development-in-Lekki-768x456.png,yes,no,,Property Developers Guide To Tax Compliance legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
