priority rank,old URL,slug,title,GSC clicks,GSC impressions,target URL,body/source status,SEO title,meta description,canonical,image status,alt text,author,practice/category,CTA,internal links,legal risk,approval readiness,notes
1,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,obtaining-a-certificate-of-occupancy-c-of-o,REQUIREMENTS FOR OBTAINING A CERTIFICATE OF OCCUPANCY (CofO) IN NIGERIA (LAGOS AND OGUN STATE),1173,39662,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,source body thin/missing,present,present,https://chamanlawfirm.com/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,missing,,"Charles Chukwuma Nkwoka, Esq.",Property and Real Estate Law,missing,present,medium - current-law verification required before publication,keep hidden,body too short or missing; featured image missing; alt text missing or too thin; consultation CTA missing; old source already redirects to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy; medium - current-law verification required before publication
2,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,763,51092,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,source body present,present,present,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,present,THE CONCEPT OF RULE OF LAW IN NIGERIA legal guidance | Chaman Law Firm,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,present,present,medium - current-law verification required before publication,keep hidden,medium - current-law verification required before publication; editorial hype/overclaim
3,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,731,34973,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,source body present,present,present,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,missing,,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,present,present,high - lawyer review required before publication,keep hidden,featured image missing; alt text missing or too thin; high - lawyer review required before publication
4,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,689,48652,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,source body present,present,present,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,missing,,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,present,present,high - lawyer review required before publication,keep hidden,featured image missing; alt text missing or too thin; high - lawyer review required before publication
5,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,LIST OF GOVERNMENT AGENCIES OF NIGERIA,608,70716,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,source body present,present,present,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,missing,,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,present,missing,medium - current-law verification required before publication,keep hidden,featured image missing; alt text missing or too thin; internal link missing; medium - current-law verification required before publication
6,https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Essential Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,373,102871,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,source body present,present,present,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,missing,,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,present,present,high - lawyer review required before publication,keep hidden,featured image missing; alt text missing or too thin; high - lawyer review required before publication
7,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,414,30229,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,source body present,present,present,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,present,Steps On How To Confidently Report Acrimelaw legal guide | Chaman Law Firm,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,present,present,high - lawyer review required before publication,keep hidden,high - lawyer review required before publication
8,https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,263,22517,https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria,source body thin/missing,present,present,https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria,present,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,missing,missing,low/medium - editorial legal review required,keep hidden,body too short or missing; consultation CTA missing; internal link missing
9,https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are The Duties Of Correctional Institutions In Nigeria?,197,25303,https://chamanlawfirm.com/resources/blog/duties-of-correctional-institutions-in-nigeria,source body present,present,present,https://chamanlawfirm.com/resources/blog/duties-of-correctional-institutions-in-nigeria,missing,,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,present,present,high - lawyer review required before publication,keep hidden,featured image missing; alt text missing or too thin; high - lawyer review required before publication; misleading free-service wording
10,https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Revolutionizing Learning: The Powerful Impact Of Technology On Nigerian Education,210,19932,https://chamanlawfirm.com/resources/blog/the-role-of-technology-in-nigerian-education,source body present,present,present,https://chamanlawfirm.com/resources/blog/the-role-of-technology-in-nigerian-education,missing,,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,present,present,blocked - off-brand/property-sales or spam signal,keep hidden,featured image missing; alt text missing or too thin; blocked - off-brand/property-sales or spam signal; editorial hype/overclaim
