"priority","legacy_url","source_path","destination_path","new_canonical","recommended_status","implementation_status","notes"
"1","https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/","/landlord-and-tenant-rights-in-nigeria/","/resources/blog/landlord-and-tenant-rights-in-nigeria","https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"2","https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/","/obtaining-a-certificate-of-occupancy-c-of-o/","/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o","https://chamanlawfirm.com/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"3","https://chamanlawfirm.com/cac-public-search-guide-nigeria/","/cac-public-search-guide-nigeria/","/resources/blog/cac-public-search-guide-nigeria","https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"4","https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/","/the-concept-of-rule-of-law-in-nigeria/","/resources/blog/the-concept-of-rule-of-law-in-nigeria","https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"5","https://chamanlawfirm.com/types-of-tenant-in-nigeria/","/types-of-tenant-in-nigeria/","/resources/blog/types-of-tenant-in-nigeria","https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"6","https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/","/the-jurisdiction-of-courts-in-nigeria/","/resources/blog/the-jurisdiction-of-courts-in-nigeria","https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"7","https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/","/proper-steps-to-eviction-of-tenants/","/resources/blog/proper-steps-to-eviction-of-tenants","https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"8","https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/","/the-ogun-state-tenancy-law-chaman-law-firm/","/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm","https://chamanlawfirm.com/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"9","https://chamanlawfirm.com/building-permit-approval-in-ogun-state/","/building-permit-approval-in-ogun-state/","/resources/blog/building-permit-approval-in-ogun-state","https://chamanlawfirm.com/resources/blog/building-permit-approval-in-ogun-state","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"10","https://chamanlawfirm.com/how-to-change-name-with-deed-poll/","/how-to-change-name-with-deed-poll/","/resources/blog/how-to-change-name-with-deed-poll","https://chamanlawfirm.com/resources/blog/how-to-change-name-with-deed-poll","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"11","https://chamanlawfirm.com/ways-to-prove-ownership-of-land/","/ways-to-prove-ownership-of-land/","/resources/blog/ways-to-prove-ownership-of-land","https://chamanlawfirm.com/resources/blog/ways-to-prove-ownership-of-land","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"12","https://chamanlawfirm.com/how-to-notarize-a-document-in-nigeria/","/how-to-notarize-a-document-in-nigeria/","/resources/blog/how-to-notarize-a-document-in-nigeria","https://chamanlawfirm.com/resources/blog/how-to-notarize-a-document-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"13","https://chamanlawfirm.com/community-development-associations-law/","/community-development-associations-law/","/resources/blog/community-development-associations-law","https://chamanlawfirm.com/resources/blog/community-development-associations-law","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"14","https://chamanlawfirm.com/difference-between-ownership-and-possession/","/difference-between-ownership-and-possession/","/resources/blog/difference-between-ownership-and-possession","https://chamanlawfirm.com/resources/blog/difference-between-ownership-and-possession","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"15","https://chamanlawfirm.com/legal-steps-to-take-when-our-land-has-been/","/legal-steps-to-take-when-our-land-has-been/","/resources/blog/legal-steps-to-take-when-our-land-has-been","https://chamanlawfirm.com/resources/blog/legal-steps-to-take-when-our-land-has-been","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"16","https://chamanlawfirm.com/the-statutory-right-of-occupancy-in-nigeria/","/the-statutory-right-of-occupancy-in-nigeria/","/resources/blog/the-statutory-right-of-occupancy-in-nigeria","https://chamanlawfirm.com/resources/blog/the-statutory-right-of-occupancy-in-nigeria","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
"17","https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/","/how-to-replace-a-lost-a-marriage-certificate/","/resources/blog/how-to-replace-a-lost-a-marriage-certificate","https://chamanlawfirm.com/resources/blog/how-to-replace-a-lost-a-marriage-certificate","301","Not implemented","Add after article exists in Sanity and lawyer approval is complete."
