title,slug,old URL,image source,image found yes/no,image uploaded to Sanity yes/no,Sanity image asset reference,alt text,fallback used yes/no,repeated image risk,notes
Ultimate Legal Guide to Buying Land in Nigeria,ultimate-legal-guide-to-buying-land-in-niger,https://chamanlawfirm.com/ultimate-legal-guide-to-buying-land-in-niger/,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/12/images-2024-11-18T173442.411.jpeg,yes,already present/reused,image-285e04967d6197375011fb35309ce3fb72bf98c2-309x163-jpg,Ultimate Legal Guide to Buying Land in Nigeria legal guide | Chaman Law Firm,no,not detected,image attached to hidden draft; public only if approved
Managing Corporate Reputation,managing-corporate-reputation,https://chamanlawfirm.com/managing-corporate-reputation/,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/03-28.jpg,yes,already present/reused,image-d0988496c80382cfe1d55ed166aefa995986757a-335x150-jpg,Managing Corporate Reputation legal guide | Chaman Law Firm,no,not detected,image attached to hidden draft; public only if approved
Land Registration In Lagos,land-registration-in-lagos,https://chamanlawfirm.com/land-registration-in-lagos/,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/procedure-for-land-registration-ALpG39peV9uyaZGa-3.webp,yes,already present/reused,image-8910081fa28ef07cf577cfcdeded519b48e39460-857x467-webp,Land Registration In Lagos legal guide | Chaman Law Firm,no,not detected,image attached to hidden draft; public only if approved
Property Taxes to Consider When Buying Real Estate in Nigeria,what-property-taxes-must-i-pay-when-buying,https://chamanlawfirm.com/what-property-taxes-must-i-pay-when-buying/,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/What-Property-Taxes-Must-I-Pay-When-Buying-Real-Estate-in-Lekki-768x456.png,yes,already present/reused,image-a0e2887ad66f2e8bf860c938f716a49d4b16082b-768x456-png,Property Taxes to Consider When Buying Real Estate in Nigeria legal guide | Chaman Law Firm,no,not detected,image attached to hidden draft; public only if approved
Enhancing Nigerian Immigration Security,enhancing-nigerian-immigration-security-2,https://chamanlawfirm.com/enhancing-nigerian-immigration-security-2/,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/Data_IMG.png,yes,already present/reused,image-2394540e4b59100ee6740cd7d3be2b2374f10c10-642x360-png,Enhancing Nigerian Immigration Security legal guide | Chaman Law Firm,no,not detected,image attached to hidden draft; public only if approved
How To Start A Private Lending Company,how-to-start-a-private-lending-company,https://chamanlawfirm.com/how-to-start-a-private-lending-company/,https://peachpuff-lemur-779915.hostingersite.com/wp-content/uploads/2024/09/whatsapp-image-2023-07-27-at-12.01.11-YbNDo9M8okTN0zbO-3.jpeg,no,no,,,no,not detected,image still requires recovery or approved fallback
Lekki Property When Owner Dies Without Will,lekki-property-when-owner-dies-without-will,https://chamanlawfirm.com/lekki-property-when-owner-dies-without-will/,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/What-Happens-to-Lekki-Property-When-Owner-Dies-Without-Will-768x1152.png,yes,already present/reused,image-c44900c84ed197e36a5b527f436e7c5ad996a8b4-768x1152-png,Lekki Property When Owner Dies Without Will legal guide | Chaman Law Firm,no,not detected,image attached to hidden draft; public only if approved
Property Developers Guide To Tax Compliance,property-developers-guide-to-tax-compliance,https://chamanlawfirm.com/property-developers-guide-to-tax-compliance/,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/What-Are-the-Environmental-Compliance-Requirements-for-Property-Development-in-Lekki-768x456.png,yes,already present/reused,image-d88755e486ebab5befc945e5f6421d2f63e190f4-768x456-png,Property Developers Guide To Tax Compliance legal guide | Chaman Law Firm,no,not detected,image attached to hidden draft; public only if approved
Challenge A Fraudulent Probate Application,challenge-a-fraudulent-probate-application,https://chamanlawfirm.com/challenge-a-fraudulent-probate-application/,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/visa-application-form-768x508.jpg,yes,already present/reused,image-ec775ce28d0d1505cd75305bc9063d1b51375e10-768x508-jpg,Challenge A Fraudulent Probate Application legal guide | Chaman Law Firm,no,not detected,image attached to hidden draft; public only if approved
How To Licence A Trademark In Nigeria,how-to-licence-a-trademark-in-nigeria,https://chamanlawfirm.com/how-to-licence-a-trademark-in-nigeria/,https://peachpuff-lemur-779915.hostingersite.com/wp-content/uploads/2024/09/how-to-licence-a-trademark-in-nigeria-AwvEX6VynPF7X5l0-3.jpg,no,no,,,no,not detected,image still requires recovery or approved fallback
