title,slug,old URL,current hidden/public status,duplicate/cannibalization issue,decision,redirect recommendation,approval readiness,notes
"Can A Landlord Increase Rent Arbitrarily In Ogun","can-a-landlord-increase-rent-arbitrarily-in-ogun","https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun/","hidden draft: drafts.chamanlawfirm.sprint10i.can-a-landlord-increase-rent-arbitrarily-in-ogun","No stronger live duplicate found, but overlaps with tenancy-law education.","approve as new article only after Principal sign-off","no redirect while hidden/not approved","ready for Principal review only; not ready for publication","Lawyer to confirm current-law framing, soften title wording, and add public-education disclaimer if needed."
"Challenges Of Implementing The Land Use Act","challenges-of-implementing-the-land-use-act","https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act/","hidden draft: drafts.chamanlawfirm.sprint10i.challenges-of-implementing-the-land-use-act","High topical overlap with broader land-title and property-law articles; needs narrower angle.","approve as new article only after Principal sign-off","no redirect while hidden/not approved","ready for Principal review only; not ready for publication","Narrow to public legal education, clarify that implementation issues vary by state and facts, and add consultation CTA."
"Severe Repercussions of Land Grabbing in Nigeria: What Property Owners Must Know","land-grabbing-the-legal-consequences-of","https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of/","hidden draft: drafts.chamanlawfirm.sprint10h.land-grabbing-the-legal-consequences-of","Medium overlap with land-dispute and trespass content.","approve as new article only after Principal sign-off","no redirect while hidden/not approved","ready for Principal review only; not ready for publication","Expand thin body if needed, soften sweeping penalty language, and emphasize lawful remedies through counsel/court process."
"Property How To Place A Caveat","property-how-to-place-a-caveat","https://chamanlawfirm.com/property-how-to-place-a-caveat/","hidden draft: drafts.chamanlawfirm.sprint10h.property-how-to-place-a-caveat","Medium overlap with title-perfection and property-verification articles.","approve as new article only after Principal sign-off","no redirect while hidden/not approved","ready for Principal review only; not ready for publication","Clarify caveat use-cases, procedure limits, jurisdiction sensitivity, and when a lawyer should review title risk."
"How Do I Legally Evict a Tenant in Ogun State?","how-do-i-legally-evict-a-tenant-in-ogun-state","https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state/","hidden draft: drafts.chamanlawfirm.phase5c.how-do-i-legally-evict-a-tenant-in-ogun-state","Overlaps with tenancy/eviction content.","keep hidden","no redirect while hidden/not approved","not selected for Sprint 11C tiny sign-off pack","Exclude from tiny pack until lawyer review and image replacement are complete."
"Void and Voidable Marriages in Nigeria: Understanding Legal Implications","void-and-voidable-marriages-in-nigeria","https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria/","hidden draft: drafts.chamanlawfirm.sprint10h.void-and-voidable-marriages-in-nigeria","Medium overlap with family-law education.","keep hidden","no redirect while hidden/not approved","not selected for Sprint 11C tiny sign-off pack","Keep hidden until family-law sensitivity review is complete."
"Certificate Of Occupancy In Rivers State","certificate-of-occupancy-in-rivers-state","https://chamanlawfirm.com/certificate-of-occupancy-in-rivers-state/","public approved overlap: chamanlawfirm-sprint10l-certificate-of-occupancy-in-rivers-state","Public approved article already exists.","merge into existing live article","possible later exact redirect to existing live target after dedicated redirect QA","not selected for Sprint 11C tiny sign-off pack","Do not approve duplicate; merge unique regional value later if needed."
"How to calculate stamp duty for property transactions in Ogun?","how-to-calculate-stamp-duty-chaman-law-firm","https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm/","public approved overlap: chamanlawfirm-sprint10i-how-to-calculate-stamp-duty-chaman-law-firm","Public approved article already exists.","merge into existing live article","possible later exact redirect to existing live target after dedicated redirect QA","not selected for Sprint 11C tiny sign-off pack","Do not approve duplicate; keep one canonical live page."
"THE ROLE OF FAMILY COURT IN RELATION TO CHILD PROTECTION IN NIGERIA","the-role-of-family-court-in-relation-to-child-protect-in-nigeria","https://chamanlawfirm.com/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/","public approved overlap: chamanlawfirm-sprint10i-the-role-of-family-court-in-relation-to-child-protect-in-nigeria","Public approved article already exists.","merge into existing live article","possible later exact redirect to existing live target after dedicated redirect QA","not selected for Sprint 11C tiny sign-off pack","Do not approve duplicate; keep single public version."
"rights-of-a-property-owner-in-nigeria","rights-of-a-property-owner-in-nigeria","https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/","not found in Sanity query","High risk against existing property-rights/title pages.","recover source before decision","no redirect while hidden/not approved","not selected for Sprint 11C tiny sign-off pack","Recover source first."
"letters-of-administration-in-nigeria","letters-of-administration-in-nigeria","https://chamanlawfirm.com/letters-of-administration-in-nigeria/","not found in Sanity query","Medium overlap with probate/family-law content.","recover source before decision","no redirect while hidden/not approved","not selected for Sprint 11C tiny sign-off pack","Recover source first."
"debt-recovery-lawyer-nigeria","debt-recovery-lawyer-nigeria","https://chamanlawfirm.com/debt-recovery-lawyer-nigeria/","not found in Sanity query","Medium risk against debt-recovery service pages.","convert to static/service page later","no redirect while hidden/not approved","not selected for Sprint 11C tiny sign-off pack","Recover source first or convert to static/service page support content later."
