"batch group","old URL","new URL","slug","title after Sprint 9N review","Sanity status","approval status","author","image status","SEO status","AEO/GEO status","redirect status","reason or notes"
"Approved sub-batch","https://chamanlawfirm.com/cac-public-search-guide-nigeria/","/resources/blog/cac-public-search-guide-nigeria","cac-public-search-guide-nigeria","How to Use CAC Public Search in Nigeria","public-safe Sanity post","approved in Sprint 9N","Charles Chukwuma Nkwoka, Esq.","image and alt present","meta title, meta description, canonical present","answer block, FAQs, CTA, and internal links added","pending","Selected for corporate/commercial relevance and clean legal-education value."
"Approved sub-batch","https://chamanlawfirm.com/types-of-tenant-in-nigeria/","/resources/blog/types-of-tenant-in-nigeria","types-of-tenant-in-nigeria","Types of Tenants in Nigeria","public-safe Sanity post","approved in Sprint 9N","Charles Chukwuma Nkwoka, Esq.","image and alt present","meta title, meta description, canonical present","answer block, FAQs, CTA, and internal links added","pending","Selected for tenancy/property-law relevance."
"Approved sub-batch","https://chamanlawfirm.com/how-to-change-name-with-deed-poll/","/resources/blog/how-to-change-name-with-deed-poll","how-to-change-name-with-deed-poll","How to Change Name with Deed Poll in Nigeria","public-safe Sanity post","approved in Sprint 9N","Charles Chukwuma Nkwoka, Esq.","image and alt present","meta title, meta description, canonical present","answer block, FAQs, CTA, and internal links added","pending","Selected for notary/documentation lead value."
"Approved sub-batch","https://chamanlawfirm.com/ways-to-prove-ownership-of-land/","/resources/blog/ways-to-prove-ownership-of-land","ways-to-prove-ownership-of-land","Five Ways to Prove Ownership of Land in Nigeria","public-safe Sanity post","approved in Sprint 9N","Charles Chukwuma Nkwoka, Esq.","image and alt present","meta title, meta description, canonical present","answer block, FAQs, CTA, and internal links added","pending","Selected for core real estate/property-law authority."
"Approved sub-batch","https://chamanlawfirm.com/how-to-notarize-a-document-in-nigeria/","/resources/blog/how-to-notarize-a-document-in-nigeria","how-to-notarize-a-document-in-nigeria","How to Notarize a Document in Nigeria","public-safe Sanity post","approved in Sprint 9N","Charles Chukwuma Nkwoka, Esq.","image and alt present","meta title, meta description, canonical present","answer block, FAQs, CTA, and internal links added","pending","Selected for notary service relevance."
"Approved sub-batch","https://chamanlawfirm.com/the-statutory-right-of-occupancy-in-nigeria/","/resources/blog/the-statutory-right-of-occupancy-in-nigeria","the-statutory-right-of-occupancy-in-nigeria","Statutory Right of Occupancy in Nigeria","public-safe Sanity post","approved in Sprint 9N","Charles Chukwuma Nkwoka, Esq.","image and alt present","meta title, meta description, canonical present","answer block, FAQs, CTA, and internal links added","pending","Selected for land-title and property-law authority."
"Approved sub-batch","https://chamanlawfirm.com/transfer-of-company-shares-in-nigeria/","/resources/blog/transfer-of-company-shares-in-nigeria","transfer-of-company-shares-in-nigeria","Transfer of Company Shares in Nigeria","public-safe Sanity post","approved in Sprint 9N","Charles Chukwuma Nkwoka, Esq.","image and alt present","meta title, meta description, canonical present","answer block, FAQs, CTA, and internal links added","pending","Selected for corporate/commercial lead value."
"Approved sub-batch","https://chamanlawfirm.com/statute-of-limitations-on-debt-in-nigeria/","/resources/blog/statute-of-limitations-on-debt-in-nigeria","statute-of-limitations-on-debt-in-nigeria","Statute of Limitations on Debt in Nigeria","public-safe Sanity post","approved in Sprint 9N","Charles Chukwuma Nkwoka, Esq.","image and alt present","meta title, meta description, canonical present","answer block, FAQs, CTA, and internal links added","pending","Selected for debt-recovery lead value."
"Kept hidden","https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/","/resources/blog/the-concept-of-rule-of-law-in-nigeria","the-concept-of-rule-of-law-in-nigeria","THE CONCEPT OF RULE OF LAW IN NIGERIA","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs deeper editorial/legal review","pending","General legal-education article; lower lead value and needs title/body cleanup."
"Kept hidden","https://chamanlawfirm.com/difference-between-ownership-and-possession/","/resources/blog/difference-between-ownership-and-possession","difference-between-ownership-and-possession","Difference Between Ownership and Possession","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs cannibalization review","pending","Potential overlap with ownership/proof-of-title article."
"Kept hidden","https://chamanlawfirm.com/community-development-associations-law/","/resources/blog/community-development-associations-law","community-development-associations-law","Transforming Communities: The Powerful Impact of the Community Development Associations Law of Lagos State","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs legal/source review","pending","Needs jurisdiction and current-law review before public approval."
"Kept hidden","https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/","/resources/blog/how-to-replace-a-lost-a-marriage-certificate","how-to-replace-a-lost-a-marriage-certificate","HOW TO REPLACE A LOST A MARRIAGE CERTIFICATE","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs title and procedural review","pending","Needs family/documentation review and title normalization."
"Kept hidden","https://chamanlawfirm.com/legal-steps-to-take-when-our-land-has-been/","/resources/blog/legal-steps-to-take-when-our-land-has-been","legal-steps-to-take-when-our-land-has-been","5 Powerful Legal Steps to Take When Your Land Has Been Encroached Upon in Nigeria","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs no-self-help legal review","pending","Needs careful review for land-dispute response and self-help risk."
"Kept hidden","https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm/","/resources/blog/rights-of-tenants-in-ogun-chaman-law-firm","rights-of-tenants-in-ogun-chaman-law-firm","What Are the Rights of Tenants in Ogun State?","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs cannibalization and current-law review","pending","Potential overlap with approved tenancy/Ogun tenancy posts."
"Kept hidden","https://chamanlawfirm.com/is-foreign-marriage-under-the-nigerian-law/","/resources/blog/is-foreign-marriage-under-the-nigerian-law","is-foreign-marriage-under-the-nigerian-law","HOW VALID IS FOREIGN MARRIAGE UNDER NIGERIAN LAW","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs family-law review","pending","Needs title normalization and legal accuracy review."
"Kept hidden","https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action/","/resources/blog/abandonment-and-withdrew-of-court-action","abandonment-and-withdrew-of-court-action","What You Need to Know About Consequence of Abandonment and Withdrew of Court Action in Nigeria","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs litigation procedure review","pending","Title and procedure wording require lawyer revision."
"Kept hidden","https://chamanlawfirm.com/powerful-steps-what-is-trespass-to-land-2/","/resources/blog/powerful-steps-what-is-trespass-to-land-2","powerful-steps-what-is-trespass-to-land-2","What is Trespass to Land","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs no-self-help legal review","pending","High-value topic but needs careful land-dispute safety review."
"Kept hidden","https://chamanlawfirm.com/the-duties-of-lawyers-to-client/","/resources/blog/the-duties-of-lawyers-to-client","the-duties-of-lawyers-to-client","The Duties of Lawyers to Clients: 6 Essential Responsibilities for Trust and Success","public-safe Sanity post","kept hidden","Charles Chukwuma Nkwoka, Esq.","image and alt present","metadata present","needs brand and professional-ethics review","pending","Lower migration priority and needs governance review."
