priority rank,old URL,post title,image source,image found yes/no,image uploaded to Sanity yes/no,Sanity image asset reference,alt text,fallback used yes/no,repeated image risk,old repeated image refreshed yes/no,notes
1,https://chamanlawfirm.com/subcontracting-in-nigerian-construction-projects/,Subcontracting In Nigerian Construction Projects,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/Subcontractor_IMG-1170x694.jpeg,yes,no,,Subcontracting In Nigerian Construction Projects legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
2,https://chamanlawfirm.com/rights-of-citizens-in-government-surveillance/,Rights Of Citizens In Government Surveillance,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/01-1.webp,yes,no,,Rights Of Citizens In Government Surveillance legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
3,https://chamanlawfirm.com/corporate-finance-laws-in-nigeria/,Corporate Finance Laws In Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/Corporate-Finance_IMG-1024x694.jpg,yes,no,,Corporate Finance Laws In Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
4,https://chamanlawfirm.com/first-aid-certificate-in-nigeria/,First Aid Certificate In Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/how-to-apply-for-certificate-of-occupancy-in-nigeria-d95ywLbOvOI4PoXK-768x456.jpg,yes,no,,First Aid Certificate In Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
5,https://chamanlawfirm.com/legal-steps-to-perfecting-title-documents/,Legal Steps to Perfecting Title Documents in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/12/Legal-Steps-to-Perfecting-Title-Documents-1024x694.webp,yes,yes,image-d432fc810fb33bb49b2ef0c75d3511d84b4e1bac-1024x694-webp,Legal Steps to Perfecting Title Documents in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,existing_asset_reused
6,https://chamanlawfirm.com/how-does-the-land-use-act-affect-land-title/,How the Land Use Act Affects Land Title in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/How-Does-the-Land-Use-Act-Impact-Land-Ownership-and-Titles-in-Nigeria-1024x694.png,yes,yes,image-61bea2879aaea0549ed92c144d86a7dd8f2d40ec-1024x694-png,How the Land Use Act Affects Land Title in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,existing_asset_reused
7,https://chamanlawfirm.com/legal-remedies-for-breach-of-contract/,Legal Remedies for Breach of Contract in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/What-Legal-Remedies-Are-Available-for-Breach-of-Property-Contracts-in-Lekki-768x456.jpg,yes,yes,image-8886624dc92f6fe95aa2232308a4afcd27f00e8b-768x456-jpg,Legal Remedies for Breach of Contract in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,existing_asset_reused
8,https://chamanlawfirm.com/when-a-loved-one-dies-without-a-will/,What Happens When a Loved One Dies Without a Will in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/What-Happens-to-Lekki-Property-When-Owner-Dies-Without-Will-768x1152.png,yes,yes,image-c44900c84ed197e36a5b527f436e7c5ad996a8b4-768x1152-png,What Happens When a Loved One Dies Without a Will in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,existing_asset_reused
9,https://chamanlawfirm.com/contract-of-sale-of-land-and-what-it-takes/,Contract of Sale of Land in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/images-8-1.jpeg,yes,yes,image-264629cec6bc4034bd5583857cd1b56ea017537c-298x169-jpg,Contract of Sale of Land in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,existing_asset_reused
10,https://chamanlawfirm.com/acquire-and-secure-industrial-land-in-ogun/,How to Acquire and Secure Industrial Land in Ogun State,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/portrait-native-american-engineer-technician-wearing-safty-uniform-hand-contril-automation-robot-arm-welding-machine-with-laptop-industrial-40-factory-background-concept-2-768x456.jpg,yes,yes,image-f1fc43aabaa052e207d434566f275fdd140742ef-768x456-jpg,How to Acquire and Secure Industrial Land in Ogun State legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,existing_asset_reused
11,https://chamanlawfirm.com/8-steps-to-enforce-court-judgments-innigeria/,Steps to Enforce Court Judgments in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/court-1.jpg,yes,yes,image-4a45241b5fb58735810ef6d2ed8669b53ef89680-880x587-jpg,Steps to Enforce Court Judgments in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,existing_asset_reused
12,https://chamanlawfirm.com/remedies-for-breach-of-maritime-contracts/,Remedies For Breach Of Maritime Contracts,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/remedies-for-breach-of-Contract.jpg,yes,no,,Remedies For Breach Of Maritime Contracts legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
13,https://chamanlawfirm.com/the-impact-of-the-land-use-act-on-land-allocation-for-public-marketplaces-in-nigeria/,The Impact Of The Land Use Act On Land Allocation For Public Marketplaces In Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/What-is-the-Impact-of-Land-Titles-on-the-Allocation-of-Land-for-Cultural-Festivals-and-Events-768x456.webp,yes,no,,The Impact Of The Land Use Act On Land Allocation For Public Marketplaces In Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
14,https://chamanlawfirm.com/intellectual-property-rights/,Intellectual Property Rights,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/intellectual-property-768x403.jpg,yes,no,,Intellectual Property Rights legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
15,https://chamanlawfirm.com/roles-of-a-cybercrime-lawyer-in-nigeria/,Roles of a Cybercrime Lawyer in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/cybercrime-jpg-1170x694.webp,yes,yes,image-d1706b56b2c2cf8170390f8c185b8bda210b034c-1170x694-webp,Roles of a Cybercrime Lawyer in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,existing_asset_reused
16,https://chamanlawfirm.com/dealing-with-land-encroachment-in-ogun-state/,Dealing With Land Encroachment In Ogun State,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/Can-a-landlord-increase-rent-arbitrarily-in-Ogun-State-1170x694.png,yes,no,,Dealing With Land Encroachment In Ogun State legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
17,https://chamanlawfirm.com/effects-of-exchange-of-contract/,Effects of Exchange of Contract in Property Transactions,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/what-does-exchange-of-contracts-in-conveyancing-mean-768x456.webp,yes,yes,image-64968a06e5717c1c1e7336a05b4cf4efb2258dc2-768x456-webp,Effects of Exchange of Contract in Property Transactions legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,existing_asset_reused
18,https://chamanlawfirm.com/hidden-costs-when-buying-land-in-lagos/,Hidden Costs When Buying Land In Lagos,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/11/Buying-Family-Land-in-Lagos-Common-Challenges-and-Risks-768x456.webp,yes,no,,Hidden Costs When Buying Land In Lagos legal guide | Chaman Law Firm,no,not detected in Sprint 10O recovered image evidence,no,ready for upload
