priority rank,old URL,old title,selected for Sprint 10R batch,route architecture,recommended new route,recommended action,redirect target,implementation status,legal review status,SEO risk level,notes
1,https://chamanlawfirm.com/about-chaman-law-firm/,About Chaman Law Firm,yes,existing current route,/about,Redirect to current exact brand page,/about,implemented in Sprint 10R redirect config,not required,low,Safe Sprint 10R redirect candidate; target is live and sitemap-included.
2,https://chamanlawfirm.com/contact-for-legal-consultation/,Contact For Legal Consultation,yes,existing current route,/consultation,Redirect to current exact consultation page,/consultation,implemented in Sprint 10R redirect config,pending,low,Safe Sprint 10R redirect candidate; consultation route is live and sitemap-included.
3,https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land/,How To Verify Land Title Before Buying Land,yes,existing current route,/practice-areas/property-real-estate-law/property-verification,Redirect to existing property verification service page,/practice-areas/property-real-estate-law/property-verification,implemented in Sprint 10R redirect config,pending,low,Sprint 10R refined previous broad property redirect to an exact service page.
4,https://chamanlawfirm.com/about-us/,About,yes,existing current route,/about,Keep existing exact redirect,/about,already covered or keep existing,not required,low,Already covered before Sprint 10R.
5,https://chamanlawfirm.com/debt-recovery-lawyer-nigeria/,Debt Recovery Lawyer Nigeria,yes,existing current route,/practice-areas/debt-recovery,Keep existing exact practice redirect,/practice-areas/debt-recovery,already covered or keep existing,pending,low,Already covered by current redirect map.
6,https://chamanlawfirm.com/how-to-notarize-a-document-in-nigeria/,How To Notarize A Document In Nigeria,yes,existing current route,/resources/blog/how-to-notarize-a-document-in-nigeria,Keep existing approved article redirect,/resources/blog/how-to-notarize-a-document-in-nigeria,already covered or keep existing,pending,low,"Target is an approved article, not a new static page."
7,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,Gain Nigerian Citizenship By Marriage,yes,existing current route,/practice-areas/immigration-services,Keep existing practice redirect pending source recovery,/practice-areas/immigration-services,already covered or keep existing,pending,low,High clicks but needs legal review before any standalone article/page recovery.
8,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,How To Legally Change A Child Surname,yes,existing current route,/practice-areas/family-law,Keep hidden pending legal review,/practice-areas/family-law,already covered or keep existing,pending,low,Sensitive family-law topic; do not restore without lawyer review.
9,https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy/,The Role Of The Judiciary In Nigerian Democracy,yes,existing current route,/practice-areas/litigation-dispute-resolution,Keep practice redirect pending source recovery,/practice-areas/litigation-dispute-resolution,already covered or keep existing,pending,low,"Potential authority article, not static service page."
10,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/,Rights Of A Property Owner In Nigeria,yes,needs planning,/resources/blog/rights-of-a-property-owner-in-nigeria,Recover as article only after source and image review,,deferred,pending,medium,Potential duplicate/cannibalization with property owner and land-title posts.
11,https://chamanlawfirm.com/land-use-act-1978/,Land Use Act 1978,yes,needs planning,/resources/blog/land-use-act-1978,Defer pending duplicate/cannibalization review,,deferred,pending,medium,Multiple Land Use Act articles already exist.
12,https://chamanlawfirm.com/documents-to-verify-before-buying-property/,Documents To Verify Before Buying Property,yes,needs planning,/practice-areas/property-real-estate-law/property-due-diligence,Review for possible service-page expansion or article recovery,,deferred,pending,medium,Do not redirect until target intent is selected and legal content is reviewed.
13,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,Obtaining a Certificate of Occupancy / C of O,yes,needs planning,/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,Recover as article or dedicated C of O service page after lawyer review,,deferred,pending,high,Very high GSC value; avoid broad redirect if exact page can be restored.
14,https://chamanlawfirm.com/cac-public-search-guide-nigeria/,CAC Public Search Guide Nigeria,yes,existing current route,/resources/blog/cac-public-search-guide-nigeria,Keep approved article redirect if live; review Search Console after recrawl,/resources/blog/cac-public-search-guide-nigeria,already covered or keep existing,pending,low,Already restored as blog content in earlier sprint.
15,https://chamanlawfirm.com/the-nigerian-legal-system/,The Nigerian Legal System,yes,needs planning,/resources/blog/the-nigerian-legal-system,Defer pending content recovery and legal review,,deferred,pending,medium,High impressions but not a service page.
