old URL,slug,title,complete recovered body,clean formatting,unsafe legal claim,misleading free-service wording,duplicate/cannibalization risk,SEO title present,meta description present,canonical correct,image and alt text present,category/practice relationship present,CTA present,internal links present,author,approval status,redirect status,notes
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,yes,yes,flagged,not detected,flagged,yes,yes,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,yes,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; high legal-risk flag; duplicate/thin-content flag; overpromising/editorial hype
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,yes,yes,not detected,not detected,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,no,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,yes,yes,flagged,not detected,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,no,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; high legal-risk flag; overpromising/editorial hype
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,LIST OF GOVERNMENT AGENCIES OF NIGERIA,yes,yes,not detected,not detected,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,no,yes,yes,no,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; internal links missing
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,yes,yes,not detected,not detected,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,no,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,yes,yes,flagged,not detected,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,yes,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; high legal-risk flag
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,no,yes,flagged,not detected,flagged,yes,yes,https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria,yes,yes,no,no,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; body too short; consultation CTA missing; internal links missing; high legal-risk flag; duplicate/thin-content flag
https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,What Are the Sources of Nigerian Law?,yes,yes,not detected,not detected,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/what-are-the-sources-of-nigerian-law,yes,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",approved,ready after live/sitemap verification,approved by Sprint 11L low-risk gates
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are The Duties Of Correctional Institutions In Nigeria?,yes,yes,flagged,flagged,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/duties-of-correctional-institutions-in-nigeria,no,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; misleading free-service wording; high legal-risk flag
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Learning: The Impact Of Technology On Nigerian Education,yes,yes,not detected,not detected,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/the-role-of-technology-in-nigerian-education,no,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; off-brand/property-sales wording; overpromising/editorial hype
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping And Up-Stamping Of A Mortgage Document,yes,yes,not detected,not detected,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/stamping-and-up-stamping-of-a-mortgage-document,yes,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset
https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria,how-to-apply-for-certificate-of-good-conduct-in-nigeria,HOW TO APPLY FOR CERTIFICATE OF GOOD CONDUCT IN NIGERIA,yes,yes,not detected,not detected,not flagged,yes,yes,https://chamanlawfirm.com/resources/blog/how-to-apply-for-certificate-of-good-conduct-in-nigeria,no,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
