legacy_url,title,slug,source_doc_id,body_word_count,source_body_available,historical_value,legal_risk,duplicate_risk,image_readiness,expected_final_action
https://chamanlawfirm.com/how-to-calculate-land-use-charge-in-nigeria,How to Calculate Land Use Charge in Nigeria,how-to-calculate-land-use-charge-in-nigeria,chamanlawfirm.sprint10n.calculate-land-use-charge-chaman-law-firm,5824,yes,fully_closed=no hidden/source recovery candidate,low,no approved public duplicate slug,mainImage present,PUBLISH_NOW
https://chamanlawfirm.com/rights-of-an-illegitimate-child-in-nigeria,Rights of an Illegitimate Child in Nigeria,rights-of-an-illegitimate-child-in-nigeria,chamanlawfirm.sprint10j.right-of-an-illegitimate-child,12620,yes,fully_closed=no hidden/source recovery candidate,exact current fee/rate/date/procedure requires primary-source verification or conservative removal,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/individual-tax-clearance-certificate-in-nigeria,Individual Tax Clearance Certificate in Nigeria,individual-tax-clearance-certificate-in-nigeria,chamanlawfirm-legacy-public-individual-tax-clearance-certificate,7789,yes,fully_closed=no hidden/source recovery candidate,exact current fee/rate/date/procedure requires primary-source verification or conservative removal; over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/legal-aspects-of-long-and-short-term-contracts,Mastering Contract Duration: The Legal Blueprint For Long And Short-Term Agreements In Nigeria,legal-aspects-of-long-and-short-term-contracts,chamanlawfirm-final-source-legal-aspects-of-long-and-short-term-contracts,2744,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,image missing; not blocker,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/consumer-protection-lawyer-in-nigeria-safeg,Consumer Protection Lawyer in Nigeria: Safeguarding Your Rights,consumer-protection-lawyer-in-nigeria-safeg,chamanlawfirm-final-source-consumer-protection-lawyer-in-nigeria-safeg,768,yes,fully_closed=no hidden/source recovery candidate,low,no approved public duplicate slug,image missing; not blocker,PUBLISH_NOW
https://chamanlawfirm.com/rights-of-persons-living-with-disabilities,The Impact of Family Law on the Rights of Persons Living with Disabilities,rights-of-persons-living-with-disabilities,chamanlawfirm-final-source-rights-of-persons-living-with-disabilities,1461,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,image missing; not blocker,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/legal-protection-against-domestic-violence,Legal Protection Against Domestic Violence in Nigeria – What Every Victim Must Know,legal-protection-against-domestic-violence,chamanlawfirm-final-source-legal-protection-against-domestic-violence,1551,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,image missing; not blocker,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/right-of-membership-limited-by-shares,RIGHT OF MEMBERSHIP FOR A COMPANY LIMITED BY SHARES,right-of-membership-limited-by-shares,chamanlawfirm-final-source-right-of-membership-limited-by-shares,1236,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,image missing; not blocker,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/smart-home-technology-and-luxury-real-estate-trends,Smart Home Technology and Luxury Real Estate Trends,smart-home-technology-and-luxury-real-estate-trends,d2f575ba-dabc-416e-b906-ecd9d2febb50,3057,yes,fully_closed=no hidden/source recovery candidate,off-brand property sales content risk,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/how-to-verify-a-property-title-in-lagos,How to Verify a Property Title in Lagos,how-to-verify-a-property-title-in-lagos,chamanlawfirm.sprint10k.verify-a-property-title-in-lagos,4619,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/business-name-and-a-company-limited-by-shares,Business Name vs Company Limited by Shares in Nigeria,business-name-and-a-company-limited-by-shares,chamanlawfirm-sprint10k-business-name-and-a-company-limited-by-shares,5268,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/legal-aspects-of-employment-contracts,Legal Aspects of Employment Contracts in Nigeria,legal-aspects-of-employment-contracts,chamanlawfirm.sprint10k.legal-aspects-of-employment-contracts,7860,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-in-ogun-state,Obtaining a Certificate of Occupancy in Ogun State,obtaining-a-certificate-of-occupancy-in-ogun-state,chamanlawfirm.sprint10k.obtaining-a-c-of-o-in-ogun-state,6788,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/ultimate-legal-guide-to-buying-land-in-nigeria,Legal Guide To Buying Land In Nigeria,ultimate-legal-guide-to-buying-land-in-nigeria,chamanlawfirm.sprint10o.ultimate-legal-guide-to-buying-land-in-niger,9243,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/debt-recovery-and-consumer-protection-laws,Debt Recovery And Consumer Protection Laws,debt-recovery-and-consumer-protection-laws,chamanlawfirm.sprint10q.debt-recovery-and-consumer-protection-laws,7966,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state,How Do I Legally Evict a Tenant in Ogun State?,how-do-i-legally-evict-a-tenant-in-ogun-state,chamanlawfirm.phase5c.how-do-i-legally-evict-a-tenant-in-ogun-state,14293,yes,fully_closed=no hidden/source recovery candidate,exact current fee/rate/date/procedure requires primary-source verification or conservative removal; over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria,Void and Voidable Marriages in Nigeria: Understanding Legal Implications,void-and-voidable-marriages-in-nigeria,chamanlawfirm.phase5c.void-and-voidable-marriages-in-nigeria,13289,yes,fully_closed=no hidden/source recovery candidate,low,no approved public duplicate slug,mainImage present,PUBLISH_NOW
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,how-to-track-a-stolen-phone-in-nigeria,chamanlawfirm-sprint11k-hidden-how-to-track-a-stolen-phone-in-nigeria,1552,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,image missing; not blocker,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,how-to-change-car-ownership-in-nigeria,chamanlawfirm-sprint11k-hidden-how-to-change-car-ownership-in-nigeria,1607,yes,fully_closed=no hidden/source recovery candidate,low,no approved public duplicate slug,image missing; not blocker,PUBLISH_NOW
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,The Overall List of Federal Laws In Nigeria,the-overall-list-of-federal-laws-in-nigeria,chamanlawfirm-sprint11n-hidden-the-overall-list-of-federal-laws-in-nigeria,91,yes,fully_closed=no hidden/source recovery candidate,low,no approved public duplicate slug,mainImage present,SOURCE_UNRECOVERABLE_OR_RECONSTRUCT
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping and Up-Stamping of A Mortgage Document,stamping-and-up-stamping-of-a-mortgage-document,chamanlawfirm-sprint11n-hidden-stamping-and-up-stamping-of-a-mortgage-document,3880,yes,fully_closed=no hidden/source recovery candidate,exact current fee/rate/date/procedure requires primary-source verification or conservative removal; over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
https://chamanlawfirm.com/land-use-act-1978,Understanding the Land Use Act: How It Affects You,land-use-act-1978,chamanlawfirm-sprint11k-hidden-land-use-act-1978,2782,yes,fully_closed=no hidden/source recovery candidate,over-certain or unsafe legal wording requires conservative rewrite,no approved public duplicate slug,mainImage present,PUBLISH_AFTER_CONSERVATIVE_REWRITE_OR_PRIMARY_SOURCE_VERIFICATION
