old URL,slug,title,current status,old source record found yes/no,body recovered yes/no,original featured image found yes/no,original body image found yes/no,fallback legal image used yes/no,Sanity image reference,alt text,image relevance status,Chaman Properties contamination risk,repeated principal image risk,legal/current-law risk,duplicate/cannibalization risk,metadata status,category/practice relationship,approval readiness,notes
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,obtaining-a-certificate-of-occupancy-c-of-o,REQUIREMENTS FOR OBTAINING A CERTIFICATE OF OCCUPANCY (CofO) IN NIGERIA (LAGOS AND OGUN STATE),hidden/unapproved Sanity document,yes,yes,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,high - likely duplicate/cannibalization risk,present,Property title and perfection; Certificate of Occupancy and right of occupancy; Real Estate & Property Law,keep hidden,not selected for Sprint 11H controlled approval batch; body too short or missing; featured image missing; alt text missing/review needed; high - likely duplicate/cannibalization risk
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,hidden/unapproved Sanity document,yes,yes,yes,not confirmed locally,no,image-03621dd4ea8d18ac61f44df60bac6e107f0f1377-1086x1448-png,THE CONCEPT OF RULE OF LAW IN NIGERIA legal guidance | Chaman Law Firm,present; editorial relevance reviewed by automated title/alt check,not detected,not detected,low/medium - editorial legal review required,high - likely duplicate/cannibalization risk,present,Legal education and civic law; Other legal/general information,keep hidden,not selected for Sprint 11H controlled approval batch; overpromising; high - likely duplicate/cannibalization risk
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Apply For Drivers Licence In Nigeria,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,hidden/unapproved Sanity document,yes,yes,yes,not confirmed locally,no,image-fbf940b860fca8b5610edad98aa19d4bb579df71-259x195-jpg,Steps On How To Confidently Report Acrimelaw legal guide | Chaman Law Firm,present; editorial relevance reviewed by automated title/alt check,not detected,not detected,high - lawyer review required before approval,low,present,Property And Real Estate Law,keep hidden,not selected for Sprint 11H controlled approval batch; high - lawyer review required before approval
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,hidden/unapproved Sanity document,yes,yes,yes,not confirmed locally,no,image-ca0eee78ff2afb96b43086260a5ae1deb8ab26a8-1080x608-webp,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,present; editorial relevance reviewed by automated title/alt check,not detected,not detected,low/medium - editorial legal review required,high - likely duplicate/cannibalization risk,present,Legal education and civic law; Other legal/general information,keep hidden,not selected for Sprint 11H controlled approval batch; body too short or missing; internal link missing; high - likely duplicate/cannibalization risk
https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,What Are The Sources Of Nigerian Law,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,Duties Of Correctional Institutions In Nigeria,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/the-duties-of-lawyers-to-client,the-duties-of-lawyers-to-client,Duties of Lawyers to Clients in Nigeria,hidden/unapproved Sanity document,yes,yes,yes,not confirmed locally,no,image-03621dd4ea8d18ac61f44df60bac6e107f0f1377-1086x1448-png,The Duties of Lawyers to Clients: 6 Essential Responsibilities for Trust and Success legal guidance | Chaman Law Firm,present; editorial relevance reviewed by automated title/alt check,not detected,not detected,low/medium - editorial legal review required,low,present,Professional ethics and client service; Other legal/general information,approved in Sprint 11H,
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,The Role Of Technology In Nigerian Education,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What is Stamping and Up-Stamping of a Mortgage Document,hidden/unapproved Sanity document,yes,yes,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,medium - current-law review required but no automated unsafe wording detected,low,present,Property finance and stamp duties; Other legal/general information,keep hidden,not selected for Sprint 11H controlled approval batch; featured image missing; alt text missing/review needed
https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria,how-to-apply-for-certificate-of-good-conduct-in-nigeria,How To Apply For Certificate Of Good Conduct In Nigeria,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/the-nigerian-legal-system,the-nigerian-legal-system,The Nigerian Legal System,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/nigeria-prohibited-items-list,nigeria-prohibited-items-list,Nigeria Prohibited Items List,source recovery needed,no,no,no,not confirmed locally,no,,,missing image or alt,not detected,not detected,low/medium - editorial legal review required,low,missing/rewrite needed,missing,keep hidden,not selected for Sprint 11H controlled approval batch; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing
https://chamanlawfirm.com/legal-implications-of-joint-property,legal-implications-of-joint-property,Legal Implications of Joint Property Ownership in Nigeria,hidden/unapproved Sanity document,yes,yes,no,not confirmed locally,no,,,missing image or alt,yes,not detected,high - lawyer review required before approval,medium - monitor overlap with existing property guides,present,Family property and inheritance; Other legal/general information,keep hidden,featured image missing; alt text missing/review needed; property-sales/luxury wording; high - lawyer review required before approval
https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate,how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,hidden/unapproved Sanity document,yes,yes,yes,not confirmed locally,no,image-506cad03972282b82faf8d62f13b14e534b349df-768x456-jpg,How To Obtain Tax Clearance Certificate legal guide | Chaman Law Firm,present; editorial relevance reviewed by automated title/alt check,not detected,not detected,medium - current-law review required but no automated unsafe wording detected,low,present,Corporate & Commercial Law,keep hidden,not selected for Sprint 11H controlled approval batch
