priority rank,old URL,slug,old title,improved title,GSC clicks,GSC impressions,target URL,draft restoration status,SEO title status,meta description status,canonical,image status,alt text status,author,category/practice relationship,consultation CTA,internal links,FAQ/answer sections,legal risk,duplicate/cannibalization risk,approval decision,notes
1,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,obtaining-a-certificate-of-occupancy-c-of-o,Obtaining A Certificate Of Occupancy C Of O,Obtaining A Certificate Of Occupancy C Of O,1173,39662,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,hidden Sanity draft exists; keep hidden until gates pass,present,present,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,image recovery needed,missing/review needed,"Charles Chukwuma Nkwoka, Esq.",Property and Real Estate Law,required before approval,required before approval,recommended where useful,medium - verify current law and facts before publication,medium - compare hidden draft against public practice/page before approval,keep hidden,"Fails at least one gate: image, metadata, source, legal, or duplicate review."
2,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,The Concept Of Rule Of Law In Nigeria,763,51092,/resources/blog/the-concept-of-rule-of-law-in-nigeria,hidden Sanity draft exists; keep hidden until gates pass,present,present,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,image recovery needed,missing/review needed,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,required before approval,required before approval,recommended where useful,low/medium - editorial and legal review still required,medium - compare hidden draft against public practice/page before approval,keep hidden,"Fails at least one gate: image, metadata, source, legal, or duplicate review."
3,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,How To Change Car Ownership In Nigeria,731,34973,/resources/blog/how-to-change-car-ownership-in-nigeria,source recovery needed before draft creation,missing/rewrite needed,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,image recovery needed,missing/review needed,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,required before approval,required before approval,recommended where useful,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,keep hidden,"Fails at least one gate: image, metadata, source, legal, or duplicate review."
4,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,How To Track A Stolen Phone In Nigeria,689,48652,/resources/blog/how-to-track-a-stolen-phone-in-nigeria,source recovery needed before draft creation,missing/rewrite needed,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,image recovery needed,missing/review needed,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,required before approval,required before approval,recommended where useful,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,keep hidden,"Fails at least one gate: image, metadata, source, legal, or duplicate review."
5,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,List Of Government Agencies Of Nigeria,608,70716,/resources/blog/list-of-government-agencies-of-nigeria,source recovery needed before draft creation,missing/rewrite needed,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,image recovery needed,missing/review needed,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,required before approval,required before approval,recommended where useful,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,keep hidden,"Fails at least one gate: image, metadata, source, legal, or duplicate review."
6,https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Apply For Drivers Licence In Nigeria,Apply For Drivers Licence In Nigeria,373,102871,/resources/blog/apply-for-drivers-licence-in-nigeria,source recovery needed before draft creation,missing/rewrite needed,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,image recovery needed,missing/review needed,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,required before approval,required before approval,recommended where useful,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,keep hidden,"Fails at least one gate: image, metadata, source, legal, or duplicate review."
7,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,Steps On How To Confidently Report Acrimelaw,414,30229,/resources/blog/steps-on-how-to-confidently-report-acrimelaw,hidden Sanity draft exists; keep hidden until gates pass,present,present,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,image and alt present in hidden Sanity draft,present,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,required before approval,required before approval,recommended where useful,low/medium - editorial and legal review still required,medium - compare hidden draft against public practice/page before approval,candidate for manual lawyer approval; not auto-approved in Sprint 11G,No automatic publication; requires final lawyer/editorial sign-off.
8,https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,The Overall List Of Federal Laws In Nigeria,The Overall List Of Federal Laws In Nigeria,263,22517,/resources/blog/the-overall-list-of-federal-laws-in-nigeria,hidden Sanity draft exists; keep hidden until gates pass,present,present,https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria,image and alt present in hidden Sanity draft,present,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,required before approval,required before approval,recommended where useful,low/medium - editorial and legal review still required,medium - compare hidden draft against public practice/page before approval,candidate for manual lawyer approval; not auto-approved in Sprint 11G,No automatic publication; requires final lawyer/editorial sign-off.
9,https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,What Are The Sources Of Nigerian Law,What Are The Sources Of Nigerian Law,231,30286,/resources/blog/what-are-the-sources-of-nigerian-law,source recovery needed before draft creation,missing/rewrite needed,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/what-are-the-sources-of-nigerian-law,image recovery needed,missing/review needed,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,required before approval,required before approval,recommended where useful,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,keep hidden,"Fails at least one gate: image, metadata, source, legal, or duplicate review."
10,https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,Duties Of Correctional Institutions In Nigeria,Duties Of Correctional Institutions In Nigeria,197,25303,/resources/blog/duties-of-correctional-institutions-in-nigeria,source recovery needed before draft creation,missing/rewrite needed,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/duties-of-correctional-institutions-in-nigeria,image recovery needed,missing/review needed,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,required before approval,required before approval,recommended where useful,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,keep hidden,"Fails at least one gate: image, metadata, source, legal, or duplicate review."
