priority,old URL,slug,clicks,impressions,topic bucket,current status,recommended action,redirect status,notes
1,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,landlord-and-tenant-rights-in-nigeria,1579,59489,property/title,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
2,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,1173,39662,property/title,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
3,https://chamanlawfirm.com/cac-public-search-guide-nigeria/,cac-public-search-guide-nigeria,1009,77699,corporate/commercial,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
4,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,the-jurisdiction-of-courts-in-nigeria,770,40707,litigation/disputes,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
5,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,the-concept-of-rule-of-law-in-nigeria,763,51092,general legal education,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
6,https://chamanlawfirm.com/types-of-tenant-in-nigeria/,types-of-tenant-in-nigeria,758,23316,property/title,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
7,https://chamanlawfirm.com/about-us/,about-us,733,41803,general legal education,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
8,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,how-to-change-car-ownership-in-nigeria,731,34973,general legal education,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
9,https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,proper-steps-to-eviction-of-tenants,708,32444,property/title,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
10,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,how-to-track-a-stolen-phone-in-nigeria,689,48652,general legal education,requires GSC/live follow-up,verify target; recover content or redirect only after target is public,pending unless already covered by approved redirect map,Ranked from available June 20 GSC Pages export; refresh with post-launch export before final decisions.
