old URL,slug,title,source Sanity document,body gate,formatting gate,unsafe legal claim,misleading free-service wording,duplicate/cannibalization risk,off-brand content,SEO title present,meta description present,canonical,image and alt text present,category/practice relationship,CTA present,internal links present,author,classification,approval decision,reason kept hidden
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List of Government Agencies of Nigeria,chamanlawfirm-sprint11k-hidden-list-of-government-agencies-of-nigeria,yes,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,not detected,yes,yes,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,no,General Legal Education,no,no,"Charles Chukwuma Nkwoka, Esq.",low-risk after general-information framing,keep hidden,"missing gate(s): image, alt text, CTA, internal links"
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,chamanlawfirm-sprint11k-hidden-how-to-track-a-stolen-phone-in-nigeria,yes,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,not detected,yes,yes,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.","high risk, keep hidden",keep hidden,high-risk legal/procedural topic requires lawyer review before publication
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,chamanlawfirm-sprint11k-hidden-how-to-change-car-ownership-in-nigeria,yes,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,not detected,yes,yes,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.",low-risk after general-information framing,keep hidden,"missing gate(s): image, alt text"
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,chamanlawfirm-sprint11k-hidden-apply-for-drivers-licence-in-nigeria,yes,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,not detected,yes,yes,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.",low-risk after general-information framing,keep hidden,"missing gate(s): image, alt text"
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,chamanlawfirm-sprint11n-hidden-steps-on-how-to-confidently-report-acrimelaw,yes,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,not detected,yes,yes,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,yes,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.","high risk, keep hidden",keep hidden,high-risk legal/procedural topic requires lawyer review before publication
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,The Overall List of Federal Laws In Nigeria,chamanlawfirm-sprint11n-hidden-the-overall-list-of-federal-laws-in-nigeria,no,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,not detected,yes,yes,https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria,yes,Litigation and Dispute Resolution,yes,yes,"Charles Chukwuma Nkwoka, Esq.",low-risk after general-information framing,keep hidden,missing gate(s): body
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are the Duties of Correctional Institutions In Nigeria?,chamanlawfirm-sprint11k-hidden-duties-of-correctional-institutions-in-nigeria,yes,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,not detected,yes,yes,https://chamanlawfirm.com/resources/blog/duties-of-correctional-institutions-in-nigeria,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.","high risk, keep hidden",keep hidden,high-risk legal/procedural topic requires lawyer review before publication
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Learning: the Impact of Technology On Nigerian Education,chamanlawfirm-sprint11k-hidden-the-role-of-technology-in-nigerian-education,yes,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,flagged,yes,yes,https://chamanlawfirm.com/resources/blog/the-role-of-technology-in-nigerian-education,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.","medium risk, needs Principal/lawyer review",keep hidden,"cleanup required for off-brand, debris, or misleading wording"
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping and Up-Stamping of A Mortgage Document,chamanlawfirm-sprint11n-hidden-stamping-and-up-stamping-of-a-mortgage-document,yes,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,not detected,yes,yes,https://chamanlawfirm.com/resources/blog/stamping-and-up-stamping-of-a-mortgage-document,yes,Property and Real Estate Law,no,no,"Charles Chukwuma Nkwoka, Esq.",convert to static/service page,keep hidden,search intent is better served by a focused service/static authority page after review
https://chamanlawfirm.com/land-use-act-1978,land-use-act-1978,Understanding the Land Use Act: How It Affects You,chamanlawfirm-sprint11k-hidden-land-use-act-1978,yes,reviewed from Sprint 11O recovered body,not detected by automated pass,not detected,not flagged,not detected,yes,yes,https://chamanlawfirm.com/resources/blog/land-use-act-1978,yes,Property and Real Estate Law,yes,yes,"Charles Chukwuma Nkwoka, Esq.","medium risk, needs Principal/lawyer review",keep hidden,current-law/legal-review gate not cleared
