title,slug,old URL,proposed target,duplicate/cannibalization issue,decision,redirect recommendation,approval readiness,notes
"Can A Landlord Increase Rent Arbitrarily In Ogun","can-a-landlord-increase-rent-arbitrarily-in-ogun","https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun/","","No live duplicate found, but overlaps with tenancy-law coverage.","keep hidden","no redirect while hidden/not approved","not ready - lawyer/current-law review unresolved","Potential supporting article after lawyer review; not safe for approval yet."
"Certificate Of Occupancy In Rivers State","certificate-of-occupancy-in-rivers-state","https://chamanlawfirm.com/certificate-of-occupancy-in-rivers-state/","https://chamanlawfirm.com/resources/blog/certificate-of-occupancy-in-rivers-state","Public approved article already exists for this target.","merge into existing live article","possible later exact redirect to existing live target after dedicated redirect QA","not ready - duplicate/live public target","Avoid duplicate approval because a public approved target already exists."
"Challenges Of Implementing The Land Use Act","challenges-of-implementing-the-land-use-act","https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act/","","High risk of cannibalizing broader Land Use Act and property-title articles.","keep hidden","no redirect while hidden/not approved","not ready - lawyer/current-law review unresolved","Potential authority article, but it needs a cleaner angle before publication."
"How Do I Legally Evict a Tenant in Ogun State?","how-do-i-legally-evict-a-tenant-in-ogun-state","https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state/","","No live duplicate found, but overlaps with tenancy/eviction content.","keep hidden","no redirect while hidden/not approved","not ready - image/alt issue","Image/alt mismatch remains a hard blocker."
"How to calculate stamp duty for property transactions in Ogun?","how-to-calculate-stamp-duty-chaman-law-firm","https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm/","https://chamanlawfirm.com/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm","Public approved article already exists for this target.","merge into existing live article","possible later exact redirect to existing live target after dedicated redirect QA","not ready - duplicate/live public target","Use existing approved article as canonical target."
"Severe Repercussions of Land Grabbing in Nigeria: What Property Owners Must Know","land-grabbing-the-legal-consequences-of","https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of/","","Medium overlap with land dispute and trespass articles.","keep hidden","no redirect while hidden/not approved","not ready - lawyer/current-law review unresolved","Potential high-value property-law article after lawyer review."
"Property How To Place A Caveat","property-how-to-place-a-caveat","https://chamanlawfirm.com/property-how-to-place-a-caveat/","","Medium overlap with property title/perfection articles.","keep hidden","no redirect while hidden/not approved","not ready - lawyer/current-law review unresolved","Could be useful, but procedure accuracy must be confirmed."
"THE ROLE OF FAMILY COURT IN RELATION TO CHILD PROTECTION IN NIGERIA","the-role-of-family-court-in-relation-to-child-protect-in-nigeria","https://chamanlawfirm.com/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/","https://chamanlawfirm.com/resources/blog/the-role-of-family-court-in-relation-to-child-protect-in-nigeria","Public approved article already exists for this target.","merge into existing live article","possible later exact redirect to existing live target after dedicated redirect QA","not ready - duplicate/live public target","Avoid duplicate child-protection content."
"Void and Voidable Marriages in Nigeria: Understanding Legal Implications","void-and-voidable-marriages-in-nigeria","https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria/","","Medium overlap with family-law education articles.","keep hidden","no redirect while hidden/not approved","not ready - lawyer/current-law review unresolved","Family-law sensitivity requires lawyer sign-off."
"rights-of-a-property-owner-in-nigeria","rights-of-a-property-owner-in-nigeria","https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/","","High risk of duplicate/cannibalization against property rights and land-title pages.","recover source before decision","no redirect while hidden/not approved","not ready - source missing","No matching hidden or public Sanity record found."
"letters-of-administration-in-nigeria","letters-of-administration-in-nigeria","https://chamanlawfirm.com/letters-of-administration-in-nigeria/","","Medium overlap with probate/family-law future content.","recover source before decision","no redirect while hidden/not approved","not ready - source missing","No matching hidden or public Sanity record found."
"debt-recovery-lawyer-nigeria","debt-recovery-lawyer-nigeria","https://chamanlawfirm.com/debt-recovery-lawyer-nigeria/","","Medium risk of cannibalizing debt-recovery service pages.","convert to static/service page later","no redirect while hidden/not approved","not ready - source missing","No matching hidden or public Sanity record found."
