slug,title,current_status,classification,required_fix,final_action
smart-home-technology-and-luxury-real-estate-trends,Smart Home Technology and Luxury Real Estate Trends,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
building-permit-approval-in-ogun-state,How to Get Building Permit Approval in Ogun State (Full Guide),hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
the-statutory-right-of-occupancy-in-nigeria,What is the Statutory Right of Occupancy in Nigeria?,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
transfer-of-company-shares-in-nigeria,TRANSFER OF COMPANY SHARES IN NIGERIA,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
annulment-of-marriage-under-the-nigerian-law,Annulment of Marriage Under Nigerian Law: 5 Essential Insights for Positive Legal Clarity,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
land-ownership-disputes-in-nigeria,The Role of Courts in Resolving Land Ownership Disputes in Nigeria: Legal Insights and Case Studies,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
landlord-and-tenant-rights-in-nigeria,A comprehensive guide on Landlord and Tenant Rights in Nigeria,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
polygamy-and-multiple-marriages-in-nigeria,Polygamy and Multiple Marriages in Nigeria,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
can-a-minor-enter-into-a-valid-contract-in-nigeria,CAN A MINOR ENTER INTO A VALID CONTRACT IN NIGERIA?,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
difference-between-ownership-and-possession,Difference Between Ownership and Possession,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
community-development-associations-law,Transforming Communities: The Powerful Impact of the Community Development Associations Law of Lagos State,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
powerful-steps-sources-of-tax-law-in-nigeria,Powerful Steps Sources Of Tax Law In Nigeria,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
deed-of-assignment-in-nigeria,Deed Of Assignment In Nigeria,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
rights-of-tenants-in-ogun-chaman-law-firm,What Are the Rights of Tenants in Ogun State?,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
gain-nigerian-citizenship-by-marriage,Gain Nigerian Citizenship by Marriage,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
what-is-the-implication-of-quit-notice,Implication of Quit Notice,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
legal-processofobtaininga-deed-of-assignment,Legal Processofobtaininga Deed Of Assignment,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
land-tenures-and-customary-land-tenure-systems,Land Tenures And Customary Land Tenure Systems,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
property-with-existing-tenants-in-nigeria,Property With Existing Tenants In Nigeria,hidden/source candidate from prior recovery,SUBSTANTIVE_LAWYER_REVIEW,confirm image/alt/meta/body/current-law before approval,do not publish until all article gates pass
