old URL,slug,title,approval decision,reason,author,image status,legal status,redirect status,sitemap status,notes
https://chamanlawfirm.com/court-procedures-and-efficient-case,court-procedures-and-efficient-case,Court Procedures And Efficient Case,approved/refreshed in Sprint 11X,public canonical article exists; explicit Sprint 11X title/metadata refresh selected,"Charles Chukwuma Nkwoka, Esq.",image present,low automated risk,no redirect to hidden draft,already public/in sitemap if approved,Sanity public approval or metadata refresh applied
https://chamanlawfirm.com/legally-terminate-shipping-contract-in-nigeria,legally-terminate-shipping-contract-in-nigeria,Legally Terminate Shipping Contract In Nigeria,keep hidden,canonical missing or mismatched; practice/category relationship missing; misleading free-service wording; possible unsafe self-help wording; current-law or procedure-sensitive topic; unsupported outcome claim; not selected for Sprint 11X controlled editorial approval,"Charles Chukwuma Nkwoka, Esq.",image present,misleading free-service wording; possible unsafe self-help wording; current-law or procedure-sensitive topic; unsupported outcome claim,no redirect to hidden draft,excluded while hidden,no public change unless selected
https://chamanlawfirm.com/what-is-stamping-and-up-stamping-of-a-mortgage-document,what-is-stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping And Up-Stamping Of A Mortgage Document,keep hidden,canonical missing or mismatched; misleading free-service wording; current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review; unsupported outcome claim; not selected for Sprint 11X controlled editorial approval,"Charles Chukwuma Nkwoka, Esq.",image present,misleading free-service wording; current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review; unsupported outcome claim,no redirect to hidden draft,excluded while hidden,no public change unless selected
https://chamanlawfirm.com/land-documentation-excision-vs-gazette,land-documentation-excision-vs-gazette,Land Documentation Excision Vs Gazette,already public,public canonical article already exists,"Charles Chukwuma Nkwoka, Esq.",image present,low automated risk,no redirect to hidden draft,already public/in sitemap if approved,no public change unless selected
https://chamanlawfirm.com/what-are-the-requirements-for-compulsory-acquisition-of-land-in-nigeria,what-are-the-requirements-for-compulsory-acquisition-of-land-in-nigeria,What Are The Requirements For Compulsory Acquisition Of Land In Nigeria,already public,public canonical article already exists,"Charles Chukwuma Nkwoka, Esq.",image present,low automated risk,no redirect to hidden draft,already public/in sitemap if approved,no public change unless selected
https://chamanlawfirm.com/how-to-appoint-a-company-secretary-in-nigeria,how-to-appoint-a-company-secretary-in-nigeria,How to Appoint a Company Secretary in Nigeria,already public,public canonical article already exists,"Charles Chukwuma Nkwoka, Esq.",image present,low automated risk,no redirect to hidden draft,already public/in sitemap if approved,no public change unless selected
https://chamanlawfirm.com/powerful-steps-who-is-mercantile-agent,powerful-steps-who-is-mercantile-agent,Who Is Mercantile Agent,keep hidden,featured image missing; alt text missing or weak; off-brand/property-sales wording; unsupported outcome claim; not selected for Sprint 11X controlled editorial approval,"Charles Chukwuma Nkwoka, Esq.",image missing,off-brand/property-sales wording; unsupported outcome claim,no redirect to hidden draft,excluded while hidden,no public change unless selected
https://chamanlawfirm.com/enforcing-fundamental-human-right,enforcing-fundamental-human-right,Fundamental Human Right; What Are the Procedures For Enforcing Fundamental Human Right?,keep hidden,featured image missing; alt text missing or weak; current-law or procedure-sensitive topic; legacy URL already redirects to /practice-areas/litigation-dispute-resolution/fundamental-rights-enforcement; not selected for Sprint 11X controlled editorial approval,"Charles Chukwuma Nkwoka, Esq.",image missing,current-law or procedure-sensitive topic,no redirect to hidden draft,excluded while hidden,no public change unless selected
https://chamanlawfirm.com/legal-implications-of-joint-property,legal-implications-of-joint-property,The Legal Implications of Joint Property Ownership In Nigeria,keep hidden,featured image missing; alt text missing or weak; current-law or procedure-sensitive topic; legacy URL already redirects to /practice-areas/property-real-estate-law/legal-implications-of-joint-property; not selected for Sprint 11X controlled editorial approval,"Charles Chukwuma Nkwoka, Esq.",image missing,current-law or procedure-sensitive topic,no redirect to hidden draft,excluded while hidden,no public change unless selected
https://chamanlawfirm.com/limitation-of-action-in-nigeria,limitation-of-action-in-nigeria,Limitation of Action In Nigeria,keep hidden,current-law or procedure-sensitive topic; not selected for Sprint 11X controlled editorial approval,"Charles Chukwuma Nkwoka, Esq.",image present,current-law or procedure-sensitive topic,no redirect to hidden draft,excluded while hidden,no public change unless selected
https://chamanlawfirm.com/how-to-resolve-land-disputes-in-nigeria-with,how-to-resolve-land-disputes-in-nigeria-with,How To Resolve Land Disputes In Nigeria With,keep hidden,dispute-resolution wording requires lawyer review; not selected for Sprint 11X controlled editorial approval; title appears truncated or incomplete,"Charles Chukwuma Nkwoka, Esq.",image present,dispute-resolution wording requires lawyer review,no redirect to hidden draft,excluded while hidden,no public change unless selected
