priority,old URL,new URL,redirect type,target status,sitemap status,hidden draft guardrail,homepage dump guardrail,Chaman Properties guardrail,status,notes
1,https://chamanlawfirm.com/land-registration-system-in-nigeria,https://chamanlawfirm.com/practice-areas/property-real-estate-law/land-registration,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Legacy search intent is better served by a land-registration advisory page than a thin blog revival.
2,https://chamanlawfirm.com/landlords-and-tenants-in-nigeria,https://chamanlawfirm.com/practice-areas/property-real-estate-law/landlords-and-tenants-in-nigeria,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,High commercial/property intent; conservative landlord-tenant framing.
3,https://chamanlawfirm.com/of-the-securities-and-exchange-commission,https://chamanlawfirm.com/practice-areas/corporate-commercial-law/securities-regulatory-compliance,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Converted from legacy informational topic into securities regulatory compliance service intent.
4,https://chamanlawfirm.com/enforcing-fundamental-human-right,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution/fundamental-rights-enforcement,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,"Rights topic needs controlled legal framing, not mass-published legacy body text."
5,https://chamanlawfirm.com/probate-in-lagos-everything-you-need-to-know,https://chamanlawfirm.com/practice-areas/probate-estate-administration/probate-in-lagos-everything-you-need-to-know,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Private-client and diaspora value; stronger as probate advisory page.
6,https://chamanlawfirm.com/board-of-directors-in-nigerian-companies,https://chamanlawfirm.com/practice-areas/corporate-commercial-law/board-governance,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Board/governance intent maps cleanly to corporate service authority.
7,https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act,https://chamanlawfirm.com/practice-areas/property-real-estate-law/land-use-act-advisory,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Exact equivalent already existed from Sprint 11Q.
8,https://chamanlawfirm.com/rights-of-parties-to-a-mortgage,https://chamanlawfirm.com/practice-areas/property-real-estate-law/mortgage-document-review,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Exact mortgage-document equivalent already existed from Sprint 11Q.
9,https://chamanlawfirm.com/methods-of-transfer-of-shares,https://chamanlawfirm.com/practice-areas/corporate-commercial-law/share-transfer,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Corporate ownership-change intent maps better to service page than legacy blog.
10,https://chamanlawfirm.com/can-a-member-be-expelled-from-a-trade-union,https://chamanlawfirm.com/practice-areas/employment-law/trade-union-membership-disputes,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Employment/legal-risk topic should not be revived as unreviewed procedural blog.
11,https://chamanlawfirm.com/expert-witnesses-in-nigeria-court-proceeding,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution/expert-witnesses,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Converted to expert evidence advisory page.
12,https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge,https://chamanlawfirm.com/practice-areas/property-real-estate-law/land-use-charge,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Reframed from calculation/how-to language into legal document-readiness guidance.
13,https://chamanlawfirm.com/legal-restrictions-to-sale-of-land,https://chamanlawfirm.com/practice-areas/property-real-estate-law/legal-restrictions-to-sale-of-land,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Strong lead-generation fit for property transaction review.
14,https://chamanlawfirm.com/selling-a-family-land-without-everyones-consent,https://chamanlawfirm.com/practice-areas/property-real-estate-law/selling-a-family-land-without-everyones-consent,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Family land risk deserves service framing and consultation CTA.
15,https://chamanlawfirm.com/digital-evidence-admissibility-in-nigeria,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution/digital-evidence,one-hop 308 via Next.js permanent redirect,local build gate passed; live verification required after deployment,expected after deployment,not a hidden draft target,exact target only,not a Chaman Properties target,configured in next.config.mjs,Evidence/admissibility claims kept conservative and fact-dependent.
