priority rank,old URL,old slug,current redirect target,current redirect status,old title,old meta description,clicks,impressions,evidence source,content source found,image source found,proposed Sanity slug,proposed new URL,recommended action,review status,approval status,notes
1,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,/practice-areas/property-real-estate-law,Active from Sprint 10C,Obtaining a Certificate of Occupancy,,1173,39662,GSC Pages export and Sprint 10C inventory,No,No,obtaining-a-certificate-of-occupancy-c-of-o,/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,Keep temporary redirect until source body is recovered,Blocked - body missing,not approved,No matching post/page found in SQL dump.
2,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,4-steps-on-how-to-deal-with-a-bad-landlordin,/practice-areas/property-real-estate-law,Active from Sprint 10C,4 Steps on How to Deal with a Bad Landlord in Lagos State: A Comprehensive Guide for Tenants,,570,14414,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 49215,Yes,4-steps-on-how-to-deal-with-a-bad-landlordin,/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
3,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,joinder-of-parties-misjoinder-of-parties,/practice-areas/litigation-dispute-resolution,Active from Sprint 10C,Essential Guide to Joinder of Parties: Avoiding Litigation Pitfalls,JOINDER OF PARTIES (MISJOINDER OF PARTIES) Nigerian jurisprudence generally allows the joinder of a person as co-plaintiff,553,15775,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 9847,No,joinder-of-parties-misjoinder-of-parties,/resources/blog/joinder-of-parties-misjoinder-of-parties,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
4,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,gain-nigerian-citizenship-by-marriage,/practice-areas/immigration-services,Active from Sprint 10C,How a Foreign Wife Can Gain Nigerian Citizenship by Marriage – Step-by-Step Guide for 2025,"Learn how a foreign wife can gain Nigerian citizenship by marriage, including eligibility, legal process, and documents required for application.",505,34961,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 59581,No,gain-nigerian-citizenship-by-marriage,/resources/blog/gain-nigerian-citizenship-by-marriage,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
5,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,statutory-right-of-occupancy-vs-customary-right,/practice-areas/property-real-estate-law,Active from Sprint 10C,WHAT IS THE DIFFERENCE What Is The Difference Between Statutory Right Of Occupancy And Customary Right Of Occupancy,Statutory Right of Occupancy vs Customary Right Understand the difference between Statutory Right of Occupancy and Customary Right of Occupancy under Nigerian law...,503,14711,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 9239,No,statutory-right-of-occupancy-vs-customary-right,/resources/blog/statutory-right-of-occupancy-vs-customary-right,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
6,https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/,5-steps-on-how-to-obtain-restraining-order,/practice-areas/litigation-dispute-resolution,Active from Sprint 10C,5 Expert Steps on How to Obtain Restraining and Protection Orders in Nigeria,,421,7829,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 48752,Yes,5-steps-on-how-to-obtain-restraining-order,/resources/blog/5-steps-on-how-to-obtain-restraining-order,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
7,https://chamanlawfirm.com/what-are-elements-of-tax-law/,what-are-elements-of-tax-law,/practice-areas/corporate-commercial-law,Added in Sprint 10D pending deployment,What Are the Elements of Taxation? 5 Essential Components for a Fair and Effective System,,397,10170,GSC Pages export,Yes - WordPress SQL post 10040,Yes,what-are-elements-of-tax-law,/resources/blog/what-are-elements-of-tax-law,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
8,https://chamanlawfirm.com/tax-administration-in-nigeria/,tax-administration-in-nigeria,/practice-areas/corporate-commercial-law,Added in Sprint 10D pending deployment,TAX ADMINISTRATION IN NIGERIA,,376,16882,GSC Pages export,Yes - WordPress SQL post 10137,No,tax-administration-in-nigeria,/resources/blog/tax-administration-in-nigeria,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
9,https://chamanlawfirm.com/difference-between-ownership-and-possession/,difference-between-ownership-and-possession,/practice-areas/property-real-estate-law,Added in Sprint 10D pending deployment,Difference Between Ownership and Possession,"the difference between ownership and possession in Nigerian law, including legal definitions, rights, and implications for property holders.",375,13367,GSC Pages export,Yes - WordPress SQL post 9293,No,difference-between-ownership-and-possession,/resources/blog/difference-between-ownership-and-possession,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
10,https://chamanlawfirm.com/community-development-associations-law/,community-development-associations-law,/practice-areas/property-real-estate-law,Added in Sprint 10D pending deployment,Transforming Communities: The Powerful Impact of the Community Development Associations Law of Lagos State,"Community Development Associations Law of Lagos State, The Lagos State House of Assembly enacted the Community....",372,16011,GSC Pages export,Yes - WordPress SQL post 9603,No,community-development-associations-law,/resources/blog/community-development-associations-law,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
11,https://chamanlawfirm.com/child-support-and-maintenance-payment/,child-support-and-maintenance-payment,/practice-areas/family-law,Active from Sprint 10C,Navigating Child Support and Maintenance Payments in Nigeria,"Child Support And Maintenance-Payment Child support and maintenance payments are crucial aspects of family law, often arising in cases of divorce, separation, or disputes...",366,29484,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 46538,Yes,child-support-and-maintenance-payment,/resources/blog/child-support-and-maintenance-payment,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
12,https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/,how-to-replace-a-lost-a-marriage-certificate,/practice-areas/family-law,Active from Sprint 10C,HOW TO REPLACE A LOST A MARRIAGE CERTIFICATE,,336,7917,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 10128,Yes,how-to-replace-a-lost-a-marriage-certificate,/resources/blog/how-to-replace-a-lost-a-marriage-certificate,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
13,https://chamanlawfirm.com/legal-steps-to-take-when-our-land-has-been/,legal-steps-to-take-when-our-land-has-been,/practice-areas/property-real-estate-law,Active from Sprint 10C,5 Powerful Legal Steps to Take When Your Land Has Been Encroached Upon in Nigeria,,315,8372,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 51486,Yes,legal-steps-to-take-when-our-land-has-been,/resources/blog/legal-steps-to-take-when-our-land-has-been,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
14,https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm/,rights-of-tenants-in-ogun-chaman-law-firm,/practice-areas/property-real-estate-law,Active from Sprint 10C,What Are the Rights of Tenants in Ogun State?,Rights of Tenants in Ogun - Learn the legal protections to help tenants understand their rights and avoid common disputes with landlords.,286,6542,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 61021,No,rights-of-tenants-in-ogun-chaman-law-firm,/resources/blog/rights-of-tenants-in-ogun-chaman-law-firm,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
15,https://chamanlawfirm.com/5-vital-role-of-consumer-protection-agencies/,5-vital-role-of-consumer-protection-agencies,/practice-areas/corporate-commercial-law,Added in Sprint 10D pending deployment,5 Vital Role of Consumer Protection Agencies: Safeguarding Rights and Promoting Unwavering Fairness,,284,44484,GSC Pages export,Yes - WordPress SQL post 48460,Yes,5-vital-role-of-consumer-protection-agencies,/resources/blog/5-vital-role-of-consumer-protection-agencies,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
16,https://chamanlawfirm.com/what-is-the-implication-of-quit-notice/,what-is-the-implication-of-quit-notice,/practice-areas/property-real-estate-law,Active from Sprint 10C,WHAT IS THE IMPLICATION OF QUIT NOTICE,Implication of Quit Notice. It is a letter issued to a tenant by the landlord stating the specific date the tenant is expected to evict the premises and give up possession of the property.,283,30132,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 9255,Yes,what-is-the-implication-of-quit-notice,/resources/blog/what-is-the-implication-of-quit-notice,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
17,https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria/,polygamy-and-multiple-marriages-in-nigeria,/practice-areas/family-law,Active from Sprint 10C,The Ultimate Guide to Polygamy under Nigerian Law: Essential Insights,Polygamy And Multiple Marriages In Nigeria,262,65029,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 39980,Yes,polygamy-and-multiple-marriages-in-nigeria,/resources/blog/polygamy-and-multiple-marriages-in-nigeria,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
18,https://chamanlawfirm.com/steps-to-permanent-residency-in-nigeria/,steps-to-permanent-residency-in-nigeria,/practice-areas/immigration-services,Active from Sprint 10C,5 Powerful Steps to Easily Obtain Permanent Residency in Nigeria: A Comprehensive Guide,,244,22900,GSC Pages export and Sprint 10C inventory,Yes - WordPress SQL post 49787,Yes,steps-to-permanent-residency-in-nigeria,/resources/blog/steps-to-permanent-residency-in-nigeria,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
19,https://chamanlawfirm.com/taxation-of-the-construction-sector-in-nigeria/,taxation-of-the-construction-sector-in-nigeria,/practice-areas/corporate-commercial-law,Added in Sprint 10D pending deployment,TAXATION OF THE CONSTRUCTION SECTOR IN NIGERIA,"TAXATION OF THE CONSTRUCTION SECTOR IN NIGERIA, In its most widely used context, construction covers the processes involved....",234,4891,GSC Pages export,Yes - WordPress SQL post 9494,No,taxation-of-the-construction-sector-in-nigeria,/resources/blog/taxation-of-the-construction-sector-in-nigeria,Recover exact body as hidden Sanity draft,Automated recovery review pending,not approved,"Use Charles Chukwuma Nkwoka, Esq. as public author; keep hidden until approved."
