old URL,slug,title,current image status,original legacy image available yes/no,fallback image assigned yes/no,image relevance status,alt text,Chaman Properties contamination risk,repeated principal image risk,approval readiness after image cleanup,notes
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,obtaining-a-certificate-of-occupancy-c-of-o,Obtaining A Certificate Of Occupancy C Of O,missing,no,no,missing or unsafe to assign,,not detected,not detected,keep hidden,outside Sprint 11I controlled approval subset; body too short or missing; featured image missing; alt text missing/review needed; high - likely cannibalization with existing stronger content
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,source image,yes,no,matched to general legal advisory,THE CONCEPT OF RULE OF LAW IN NIGERIA legal guidance | Chaman Law Firm,not detected,review,keep hidden,outside Sprint 11I controlled approval subset; overpromising; high - likely cannibalization with existing stronger content
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,missing,no,no,missing or unsafe to assign,,not detected,not detected,keep hidden,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,missing,no,no,missing or unsafe to assign,,not detected,not detected,keep hidden,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended; high - lawyer review required before approval"
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,missing,no,no,missing or unsafe to assign,,not detected,not detected,keep hidden,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Apply For Drivers Licence In Nigeria,missing,no,no,missing or unsafe to assign,,not detected,not detected,keep hidden,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,source image,yes,no,matched to property law / land title,Steps On How To Confidently Report Acrimelaw legal guide | Chaman Law Firm,not detected,not detected,keep hidden,outside Sprint 11I controlled approval subset; high - lawyer review required before approval
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,The Overall List Of Federal Laws In Nigeria,source image,yes,no,matched to general legal advisory,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,not detected,not detected,keep hidden,"outside Sprint 11I controlled approval subset; body too short or missing; internal link missing in source; CTA will be added, but manual link review recommended; high - likely cannibalization with existing stronger content"
https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,What Are The Sources Of Nigerian Law,missing,no,no,missing or unsafe to assign,,not detected,not detected,keep hidden,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,Duties Of Correctional Institutions In Nigeria,missing,no,no,missing or unsafe to assign,,not detected,not detected,keep hidden,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended; high - lawyer review required before approval"
