old URL,slug,title,classification,unsafe legal advice,outdated/current-law concern,overpromising/editorial hype,misleading free-service wording,self-help risk,author governance,approval recommendation,notes
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,"high risk, keep hidden",not detected,manual verification required,yes,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; high legal-risk flag; duplicate/thin-content flag; overpromising/editorial hype
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,"medium risk, needs lawyer review",not detected,manual verification required,not detected,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,"high risk, keep hidden",not detected,manual verification required,yes,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; high legal-risk flag; overpromising/editorial hype
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,LIST OF GOVERNMENT AGENCIES OF NIGERIA,"medium risk, needs lawyer review",not detected,manual verification required,not detected,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; internal links missing
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,"medium risk, needs lawyer review",not detected,manual verification required,not detected,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,"high risk, keep hidden",not detected,manual verification required,not detected,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; high legal-risk flag
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,"high risk, keep hidden",not detected,manual verification required,not detected,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; body too short; consultation CTA missing; internal links missing; high legal-risk flag; duplicate/thin-content flag
https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,What Are the Sources of Nigerian Law?,low-risk and approval-ready,not detected,low - evergreen legal education,not detected,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",approve controlled public article,evergreen/doctrinal topic cleared for controlled preview/public visibility
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are The Duties Of Correctional Institutions In Nigeria?,"high risk, keep hidden",not detected,manual verification required,not detected,yes,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; misleading free-service wording; high legal-risk flag
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Learning: The Impact Of Technology On Nigerian Education,"high risk, keep hidden",not detected,manual verification required,yes,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; off-brand/property-sales wording; overpromising/editorial hype
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping And Up-Stamping Of A Mortgage Document,"medium risk, needs lawyer review",not detected,manual verification required,not detected,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset
https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria,how-to-apply-for-certificate-of-good-conduct-in-nigeria,HOW TO APPLY FOR CERTIFICATE OF GOOD CONDUCT IN NIGERIA,"medium risk, needs lawyer review",not detected,manual verification required,not detected,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/the-nigerian-legal-system,the-nigerian-legal-system,"The Nigerian Legal System: Structure, Sources and Process","medium risk, needs lawyer review",not detected,manual verification required,yes,not detected,not detected,"Charles Chukwuma Nkwoka, Esq.",keep hidden,overpromising/editorial hype
