current title,current slug,current category,correct category,practice-area relationship,topic type,duplicate risk,cannibalization risk,legal sensitivity,image status,SEO title status,meta description status,canonical status,internal links,CTA,approval readiness,notes
"Can A Landlord Increase Rent Arbitrarily In Ogun","can-a-landlord-increase-rent-arbitrarily-in-ogun","Probate Estate Administration before repair","Property and tenancy law; Tenancy, landlord and eviction","Property and Tenancy Law","blog","medium","medium","Tenancy/current-law review needed; confirm no misleading rent-control claim","present","present","present","present","needs manual review","template CTA expected","not ready","Category repaired on hidden draft; keep hidden until tenancy-law review confirms current Ogun position and no overbroad advice."
"Certificate Of Occupancy In Rivers State","certificate-of-occupancy-in-rivers-state","Probate Estate Administration before repair","Property And Real Estate Law; Certificate of Occupancy and right of occupancy; Property title and perfection","Property and Real Estate Law","blog","high","high","State C of O/current-process review needed; possible overlap with live C of O article","present","present","present","present","needs manual review","template CTA expected","not ready","Category repaired across hidden draft copies; keep hidden because live C of O authority target already exists and duplication risk is high."
"Challenges Of Implementing The Land Use Act","challenges-of-implementing-the-land-use-act","Property And Real Estate Law before repair","Property And Real Estate Law; Land ownership, title and registration","Property and Real Estate Law","blog","high","high","Land Use Act/current-law review needed","present","present","present","present","needs manual review","template CTA expected","not ready","Category refined; keep hidden pending lawyer review and cannibalization check against existing Land Use Act/property-title content."
"How Do I Legally Evict a Tenant in Ogun State?","how-do-i-legally-evict-a-tenant-in-ogun-state","Mixed tenancy and Probate categories before repair","Property and tenancy law; Tenancy, landlord and eviction","Property and Tenancy Law","blog","medium","high","Eviction/self-help risk review required","mixed; some hidden copies missing image","mixed; some hidden copies missing alt text","present","present","needs manual review","template CTA expected","not ready","Category repaired; keep hidden until lawyer confirms notice, court-process, and no self-help wording."
"How to calculate stamp duty for property transactions in Ogun?","how-to-calculate-stamp-duty-chaman-law-firm","Mixed legacy/stamp-duty/Probate categories before repair","Property And Real Estate Law; Property finance and stamp duties","Property and Real Estate Law","blog","medium","medium","Tax/stamp-duty current-rate review required","mixed; some hidden copies missing image","mixed; some hidden copies missing alt text","present","present","needs manual review","template CTA expected","not ready","Category repaired for unapproved hidden copies; one approved draft record was intentionally skipped."
"Severe Repercussions of Land Grabbing in Nigeria: What Property Owners Must Know","land-grabbing-the-legal-consequences-of","Mixed legacy/off-brand/Probate categories before repair","Property And Real Estate Law; Land disputes and trespass","Property and Real Estate Law","blog","medium","medium","Land dispute/current-law review required; avoid overstatement","mixed; one older draft lacks image","mixed; one older draft lacks alt text","present","present","needs manual review","template CTA expected","not ready","Category and author governance repaired for hidden copies; older thin draft still needs body review."
"Property How To Place A Caveat","property-how-to-place-a-caveat","Probate Estate Administration before repair","Property And Real Estate Law; Property title and perfection","Property and Real Estate Law","blog","medium","medium","Property title/procedure review required","present","present","present","present","needs manual review","template CTA expected","not ready","Category repaired; title should be cleaned before approval."
"THE ROLE OF FAMILY COURT IN RELATION TO CHILD PROTECTION IN NIGERIA","the-role-of-family-court-in-relation-to-child-protect-in-nigeria","Mixed family/court/probate categories before repair","Family Law; Family litigation and child protection","Family Law","blog","medium","medium","Child/family-law sensitivity review required","mixed; older Phase 5C draft lacks image","mixed; older Phase 5C draft lacks alt text","present","present","needs manual review","template CTA expected","not ready","Category and author governance repaired for unapproved hidden copies; approved draft copy was intentionally skipped."
"Void and Voidable Marriages in Nigeria: Understanding Legal Implications","void-and-voidable-marriages-in-nigeria","Mixed family-law categories before repair","Family Law; Family, marriage and divorce","Family Law","blog","medium","medium","Family-law sensitivity review required","present","present","present","present","needs manual review","template CTA expected","not ready","Category and author governance repaired for hidden copies; keep hidden until lawyer confirms language, grounds, and limitations."
"Rights of a Property Owner in Nigeria","rights-of-a-property-owner-in-nigeria","not found in Sprint 10Z hidden-draft query","Property And Real Estate Law; Land ownership, title and registration","Property and Real Estate Law","blog","high","high","Property-rights duplicate review required","unknown","unknown","unknown","unknown","unknown","unknown","not ready","No matching hidden draft found in this repair slice; recover only if source record is located and not duplicative."
"Letters of Administration in Nigeria","letters-of-administration-in-nigeria","not found in Sprint 10Z hidden-draft query","Probate and estate administration; Probate, wills and inheritance","Probate and Estate Administration","blog","medium","medium","Probate/current-procedure review required","unknown","unknown","unknown","unknown","unknown","unknown","not ready","No matching hidden draft found in this repair slice; should be recovered from backup/search exports before review."
"Debt Recovery Lawyer Nigeria","debt-recovery-lawyer-nigeria","not found in Sprint 10Z hidden-draft query","Debt Recovery; Debt recovery and enforcement","Debt Recovery","service","high","high","Service-page cannibalization and claims review required","unknown","unknown","unknown","unknown","unknown","unknown","not ready","No matching hidden draft found in this repair slice; likely better handled as static/service authority planning, not a quick blog approval."
