slug,old_image,selected_image,image_source,topic_match,alt_text,patched,remaining_issue
polygamy-and-multiple-marriages-in-nigeria,,,not patched,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
can-a-minor-enter-into-a-valid-contract-in-nigeria,image-a5cf48632e4f6faa43a2d36d7bd3304bcec03198-1080x607-webp,image-a5cf48632e4f6faa43a2d36d7bd3304bcec03198-1080x607-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
powerful-steps-sources-of-tax-law-in-nigeria,image-e1ca124e9d805e2f18dd665ec1f1500a7eba3785-768x456-jpg,image-e1ca124e9d805e2f18dd665ec1f1500a7eba3785-768x456-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
deed-of-assignment-in-nigeria,image-ebfd8a8f877cd8fc11453b5c3784a6efc1692e3f-721x498-jpg,image-ebfd8a8f877cd8fc11453b5c3784a6efc1692e3f-721x498-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
gain-nigerian-citizenship-by-marriage,,,not patched,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
what-is-the-implication-of-quit-notice,,,not patched,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
individual-tax-clearance-certificate,image-f109262a3d50d136333421e843eae28aacaf7225-1080x1080-jpg,image-f109262a3d50d136333421e843eae28aacaf7225-1080x1080-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
steps-on-how-to-confidently-report-acrimelaw,image-fbf940b860fca8b5610edad98aa19d4bb579df71-259x195-jpg,image-fbf940b860fca8b5610edad98aa19d4bb579df71-259x195-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
how-to-legally-evict-a-tenant-in-lagos-state,image-a4c6e6c1e167e959a96669c8e1657818f462a986-275x183-jpg,image-a4c6e6c1e167e959a96669c8e1657818f462a986-275x183-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
how-to-calculate-and-pay-land-use-charge,image-42d5b6a180fb5ed41cedbcd4ffac87cc2e402826-1024x1024-webp,image-42d5b6a180fb5ed41cedbcd4ffac87cc2e402826-1024x1024-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,image-b22f893962f9e13eb0d352bb292d733d4f6f2749-276x183-jpg,image-b22f893962f9e13eb0d352bb292d733d4f6f2749-276x183-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
how-to-resolve-land-disputes-in-nigeria-with,image-c013270853b6ae47d5d0d670ccb364508df17a9f-1170x675-webp,image-c013270853b6ae47d5d0d670ccb364508df17a9f-1170x675-webp,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
breach-of-promise-to-marriage-in-nigeria,image-8c642c111c6c93079ccfd62a640af473e38a4677-768x432-jpg,image-8c642c111c6c93079ccfd62a640af473e38a4677-768x432-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
proven-steps-onoverview-of-the-child-right-act,image-f788253db82877ab2125645b4fb1ff3f4091d2bc-275x183-jpg,image-f788253db82877ab2125645b4fb1ff3f4091d2bc-275x183-jpg,existing Sanity/legacy image,not required for redirect/hold,,no,stronger existing practice/service page is the safer target
