priority,old URL,old slug,recommended target,current status,priority reason,recommended action,redirect status,notes
1,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,blocked,high GSC value and C of O/property-law authority,recover exact article or dedicated C of O page,pending,no redirect until exact target is public and sitemap-included
2,https://chamanlawfirm.com/documents-to-verify-before-buying-property/,documents-to-verify-before-buying-property,/practice-areas/property-real-estate-law/property-due-diligence,blocked,high commercial property due-diligence intent,expand service page or recover exact article,pending,avoid broad redirect until intent is exact
3,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/,rights-of-a-property-owner-in-nigeria,/resources/blog/rights-of-a-property-owner-in-nigeria,blocked,property owner authority and likely search demand,recover after duplicate review,pending,possible cannibalization with title/ownership articles
4,https://chamanlawfirm.com/land-use-act-1978/,land-use-act-1978,/resources/blog/land-use-act-1978,blocked,high authority legal education topic,decide pillar article vs merge,pending,avoid duplicate Land Use Act pages
5,https://chamanlawfirm.com/the-nigerian-legal-system/,the-nigerian-legal-system,/resources/blog/the-nigerian-legal-system,blocked,broad legal authority content,recover article after legal/source review,pending,not a direct service page
6,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,how-to-legally-change-a-child-surname,/practice-areas/family-law,blocked,sensitive family-law topic,recover only after lawyer review,pending,do not redirect to hidden draft
7,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,gain-nigerian-citizenship-by-marriage,/practice-areas/immigration-services,blocked,immigration/diaspora search value,recover lawyer-reviewed article or service section,pending,current generic target should be reviewed after exact recovery
8,https://chamanlawfirm.com/lekki-property-when-owner-dies-without-will/,lekki-property-when-owner-dies-without-will,/resources/blog/lekki-property-when-owner-dies-without-will,approved in Sprint 10V,property/probate recovery value,activate exact redirect only after 200 and sitemap inclusion,pending,approved in Sanity during Sprint 10V
9,https://chamanlawfirm.com/risk-management-strategies-for-real-estate-investment-in-nigeria/,risk-management-strategies-for-real-estate-investment-in-nigeria,/resources/blog/risk-management-strategies-for-real-estate-investment-in-nigeria,approved in Sprint 10V,property risk and advisory intent,activate exact redirect only after 200 and sitemap inclusion,pending,approved in Sanity during Sprint 10V
10,https://chamanlawfirm.com/can-a-foreigner-buy-property-chaman-law-firm/,can-a-foreigner-buy-property-chaman-law-firm,/resources/blog/can-a-foreigner-buy-property-chaman-law-firm,approved in Sprint 10V,diaspora/property buyer intent,activate exact redirect only after 200 and sitemap inclusion,pending,approved in Sanity during Sprint 10V
11,https://chamanlawfirm.com/force-majeure-clauses-in-business-contracts/,force-majeure-clauses-in-business-contracts,/resources/blog/force-majeure-clauses-in-business-contracts,hidden,contract law value but image/topic overlap risk,keep hidden pending lawyer and image review,pending,not approved in Sprint 10V
12,https://chamanlawfirm.com/3-proven-steps-on-how-to-rolve-land-disputes/,3-proven-steps-on-how-to-rolve-land-disputes,/resources/blog/3-proven-steps-on-how-to-rolve-land-disputes,hidden,land dispute search value but title/source cleanup needed,keep hidden pending cleanup,pending,not approved in Sprint 10V
