priority score,tier,old URL,slug,title,body completeness,image readiness,title quality,legal risk,current-law sensitivity,duplicate risk,CTA readiness,metadata readiness,internal-link readiness,publication action,notes
99,Tier C - lawyer/current-law review,https://chamanlawfirm.com/smart-home-technology-and-luxury-real-estate-trends,smart-home-technology-and-luxury-real-estate-trends,Smart Home Technology and Luxury Real Estate Trends,complete enough,image present,present; review for search intent,off-brand/property-sales wording,low automated risk,no configured redirect conflict,template CTA present,metadata present,internal/external links present in body marks,keep hidden pending lawyer/current-law review,no public change unless selected
70,Tier D - already public / monitor,https://chamanlawfirm.com/building-permit-approval-in-ogun-state,building-permit-approval-in-ogun-state,How to Get Building Permit Approval in Ogun State (Full Guide),complete enough,image present,present; review for search intent,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict,template CTA present,metadata present,internal/external links present in body marks,no public change,no public change unless selected
67,Tier D - already public / monitor,https://chamanlawfirm.com/the-statutory-right-of-occupancy-in-nigeria,the-statutory-right-of-occupancy-in-nigeria,What is the Statutory Right of Occupancy in Nigeria?,complete enough,image present,present; review for search intent,current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review,lawyer review required,no configured redirect conflict,template CTA present,metadata present,internal/external links present in body marks,no public change,no public change unless selected
65,Tier D - already public / monitor,https://chamanlawfirm.com/transfer-of-company-shares-in-nigeria,transfer-of-company-shares-in-nigeria,TRANSFER OF COMPANY SHARES IN NIGERIA,complete enough,image present,present; review for search intent,low automated risk,low automated risk,no configured redirect conflict,template CTA present,metadata present,internal/external links present in body marks,no public change,no public change unless selected
60,Tier D - already public / monitor,https://chamanlawfirm.com/annulment-of-marriage-under-the-nigerian-law,annulment-of-marriage-under-the-nigerian-law,Annulment of Marriage Under Nigerian Law: 5 Essential Insights for Positive Legal Clarity,complete enough,image present,present; review for search intent,low automated risk,low automated risk,no configured redirect conflict,template CTA present,metadata present,internal/external links present in body marks,no public change,no public change unless selected
57,Tier D - already public / monitor,https://chamanlawfirm.com/land-ownership-disputes-in-nigeria,land-ownership-disputes-in-nigeria,The Role of Courts in Resolving Land Ownership Disputes in Nigeria: Legal Insights and Case Studies,complete enough,image present,present; review for search intent,possible unsafe self-help wording; current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review; unsupported outcome claim,lawyer review required,no configured redirect conflict,template CTA present,metadata present,internal/external links present in body marks,no public change,no public change unless selected
56,Tier D - already public / monitor,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria,landlord-and-tenant-rights-in-nigeria,A comprehensive guide on Landlord and Tenant Rights in Nigeria,complete enough,image present,present; review for search intent,possible unsafe self-help wording; current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict,template CTA present,metadata present,internal/external links present in body marks,no public change,no public change unless selected
55,Tier C - lawyer/current-law review,https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria,polygamy-and-multiple-marriages-in-nigeria,Polygamy and Multiple Marriages in Nigeria,complete enough,image present,present; review for search intent,current-law or procedure-sensitive topic; family-status topic requires lawyer review; unsupported outcome claim,lawyer review required,redirect conflict: /practice-areas/family-law,template CTA present,metadata present,internal/external links present in body marks,keep hidden pending lawyer/current-law review,no public change unless selected
52,Tier C - lawyer/current-law review,https://chamanlawfirm.com/can-a-minor-enter-into-a-valid-contract-in-nigeria,can-a-minor-enter-into-a-valid-contract-in-nigeria,CAN A MINOR ENTER INTO A VALID CONTRACT IN NIGERIA?,complete enough,image present,present; review for search intent,low automated risk,low automated risk,redirect conflict: /practice-areas/corporate-commercial-law/minor-contract-capacity,template CTA present,metadata present,internal/external links present in body marks,keep hidden pending lawyer/current-law review,no public change unless selected
50,Tier D - already public / monitor,https://chamanlawfirm.com/difference-between-ownership-and-possession,difference-between-ownership-and-possession,Difference Between Ownership and Possession,complete enough,image present,present; review for search intent,current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review,lawyer review required,no configured redirect conflict,template CTA present,metadata present,internal/external links present in body marks,no public change,no public change unless selected
