priority rank,old URL,old title,old meta title,old meta description,old content type,current live status,Google ranking/impression/click evidence,featured snippet evidence,old image availability,best new route,whether to preserve same URL or redirect,redirect target,canonical URL,sitemap inclusion,legal safety status,image status,approval status,recovery classification,notes
"1","https://chamanlawfirm.com/","Home","","","general legal education","live canonical/static","1598 clicks; 78655 impressions; avg position 25.32 from local GSC Pages.csv","not available locally","legacy image not confirmed","/","preserve same URL","","https://chamanlawfirm.com/","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
"19","https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/","Gain Nigerian Citizenship By Marriage","Powerful step: Gain Nigerian Citizenship by Marriage","Learn how a foreign wife can gain Nigerian citizenship by marriage, including eligibility, legal process, and documents required for application.","immigration","redirect configured to /practice-areas/immigration-services","505 clicks; 34961 impressions; avg position 11.08 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/immigration-services","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/immigration-services","included","high - lawyer review required before publication","image recovery needed","hidden/not approved","merge into existing stronger live page",""
"38","https://chamanlawfirm.com/what-is-the-implication-of-quit-notice/","What Is The Implication Of Quit Notice","Implication of Quit Notice","Implication of Quit Notice. It is a letter issued to a tenant by the landlord stating the specific date the tenant is expected to evict the premises and give up possession of the property.","general legal education","redirect configured to /practice-areas/property-real-estate-law","283 clicks; 30132 impressions; avg position 11.67 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/property-real-estate-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","high - lawyer review required before publication","image recovery needed","hidden/not approved","merge into existing stronger live page",""
"40","https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria/","Polygamy And Multiple Marriages In Nigeria","Polygamy And Multiple Marriages In Nigeria; The Ultimate Guide to Polygamy under Nigerian Law: Proven Essential Insights","Polygamy And Multiple Marriages In Nigeria","family law","redirect configured to /practice-areas/family-law","262 clicks; 65029 impressions; avg position 8.88 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/family-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/family-law","included","high - lawyer review required before publication","image and alt present in Sanity","hidden/not approved","merge into existing stronger live page",""
"47","https://chamanlawfirm.com/registration-of-trade-union-in-nigeria/","Registration Of Trade Union In Nigeria","","","general legal education","redirect configured to /practice-areas/employment-law","227 clicks; 11085 impressions; avg position 14.87 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/employment-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/employment-law","included","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
"49","https://chamanlawfirm.com/how-to-file-complaint-against-police-officers-in-nigeria/","How To File Complaint Against Police Officers In Nigeria","How To File Complaint Against Police Officers In Nigeria","HOW TO FILE COMPLAINT AGAINST POLICE OFFICERS IN NIGERIA, To file a complaint against a police officer in Nigeria...","litigation/ADR","redirect configured to /practice-areas/litigation-dispute-resolution","226 clicks; 14028 impressions; avg position 9.58 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/litigation-dispute-resolution","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution","included","high - lawyer review required before publication","image recovery needed","hidden/not approved","merge into existing stronger live page",""
"50","https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action/","Abandonment And Withdrew Of Court Action","Proven Steps on Abandonment and Withdrew of Court Action","Chaman Law Firm explains the consequences of Abandonment and Withdrew of Court Action in Nigeria, clarity and guidance on litigation decisions","litigation/ADR","redirect configured to /practice-areas/litigation-dispute-resolution","219 clicks; 10144 impressions; avg position 6.77 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/litigation-dispute-resolution","redirect old URL to best new route","/practice-areas/litigation-dispute-resolution","https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution","included","low/medium - editorial and legal review still required","image and alt present in Sanity","approved public","merge into existing stronger live page",""
"55","https://chamanlawfirm.com/certificate-of-occupancy-in-rivers-state/","Certificate Of Occupancy In Rivers State","Certificate of Occupancy in Rivers State: Effortless 2025 Guide: How to Secure Your Certificate of Occupancy in Rivers State","Certificate of Occupancy in Rivers State The process of acquiring a Certificate of Occupancy (C of O) in Rivers State, Nigeria, has long...","property/title","redirect configured to /practice-areas/property-real-estate-law","210 clicks; 5338 impressions; avg position 9.43 from local GSC Pages.csv","not available locally","Sanity image present","/practice-areas/property-real-estate-law","redirect old URL to best new route","/practice-areas/property-real-estate-law","https://chamanlawfirm.com/practice-areas/property-real-estate-law","included","low/medium - editorial and legal review still required","image and alt present in Sanity","approved public","merge into existing stronger live page",""
"61","https://chamanlawfirm.com/how-to-legally-change-a-child-surname/","How To Legally Change A Child Surname","","","family law","redirect configured to /practice-areas/family-law","180 clicks; 10512 impressions; avg position 10.02 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/family-law","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/family-law","included","high - lawyer review required before publication","image recovery needed","not restored","merge into existing stronger live page",""
"62","https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy/","The Role Of The Judiciary In Nigerian Democracy","","","litigation/ADR","redirect configured to /practice-areas/litigation-dispute-resolution","177 clicks; 8272 impressions; avg position 16.9 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/litigation-dispute-resolution","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution","included","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
