old URL,slug,title,body recovered yes/no,body quality,short/thin risk,plugin debris,image status,alt status,metadata status,legal/current-law risk,duplicate/cannibalization risk,approval readiness,notes
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,yes,complete,no,not detected,present,present,complete,"high risk, keep hidden",duplicate/thin-content flag,not ready,not in Sprint 11L low-risk controlled subset; high legal-risk flag; duplicate/thin-content flag; overpromising/editorial hype
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,yes,complete,no,not detected,missing,missing,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,yes,complete,no,not detected,missing,missing,complete,"high risk, keep hidden",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; high legal-risk flag; overpromising/editorial hype
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,LIST OF GOVERNMENT AGENCIES OF NIGERIA,yes,complete,no,not detected,missing,missing,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; internal links missing
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,yes,complete,no,not detected,missing,missing,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,yes,complete,no,not detected,present,present,complete,"high risk, keep hidden",not flagged,not ready,not in Sprint 11L low-risk controlled subset; high legal-risk flag
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,no,thin/missing,yes,not detected,present,present,complete,"high risk, keep hidden",duplicate/thin-content flag,not ready,not in Sprint 11L low-risk controlled subset; body too short; consultation CTA missing; internal links missing; high legal-risk flag; duplicate/thin-content flag
https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,What Are the Sources of Nigerian Law?,yes,complete,no,not detected,present,present,complete,low-risk and approval-ready,not flagged,approved,passes Sprint 11L approval gates
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are The Duties Of Correctional Institutions In Nigeria?,yes,complete,no,not detected,missing,missing,complete,"high risk, keep hidden",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; misleading free-service wording; high legal-risk flag
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Learning: The Impact Of Technology On Nigerian Education,yes,complete,no,not detected,missing,missing,complete,"high risk, keep hidden",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; off-brand/property-sales wording; overpromising/editorial hype
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping And Up-Stamping Of A Mortgage Document,yes,complete,no,not detected,present,present,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset
https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria,how-to-apply-for-certificate-of-good-conduct-in-nigeria,HOW TO APPLY FOR CERTIFICATE OF GOOD CONDUCT IN NIGERIA,yes,usable,no,not detected,missing,missing,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/the-nigerian-legal-system,the-nigerian-legal-system,"The Nigerian Legal System: Structure, Sources and Process",yes,complete,no,not detected,present,present,complete,"medium risk, needs lawyer review",not flagged,not ready,overpromising/editorial hype
https://chamanlawfirm.com/nigeria-prohibited-items-list,nigeria-prohibited-items-list,Truths Behind Nigeria'S Prohibited Items List; What You Must Know!,yes,complete,no,not detected,missing,missing,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; overpromising/editorial hype
https://chamanlawfirm.com/legal-implications-of-joint-property,legal-implications-of-joint-property,The Legal Implications Of Joint Property Ownership In Nigeria,yes,complete,no,not detected,missing,missing,complete,"high risk, keep hidden",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; off-brand/property-sales wording
https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate,how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,yes,complete,no,not detected,present,present,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset
https://chamanlawfirm.com/laspppa-what-it-is-and-why-it-matters-in-lagos,laspppa-what-it-is-and-why-it-matters-in-lagos,LASPPPA: What It Is And Why It Matters For Property Owners In Lagos,yes,complete,no,not detected,missing,missing,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/land-registration-system-in-nigeria,land-registration-system-in-nigeria,Land Registration System In Nigeria,yes,complete,no,not detected,present,present,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset
https://chamanlawfirm.com/land-use-act-1978,land-use-act-1978,Understanding The Land Use Act: How It Affects You,yes,complete,no,not detected,present,present,complete,"high risk, keep hidden",duplicate/thin-content flag,not ready,not in Sprint 11L low-risk controlled subset; high legal-risk flag; duplicate/thin-content flag; overpromising/editorial hype
https://chamanlawfirm.com/the-concept-of-restitution-of-conjugal-rights,the-concept-of-restitution-of-conjugal-rights,The Concept Of Restitution Of Conjugal Rights,yes,complete,no,not detected,missing,missing,complete,"high risk, keep hidden",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; high legal-risk flag
https://chamanlawfirm.com/5-lis-pendens-understanding-the-doctrine,5-lis-pendens-understanding-the-doctrine,5 Insights Into The Doctrine Of Lis Pendens In Real Estate Transactions; Legal Implications And Protection,yes,complete,no,not detected,missing,missing,complete,"high risk, keep hidden",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing; off-brand/property-sales wording
https://chamanlawfirm.com/lagos-tenancy-fixed-and-periodic-tenancies,lagos-tenancy-fixed-and-periodic-tenancies,Lagos Tenancy Fixed And Periodic Tenancies,yes,complete,no,not detected,present,present,complete,"high risk, keep hidden",duplicate/thin-content flag,not ready,not in Sprint 11L low-risk controlled subset; unsafe self-help wording; high legal-risk flag; duplicate/thin-content flag
https://chamanlawfirm.com/enforcing-fundamental-human-right,enforcing-fundamental-human-right,FUNDAMENTAL HUMAN RIGHT; WHAT ARE THE PROCEDURES FOR ENFORCING FUNDAMENTAL HUMAN RIGHT?,yes,complete,no,not detected,missing,missing,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/landlords-and-tenants-in-nigeria,landlords-and-tenants-in-nigeria,Landlords And Tenants In Nigeria,yes,complete,no,not detected,present,present,complete,"high risk, keep hidden",not flagged,not ready,not in Sprint 11L low-risk controlled subset; off-brand/property-sales wording; unsafe self-help wording
https://chamanlawfirm.com/proven-steps-the-canons-of-interpretation,proven-steps-the-canons-of-interpretation,What Are The Canons Of Interpretation,yes,complete,no,not detected,missing,missing,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset; image missing; alt text missing
https://chamanlawfirm.com/how-to-file-a-lawsuit-in-nigeria,how-to-file-a-lawsuit-in-nigeria,HOW TO FILE A LAWSUIT IN NIGERIA,yes,complete,no,not detected,present,present,complete,"medium risk, needs lawyer review",not flagged,not ready,not in Sprint 11L low-risk controlled subset; misleading free-service wording
