old URL,slug,title,GSC clicks,GSC impressions,average position,queue status,recommended target,redirect status,legal risk,image status,notes,Sprint 11F status
https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,landlord-and-tenant-rights-in-nigeria,Landlord And Tenant Rights In Nigeria,1579,59489,8.76,already restored/live,/resources/blog/landlord-and-tenant-rights-in-nigeria,configured to /resources/blog/landlord-and-tenant-rights-in-nigeria,medium - verify current law and facts before publication,image and alt present in Sanity,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,already restored/live
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,Obtaining A Certificate Of Occupancy C Of O,1173,39662,4.42,needs image,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,medium - verify current law and facts before publication,image recovery needed,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,needs image
https://chamanlawfirm.com/cac-public-search-guide-nigeria/,cac-public-search-guide-nigeria,CAC Public Search Guide Nigeria,1009,77699,8.95,already restored/live,/resources/blog/cac-public-search-guide-nigeria,configured to /resources/blog/cac-public-search-guide-nigeria,low/medium - editorial and legal review still required,image and alt present in Sanity,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,already restored/live
https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,the-jurisdiction-of-courts-in-nigeria,The Jurisdiction Of Courts In Nigeria,770,40707,17.01,already restored/live,/resources/blog/the-jurisdiction-of-courts-in-nigeria,configured to /resources/blog/the-jurisdiction-of-courts-in-nigeria,low/medium - editorial and legal review still required,image and alt present in Sanity,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,already restored/live
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,763,51092,8.05,needs image,/resources/blog/the-concept-of-rule-of-law-in-nigeria,not configured,low/medium - editorial and legal review still required,image recovery needed,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,needs image
https://chamanlawfirm.com/types-of-tenant-in-nigeria/,types-of-tenant-in-nigeria,Types Of Tenant In Nigeria,758,23316,10.41,already restored/live,/resources/blog/types-of-tenant-in-nigeria,configured to /resources/blog/types-of-tenant-in-nigeria,medium - verify current law and facts before publication,image and alt present in Sanity,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,already restored/live
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,731,34973,8.93,needs image,/resources/blog/how-to-change-car-ownership-in-nigeria,not configured,low/medium - editorial and legal review still required,image recovery needed,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,needs image
https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,proper-steps-to-eviction-of-tenants,Proper Steps To Eviction Of Tenants,708,32444,9.43,already restored/live,/resources/blog/proper-steps-to-eviction-of-tenants,configured to /resources/blog/proper-steps-to-eviction-of-tenants,high - lawyer review required before publication,image and alt present in Sanity,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,needs lawyer review
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,689,48652,8.56,needs image,/resources/blog/how-to-track-a-stolen-phone-in-nigeria,not configured,low/medium - editorial and legal review still required,image recovery needed,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,needs image
https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/,the-ogun-state-tenancy-law-chaman-law-firm,The Ogun State Tenancy Law Chaman Law Firm,646,10043,4.93,already restored/live,/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,configured to /resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,low/medium - editorial and legal review still required,image and alt present in Sanity,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.,already restored/live
