title,slug,old URL,current redirect target,body status,image status,metadata status,legal safety status,duplicate/cannibalization risk,source confidence,recommended action,approval readiness,notes
0btain Guide On How To Obtain Tax,0btain-guide-on-how-to-obtain-tax,https://chamanlawfirm.com/0btain-guide-on-how-to-obtain-tax/,not currently mapped,37 blocks,missing,complete,passes automated screen,no obvious thin risk,medium - source body present; asset/metadata needs completion,ready for image completion,keep hidden,article-specific image missing; alt text missing
10 Proven Insights Into Tenancy Law In Lago,10-proven-insights-into-tenancy-law-in-lago,https://chamanlawfirm.com/10-proven-insights-into-tenancy-law-in-lago/,not currently mapped,52 blocks,missing,complete,needs lawyer/legal cleanup,no obvious thin risk,medium - source body present; asset/metadata needs completion,needs legal wording cleanup,keep hidden,article-specific image missing; alt text missing; eviction/self-help legal wording requires lawyer review
3 Proven Steps On How To Rolve Land Disputes,3-proven-steps-on-how-to-rolve-land-disputes,https://chamanlawfirm.com/3-proven-steps-on-how-to-rolve-land-disputes/,not currently mapped,62 blocks,missing,complete,passes automated screen,no obvious thin risk,medium - source body present; asset/metadata needs completion,ready for image completion,keep hidden,article-specific image missing; alt text missing
How to Resolve Land Disputes in Nigeria,3-proven-steps-on-how-to-rolve-land-disputes,https://chamanlawfirm.com/3-proven-steps-on-how-to-rolve-land-disputes/,not currently mapped,62 blocks,present with alt,complete,passes automated screen,no obvious thin risk,"high - source body, metadata, and image evidence present",ready for controlled approval review,ready for manual approval consideration,
4 Proven Steps On How To Enforce A Contract,4-proven-steps-on-how-to-enforce-a-contract,https://chamanlawfirm.com/4-proven-steps-on-how-to-enforce-a-contract/,not currently mapped,72 blocks,missing,complete,passes automated screen,no obvious thin risk,medium - source body present; asset/metadata needs completion,ready for image completion,keep hidden,article-specific image missing; alt text missing
5 Ways To Avoid Property Scam In Nigeria,5-ways-to-avoid-property-scam-in-nigeria,https://chamanlawfirm.com/5-ways-to-avoid-property-scam-in-nigeria/,not currently mapped,59 blocks,missing,complete,passes automated screen,no obvious thin risk,medium - source body present; asset/metadata needs completion,ready for image completion,keep hidden,article-specific image missing; alt text missing
7 Effective Steps To Take When A Landlord Refuses To Return Your Rent Deposit,7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,https://chamanlawfirm.com/7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit/,not currently mapped,95 blocks,present with alt,complete,needs lawyer/legal cleanup,no obvious thin risk,"high - source body, metadata, and image evidence present",needs legal wording cleanup,keep hidden,eviction/self-help legal wording requires lawyer review
7 Step Citizenship Application In Nigeria,7-step-citizenship-application-in-nigeria,https://chamanlawfirm.com/7-step-citizenship-application-in-nigeria/,not currently mapped,62 blocks,missing,complete,passes automated screen,no obvious thin risk,medium - source body present; asset/metadata needs completion,ready for image completion,keep hidden,article-specific image missing; alt text missing
7 Steps On How To Use Small Claims Court,7-steps-on-how-to-use-small-claims-court,https://chamanlawfirm.com/7-steps-on-how-to-use-small-claims-court/,not currently mapped,68 blocks,missing,complete,passes automated screen,no obvious thin risk,medium - source body present; asset/metadata needs completion,ready for image completion,keep hidden,article-specific image missing; alt text missing
A Will Made Abroad Cover Property In Ogun,a-will-made-abroad-cover-property-in-ogun,https://chamanlawfirm.com/a-will-made-abroad-cover-property-in-ogun/,not currently mapped,92 blocks,missing,complete,passes automated screen,no obvious thin risk,medium - source body present; asset/metadata needs completion,ready for image completion,keep hidden,article-specific image missing; alt text missing
