old URL,old title,old meta title,old meta description,old content type,current live status,GSC clicks,GSC impressions,average position,backlink evidence,featured-snippet evidence,current redirect status,current 404 status,Sanity public status,Sanity hidden/draft status,recommended action,recommended target,target live status,sitemap inclusion,canonical status,legal risk,image status,priority score,notes
https://chamanlawfirm.com/,Home,,,general legal education,live canonical/static,1598,78655,25.32,not available locally,not available locally,not configured,not confirmed as 404 in this pass,not public,none detected,evaluate for static/service restoration,/,not live-checked in Sprint 11E,not included,production canonical target,low/medium - editorial and legal review still required,image recovery needed,8777,
https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,Landlord And Tenant Rights In Nigeria,Landlord and Tenant Rights in Nigeria: Complete Legal Guide,"Understand your rights as a landlord or tenant in Nigeria. Learn about tenancy laws, and rent obligations under Nigerian property law.",property/title,redirect configured to /resources/blog/landlord-and-tenant-rights-in-nigeria,1579,59489,8.76,not available locally,not available locally,configured to /resources/blog/landlord-and-tenant-rights-in-nigeria,not confirmed as 404 in this pass,approved public,none detected,monitor existing redirect,/resources/blog/landlord-and-tenant-rights-in-nigeria,sitemap-included target,included,production canonical target,medium - verify current law and facts before publication,image and alt present in Sanity,8590,
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,Obtaining A Certificate Of Occupancy C Of O,The best way to obtain Certificate of Occupancy in Nigeria,"Certificate of Occupancy In Nigeria, for a person to successfully establish ownership or acquisition of land or landed property,",property/title,redirect configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,1173,39662,4.42,not available locally,not available locally,configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,not confirmed as 404 in this pass,not public,hidden/unapproved,monitor existing redirect,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,sitemap-included target,included,production canonical target,medium - verify current law and facts before publication,image recovery needed,6362,
https://chamanlawfirm.com/cac-public-search-guide-nigeria/,CAC Public Search Guide Nigeria,How to Use CAC Public Search in Nigeria | Chaman Law Firm,"Learn how CAC public search helps verify Nigerian company information, what it can and cannot prove, and when to request legal due diligence.",corporate/commercial,redirect configured to /resources/blog/cac-public-search-guide-nigeria,1009,77699,8.95,not available locally,not available locally,configured to /resources/blog/cac-public-search-guide-nigeria,not confirmed as 404 in this pass,approved public,none detected,monitor existing redirect,/resources/blog/cac-public-search-guide-nigeria,sitemap-included target,included,production canonical target,low/medium - editorial and legal review still required,image and alt present in Sanity,5922,
https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,The Jurisdiction Of Courts In Nigeria,The Jurisdiction of Courts in Nigeria | Chaman Law Firm,"Understand how Nigerian court jurisdiction works, why the correct forum matters, and why legal advice is important before filing a claim.",litigation/ADR,redirect configured to /resources/blog/the-jurisdiction-of-courts-in-nigeria,770,40707,17.01,not available locally,not available locally,configured to /resources/blog/the-jurisdiction-of-courts-in-nigeria,not confirmed as 404 in this pass,approved public,none detected,monitor existing redirect,/resources/blog/the-jurisdiction-of-courts-in-nigeria,sitemap-included target,included,production canonical target,low/medium - editorial and legal review still required,image and alt present in Sanity,4307,
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,The Concept Of Rule Of Law In Nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,"THE CONCEPT OF RULE OF LAW IN NIGERIA, Rule of law is a legal maxim that suggests that no one is above the law and governmental decisions....",general legal education,hidden Sanity draft; do not redirect,763,51092,8.05,not available locally,not available locally,not configured,not confirmed as 404 in this pass,not public,hidden/unapproved,hold for controlled blog restoration,/resources/blog/the-concept-of-rule-of-law-in-nigeria,not live-checked in Sprint 11E,not included,production canonical target,low/medium - editorial and legal review still required,image recovery needed,4426,
https://chamanlawfirm.com/types-of-tenant-in-nigeria/,Types Of Tenant In Nigeria,Types of Tenants in Nigeria | Chaman Law Firm,"Understand common types of tenants in Nigeria, including fixed-term and periodic tenancies, and why tenancy classification affects notices and rights.",property/title,redirect configured to /resources/blog/types-of-tenant-in-nigeria,758,23316,10.41,not available locally,not available locally,configured to /resources/blog/types-of-tenant-in-nigeria,not confirmed as 404 in this pass,approved public,none detected,monitor existing redirect,/resources/blog/types-of-tenant-in-nigeria,sitemap-included target,included,production canonical target,medium - verify current law and facts before publication,image and alt present in Sanity,4073,
https://chamanlawfirm.com/about-us/,About Us,,,general legal education,redirect configured to /about,733,41803,6.17,not available locally,not available locally,configured to /about,not confirmed as 404 in this pass,not public,none detected,monitor existing redirect,/about,sitemap-included target,included,production canonical target,low/medium - editorial and legal review still required,image recovery needed,4333,
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,How To Change Car Ownership In Nigeria,,,general legal education,live 404,731,34973,8.93,not available locally,not available locally,not configured,currently 404 or previously confirmed 404,not public,none detected,hold for controlled blog restoration,/resources/blog/how-to-change-car-ownership-in-nigeria,not live-checked in Sprint 11E,not included,production canonical target,low/medium - editorial and legal review still required,image recovery needed,4105,
https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,Proper Steps To Eviction Of Tenants,Proper Legal Steps to Evict a Tenant in Nigeria | Chaman Law Firm,"Learn the lawful steps landlords should consider before recovering premises, including notices, court process, and avoiding self-help eviction.",property/title,redirect configured to /resources/blog/proper-steps-to-eviction-of-tenants,708,32444,9.43,not available locally,not available locally,configured to /resources/blog/proper-steps-to-eviction-of-tenants,not confirmed as 404 in this pass,approved public,none detected,monitor existing redirect,/resources/blog/proper-steps-to-eviction-of-tenants,sitemap-included target,included,production canonical target,high - lawyer review required before publication,image and alt present in Sanity,3889,
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,How To Track A Stolen Phone In Nigeria,,,general legal education,live 404,689,48652,8.56,not available locally,not available locally,not configured,currently 404 or previously confirmed 404,not public,none detected,hold for controlled blog restoration,/resources/blog/how-to-track-a-stolen-phone-in-nigeria,not live-checked in Sprint 11E,not included,production canonical target,low/medium - editorial and legal review still required,image recovery needed,4032,
