slug,title,old URL,new URL,draft id,body status,seo title status,meta description status,canonical status,image status,alt text status,category status,internal link status,consultation CTA status,legal safety status,off-brand risk,repair applied,approval readiness,recommended next action,notes
ultimate-legal-guide-to-buying-land-in-niger,Ultimate Legal Guide To Buying Land In Niger,https://chamanlawfirm.com/ultimate-legal-guide-to-buying-land-in-niger/,https://chamanlawfirm.com/resources/blog/ultimate-legal-guide-to-buying-land-in-niger,drafts.chamanlawfirm.sprint10q.ultimate-legal-guide-to-buying-land-in-niger,exists (7397 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,no automated blocker found; lawyer review still required,no,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed,not in controlled approval subset
managing-corporate-reputation,Managing Corporate Reputation,https://chamanlawfirm.com/managing-corporate-reputation/,https://chamanlawfirm.com/resources/blog/managing-corporate-reputation,drafts.chamanlawfirm.sprint10q.managing-corporate-reputation,exists (21247 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,no automated blocker found; lawyer review still required,no,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed,not in controlled approval subset
land-registration-in-lagos,Land Registration In Lagos,https://chamanlawfirm.com/land-registration-in-lagos/,https://chamanlawfirm.com/resources/blog/land-registration-in-lagos,drafts.chamanlawfirm.sprint10q.land-registration-in-lagos,exists (2983 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,no automated blocker found; lawyer review still required,no,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed,not in controlled approval subset
what-property-taxes-must-i-pay-when-buying,What Property Taxes Must I Pay When Buying,https://chamanlawfirm.com/what-property-taxes-must-i-pay-when-buying/,https://chamanlawfirm.com/resources/blog/what-property-taxes-must-i-pay-when-buying,drafts.chamanlawfirm.sprint10q.what-property-taxes-must-i-pay-when-buying,exists (9974 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,no automated blocker found; lawyer review still required,no,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed,not in controlled approval subset
enhancing-nigerian-immigration-security-2,Enhancing Nigerian Immigration Security 2,https://chamanlawfirm.com/enhancing-nigerian-immigration-security-2/,https://chamanlawfirm.com/resources/blog/enhancing-nigerian-immigration-security-2,drafts.chamanlawfirm.sprint10q.enhancing-nigerian-immigration-security-2,exists (20704 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,no automated blocker found; lawyer review still required,no,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed,not in controlled approval subset
how-to-start-a-private-lending-company,How To Start A Private Lending Company,https://chamanlawfirm.com/how-to-start-a-private-lending-company/,https://chamanlawfirm.com/resources/blog/how-to-start-a-private-lending-company,drafts.chamanlawfirm.sprint10q.how-to-start-a-private-lending-company,exists (4339 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,no automated blocker found; lawyer review still required,no,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed,not in controlled approval subset
lekki-property-when-owner-dies-without-will,Lekki Property When Owner Dies Without Will,https://chamanlawfirm.com/lekki-property-when-owner-dies-without-will/,https://chamanlawfirm.com/resources/blog/lekki-property-when-owner-dies-without-will,drafts.chamanlawfirm.sprint10q.lekki-property-when-owner-dies-without-will,exists (11988 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,no automated blocker found; lawyer review still required,no,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed,not in controlled approval subset
property-developers-guide-to-tax-compliance,Property Developers Guide To Tax Compliance,https://chamanlawfirm.com/property-developers-guide-to-tax-compliance/,https://chamanlawfirm.com/resources/blog/property-developers-guide-to-tax-compliance,drafts.chamanlawfirm.sprint10q.property-developers-guide-to-tax-compliance,exists (12318 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,off-brand/property-sales signal requires manual removal,yes,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed; off-brand/property-sales signal requires manual removal,not in controlled approval subset
challenge-a-fraudulent-probate-application,Challenge A Fraudulent Probate Application,https://chamanlawfirm.com/challenge-a-fraudulent-probate-application/,https://chamanlawfirm.com/resources/blog/challenge-a-fraudulent-probate-application,drafts.chamanlawfirm.sprint10q.challenge-a-fraudulent-probate-application,exists (9501 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,no automated blocker found; lawyer review still required,no,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed,not in controlled approval subset
how-to-licence-a-trademark-in-nigeria,How To Licence A Trademark In Nigeria,https://chamanlawfirm.com/how-to-licence-a-trademark-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-licence-a-trademark-in-nigeria,drafts.chamanlawfirm.sprint10q.how-to-licence-a-trademark-in-nigeria,exists (11606 chars),already present,already present,already present,missing - image recovery required,missing until image recovery,already present,present or repaired,present or repaired,no automated blocker found; lawyer review still required,no,yes,still hidden - not approval-ready,resolve: featured image still needed; alt text still needed,not in controlled approval subset
