legacy_url,normalized_url,legacy_title,content_type,legacy_slug,historical_clicks,historical_impressions,backlink_evidence,current_status,current_public_url,sanity_status,hidden_status,redirect_status,legal_status,duplicate_status,recovery_priority,final_classification,final_reason,last_processed_sprint,next_action,fully_closed
https://chamanlawfirm.com/0btain-guide-on-how-to-obtain-tax,https://chamanlawfirm.com/0btain-guide-on-how-to-obtain-tax,0btain Guide On How To Obtain Tax,high-value legacy,0btain-guide-on-how-to-obtain-tax,,,,hidden_source_imported,/resources/blog/0btain-guide-on-how-to-obtain-tax,,,,public-safe or previously merged,,high,GENUINE_LEGAL_HOLD,unresolved high-value source requires legal/source recovery; not silently abandoned,FINAL_CLOSURE_BASELINE,monitor only,yes
https://chamanlawfirm.com/10-proven-insights-into-tenancy-law-in-lago,https://chamanlawfirm.com/10-proven-insights-into-tenancy-law-in-lago,10 Proven Insights Into Tenancy Law In Lago,high-value legacy,10-proven-insights-into-tenancy-law-in-lago,,,,hidden_source_imported,/resources/blog/10-proven-insights-into-tenancy-law-in-lago,,,,public-safe or previously merged,,high,GENUINE_LEGAL_HOLD,unresolved high-value source requires legal/source recovery; not silently abandoned,FINAL_CLOSURE_BASELINE,monitor only,yes
https://chamanlawfirm.com/200/canonical-safe,https://chamanlawfirm.com/200/canonical-safe,Canonical Safe,legacy,canonical-safe,,,,low_value_retired_or_unknown,/resources/blog/canonical-safe,,,,public-safe or previously merged,,normal,IRRELEVANT_RETIRED,low_value_retired_or_unknown,FINAL_CLOSURE_BASELINE,monitor only,yes
https://chamanlawfirm.com/2024,https://chamanlawfirm.com/2024,2024,high-value legacy,2024,,,,missing_not_imported,/resources/blog/2024,,,,public-safe or previously merged,,high,GENUINE_LEGAL_HOLD,unresolved high-value source requires legal/source recovery; not silently abandoned,FINAL_CLOSURE_BASELINE,monitor only,yes
https://chamanlawfirm.com/3-cybersecurity-laws-and-regulations-in-nig,https://chamanlawfirm.com/3-cybersecurity-laws-and-regulations-in-nig,3 Cybersecurity Laws And Regulations In Nig,high-value legacy,3-cybersecurity-laws-and-regulations-in-nig,,,,missing_not_imported,/resources/blog/3-cybersecurity-laws-and-regulations-in-nig,,,,public-safe or previously merged,,high,GENUINE_LEGAL_HOLD,unresolved high-value source requires legal/source recovery; not silently abandoned,FINAL_CLOSURE_BASELINE,monitor only,yes
https://chamanlawfirm.com/3-proven-cryptocurrency-regulations-navigati,https://chamanlawfirm.com/3-proven-cryptocurrency-regulations-navigati,3 Proven Cryptocurrency Regulations: Navigating the Global Landscape,legacy,3-proven-cryptocurrency-regulations-navigati,,,,hidden_source_imported,/resources/blog/3-proven-cryptocurrency-regulations-navigati,,,,public-safe or previously merged,,normal,UNRESOLVED_ERROR,hidden_source_imported,FINAL_CLOSURE_BASELINE,monitor only,yes
https://chamanlawfirm.com/3-proven-steps-on-how-to-rolve-land-disputes,https://chamanlawfirm.com/3-proven-steps-on-how-to-rolve-land-disputes,3 Proven Steps On How To Rolve Land Disputes,high-value legacy,3-proven-steps-on-how-to-rolve-land-disputes,,,,redirected_to_live_blog,/resources/blog/3-proven-steps-on-how-to-rolve-land-disputes,,,active or proxy-handled,public-safe or previously merged,,high,RESTORED_NEW_CANONICAL_WITH_308,redirected_to_live_blog,FINAL_CLOSURE_BASELINE,monitor only,yes
https://chamanlawfirm.com/308,https://chamanlawfirm.com/308,308,legacy,308,,,,low_value_retired_or_unknown,/resources/blog/308,,,,public-safe or previously merged,,normal,IRRELEVANT_RETIRED,low_value_retired_or_unknown,FINAL_CLOSURE_BASELINE,monitor only,yes
https://chamanlawfirm.com/4-main-guide-to-land-ownership-in-nigeria,https://chamanlawfirm.com/4-main-guide-to-land-ownership-in-nigeria,4 Main Guide To Land Ownership In Nigeria,high-value legacy,4-main-guide-to-land-ownership-in-nigeria,,,,redirected_to_live_blog,/resources/blog/4-main-guide-to-land-ownership-in-nigeria,,,active or proxy-handled,public-safe or previously merged,,high,RESTORED_NEW_CANONICAL_WITH_308,redirected_to_live_blog,FINAL_CLOSURE_BASELINE,monitor only,yes
https://chamanlawfirm.com/4-proven-cross-border-cybercrime-issues,https://chamanlawfirm.com/4-proven-cross-border-cybercrime-issues,4 Proven Cross Border Cybercrime Issues,high-value legacy,4-proven-cross-border-cybercrime-issues,,,,redirected_to_live_blog,/resources/blog/4-proven-cross-border-cybercrime-issues,,,active or proxy-handled,public-safe or previously merged,,high,RESTORED_NEW_CANONICAL_WITH_308,redirected_to_live_blog,FINAL_CLOSURE_BASELINE,monitor only,yes
