priority,old URL,old title,service/practice area,recommended new route,classification,target live status,sitemap inclusion,legal review status,publish readiness,notes
1,https://chamanlawfirm.com/who-can-be-a-notary-public/,Who Can Be A Notary Public,notary/documentation,/practice-areas/notary-public-services,defer for content creation,not implemented,pending publication,low/medium - editorial and legal review still required,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
2,https://chamanlawfirm.com/probate-in-lagos-everything-you-need-to-know/,Probate In Lagos Everything You Need To Know,probate/estate,/practice-areas/probate-estate-administration,defer for content creation,not implemented,pending publication,high - lawyer review required before publication,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
3,https://chamanlawfirm.com/corporate-affairs-commission-in-nigeria/,Corporate Affairs Commission In Nigeria,corporate/commercial,/practice-areas/corporate-commercial-law,defer for content creation,not implemented,pending publication,low/medium - editorial and legal review still required,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
4,https://chamanlawfirm.com/7-step-citizenship-application-in-nigeria/,7 Step Citizenship Application In Nigeria,immigration,/practice-areas/immigration-services,defer for content creation,not implemented,pending publication,low/medium - editorial and legal review still required,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
5,https://chamanlawfirm.com/inheritance-rights-of-step-children/,Inheritance Rights Of Step Children,probate/estate,/practice-areas/probate-estate-administration,defer for content creation,not implemented,pending publication,high - lawyer review required before publication,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
6,https://chamanlawfirm.com/how-to-open-a-company-bank-account-in-nigeria/,How To Open A Company Bank Account In Nigeria,corporate/commercial,/practice-areas/corporate-commercial-law,defer for content creation,not implemented,pending publication,low/medium - editorial and legal review still required,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
7,https://chamanlawfirm.com/registering-a-private-security-company/,Registering A Private Security Company,corporate/commercial,/practice-areas/corporate-commercial-law,defer for content creation,not implemented,pending publication,low/medium - editorial and legal review still required,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
8,https://chamanlawfirm.com/corporate-governance-challenges-in-companies/,Corporate Governance Challenges In Companies,corporate/commercial,/practice-areas/corporate-commercial-law,defer for content creation,not implemented,pending publication,low/medium - editorial and legal review still required,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
9,https://chamanlawfirm.com/registration-of-a-money-lending-company/,Registration Of A Money Lending Company,corporate/commercial,/practice-areas/corporate-commercial-law,defer for content creation,not implemented,pending publication,low/medium - editorial and legal review still required,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
10,https://chamanlawfirm.com/how-to-increase-a-company-share/,How To Increase A Company Share,corporate/commercial,/practice-areas/corporate-commercial-law,defer for content creation,not implemented,pending publication,low/medium - editorial and legal review still required,"not ready until content, image, canonical, and lawyer review are complete","Needs full content, image, canonical, and legal review before publication."
