priority rank,legacy post ID,old URL,old slug,old title,old SEO title,old meta description,clicks,impressions,current production status,current redirect target,content recovered yes/no,image recovered yes/no,proposed Sanity slug,proposed public URL,approval status,redirect replacement status,notes
1,9935,https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action/,abandonment-and-withdrew-of-court-action,Abandonment and Withdrawal of Court Actions in Nigeria,Proven Steps on Abandonment and Withdrew of Court Action,"Chaman Law Firm explains the consequences of Abandonment and Withdrew of Court Action in Nigeria, clarity and guidance on litigation decisions",219,10144,selected for Sprint 10L recovery,/practice-areas/litigation-dispute-resolution,yes,yes,abandonment-and-withdrew-of-court-action,/resources/blog/abandonment-and-withdrew-of-court-action,candidate for controlled approval,pending exact article redirect after approval,
2,59430,https://chamanlawfirm.com/certificate-of-occupancy-in-rivers-state/,certificate-of-occupancy-in-rivers-state,Certificate of Occupancy in Rivers State,Certificate of Occupancy in Rivers State: Effortless 2025 Guide: How to Secure Your Certificate of Occupancy in Rivers State,"Certificate of Occupancy in Rivers State The process of acquiring a Certificate of Occupancy (C of O) in Rivers State, Nigeria, has long...",210,5338,selected for Sprint 10L recovery,/practice-areas/property-real-estate-law,yes,yes,certificate-of-occupancy-in-rivers-state,/resources/blog/certificate-of-occupancy-in-rivers-state,candidate for controlled approval,pending exact article redirect after approval,
3,52008,https://chamanlawfirm.com/deal-with-and-bad-tenant-as-a-landlord/,deal-with-and-bad-tenant-as-a-landlord,How Landlords Can Handle Difficult Tenants in Nigeria,How to Deal with a bad tenant as a landlord in nigeria,"As a landlord in Nigeria, dealing with bad tenants is part and parcel of property management. While many tenants fulfill their obligations respectfully,",130,7642,selected for Sprint 10L recovery,/practice-areas/property-real-estate-law,yes,yes,deal-with-and-bad-tenant-as-a-landlord,/resources/blog/deal-with-and-bad-tenant-as-a-landlord,candidate for controlled approval,pending exact article redirect after approval,
4,60530,https://chamanlawfirm.com/how-do-i-obtain-a-certificate-of-occupancy/,how-do-i-obtain-a-certificate-of-occupancy,How to Obtain a Certificate of Occupancy in Ogun State,Powerful Steps: How do I obtain a Certificate of Occupancy,How do i obtain a Certificate of Occupancy? Crucial for land ownership in Ogun State. Chaman Law Firm explains the steps and required documents,122,6087,selected for Sprint 10L recovery,/practice-areas/property-real-estate-law,yes,yes,how-do-i-obtain-a-certificate-of-occupancy,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,candidate for controlled approval,pending exact article redirect after approval,
5,60553,https://chamanlawfirm.com/how-to-register-a-deed-of-assignment-in-ogun/,how-to-register-a-deed-of-assignment-in-ogun,How to Register a Deed of Assignment in Ogun State,Powerful Steps: How to register a Deed of Assignment in Ogun,"How to register a Deed of Assignment in Ogun State with comprehensive guides to the process, requirements, fees, and tips to secure your property",94,2623,selected for Sprint 10L recovery,not currently redirected,yes,yes,how-to-register-a-deed-of-assignment-in-ogun,/resources/blog/how-to-register-a-deed-of-assignment-in-ogun,candidate for controlled approval,pending exact article redirect after approval,
6,61424,https://chamanlawfirm.com/how-to-handle-land-grabbers-in-ogun-state/,how-to-handle-land-grabbers-in-ogun-state,How to Handle Land Grabbers in Ogun State,Powerful Steps: How to Handle Land Grabbers in Ogun State,"How to Handle Land Grabbers in Ogun State - protect your property, avoid falling victim to fraudulent land claims or extortion / Chaman Law Firm",94,2455,selected for Sprint 10L recovery,not currently redirected,yes,yes,how-to-handle-land-grabbers-in-ogun-state,/resources/blog/how-to-handle-land-grabbers-in-ogun-state,candidate for controlled approval,pending exact article redirect after approval,
7,51429,https://chamanlawfirm.com/how-to-legally-evict-a-tenant-in-lagos-state/,how-to-legally-evict-a-tenant-in-lagos-state,How to Legally Evict a Tenant in Lagos State,How to Legally Evict a Tenant in Lagos State Without Breaking the Law in 6 Proven Steps.,"Landlord-tenant disputes are common in Lagos State, with eviction being one of the most sensitive issues. Landlords must understand the legal process of evicting a tenant to avoid contravening laws and facing legal re...",90,7981,selected for Sprint 10L recovery,not currently redirected,yes,yes,how-to-legally-evict-a-tenant-in-lagos-state,/resources/blog/how-to-legally-evict-a-tenant-in-lagos-state,candidate for controlled approval,pending exact article redirect after approval,
8,48364,https://chamanlawfirm.com/the-morgage-sell-the-mortgaged-property/,the-morgage-sell-the-mortgaged-property,When Can a Mortgagee Sell Mortgaged Property in Nigeria?,Powerful Steps: the Morgage Sell the Mortgaged Property,"Under What Circumstance can the Morgage Sell the Mortgaged Property, A mortgage is the transfer of the ownership of an asset by way of security..",75,4900,selected for Sprint 10L recovery,not currently redirected,yes,yes,the-morgage-sell-the-mortgaged-property,/resources/blog/the-morgage-sell-the-mortgaged-property,candidate for controlled approval,pending exact article redirect after approval,
9,49730,https://chamanlawfirm.com/how-to-obtain-dual-citizenship-in-nigeria-a/,how-to-obtain-dual-citizenship-in-nigeria-a,How to Obtain Dual Citizenship in Nigeria,How to Obtain Dual Citizenship in Nigeria,"introduction: Dual citizenship allows individuals to hold citizenship in more than one country simultaneously. For many people, it offers the flexibility to live, work, and travel across borders while retaining ties to",74,17312,selected for Sprint 10L recovery,not currently redirected,yes,yes,how-to-obtain-dual-citizenship-in-nigeria-a,/resources/blog/how-to-obtain-dual-citizenship-in-nigeria-a,candidate for controlled approval,pending exact article redirect after approval,
10,61442,https://chamanlawfirm.com/legal-remedies-for-breach-of-land-sale-contract/,legal-remedies-for-breach-of-land-sale-contract,Legal Remedies for Breach of Land Sale Contract in Nigeria,Powerful Steps: Remedies for Breach of Land Sale Contract,Legal Remedies for Breach of Land Sale Contract in Ogun -your legal rights and how to pursue justice if the other party fails to honor the terms.,73,4149,selected for Sprint 10L recovery,not currently redirected,yes,yes,legal-remedies-for-breach-of-land-sale-contract,/resources/blog/legal-remedies-for-breach-of-land-sale-contract,candidate for controlled approval,pending exact article redirect after approval,
