wave_rank,legacy_url,legacy_title,current_status,target,decision,final_reason,fully_closed
1,https://chamanlawfirm.com/about-us,About,merged_redirected_to_live_page,/about,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
2,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,redirected_to_live_blog,/resources/blog/list-of-government-agencies-of-nigeria,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
3,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin,4 Steps On How To Deal With A Bad Landlordin,redirected_to_live_blog,/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
4,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties,Joinder Of Parties Misjoinder Of Parties,redirected_to_live_blog,/resources/blog/joinder-of-parties-misjoinder-of-parties,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
5,https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order,5 Steps On How To Obtain Restraining Order,redirected_to_live_blog,/resources/blog/5-steps-on-how-to-obtain-restraining-order,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
6,https://chamanlawfirm.com/what-are-elements-of-tax-law,What Are Elements Of Tax Law,redirected_to_live_blog,/resources/blog/what-are-elements-of-tax-law,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
7,https://chamanlawfirm.com/tax-administration-in-nigeria,Tax Administration In Nigeria,redirected_to_live_blog,/resources/blog/tax-administration-in-nigeria,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
8,https://chamanlawfirm.com/child-support-and-maintenance-payment,Child Support And Maintenance Payment,redirected_to_live_blog,/resources/blog/child-support-and-maintenance-payment,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
9,https://chamanlawfirm.com/5-vital-role-of-consumer-protection-agencies,5 Vital Role Of Consumer Protection Agencies,redirected_to_live_blog,/resources/blog/5-vital-role-of-consumer-protection-agencies,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
10,https://chamanlawfirm.com/steps-to-permanent-residency-in-nigeria,Steps To Permanent Residency In Nigeria,redirected_to_live_blog,/resources/blog/steps-to-permanent-residency-in-nigeria,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
11,https://chamanlawfirm.com/registration-of-trade-union-in-nigeria,Registration Of Trade Union In Nigeria,merged_redirected_to_live_page,/practice-areas/employment-law/trade-union-registration-advisory,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
12,https://chamanlawfirm.com/customary-vs-statutory-marriage-in-nigeria,Customary Vs Statutory Marriage In Nigeria,redirected_to_live_blog,/resources/blog/customary-vs-statutory-marriage-in-nigeria,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
13,https://chamanlawfirm.com/to-apply-for-and-get-certificate-of-occupancy,To Apply For And Get Certificate Of Occupancy,redirected_to_live_blog,/resources/blog/to-apply-for-and-get-certificate-of-occupancy,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
14,https://chamanlawfirm.com/how-to-legally-change-a-child-surname,How To Legally Change A Child Surname,merged_redirected_to_live_page,/practice-areas/family-law/child-surname-change-advisory,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
15,https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy,The Role Of The Judiciary In Nigerian Democracy,merged_redirected_to_live_page,/practice-areas/litigation-dispute-resolution/court-system-and-judiciary-advisory,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
16,https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land,How To Verify Land Title Before Buying Land,merged_redirected_to_live_page,/practice-areas/property-real-estate-law/property-verification,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
17,https://chamanlawfirm.com/overview-of-latches-and-acquiescence,Overview Of Latches And Acquiescence,merged_redirected_to_live_page,/practice-areas/litigation-dispute-resolution,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
18,https://chamanlawfirm.com/is-police-bail-free-in-nigeria,Is Police Bail Free In Nigeria,merged_redirected_to_live_page,/practice-areas/litigation-dispute-resolution,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
19,https://chamanlawfirm.com/complete-guide-to-probate-registry-in-lagos,Complete Guide To Probate Registry In Lagos,redirected_to_live_blog,/resources/blog/complete-guide-to-probate-registry-in-lagos,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
20,https://chamanlawfirm.com/tthe-legal-rights-of-a-wife-after-divorce,Tthe Legal Rights Of A Wife After Divorce,merged_redirected_to_live_page,/practice-areas/family-law,MERGED_TO_STRONGER_PAGE,already has a relevant live target; keep existing redirect/merge path,yes
