batch rank,priority rank,old URL,new URL,slug,title,body exists,SEO title exists,meta description exists,canonical exists,publishedAt valid,author governance,image status,alt text exists,category exists,no Chaman Properties content,no placeholder,no old legacy footer,consultation CTA exists,automated approval readiness,notes
1,4,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,obtaining-a-certificate-of-occupancy-c-of-o,REQUIREMENTS FOR OBTAINING A CERTIFICATE OF OCCUPANCY (CofO) IN NIGERIA (LAGOS AND OGUN STATE),no,yes,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",failed,no,yes,yes,yes,yes,needs review,not approved - lawyer review required,Body missing or too short for safe approval.
2,5,https://chamanlawfirm.com/cac-public-search-guide-nigeria/,/resources/blog/cac-public-search-guide-nigeria,cac-public-search-guide-nigeria,How to Use CAC Public Search for Your Business Registration,yes,yes,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",failed,no,yes,yes,yes,no,yes,not approved - lawyer review required,Legacy footer/contact content must be cleaned.
3,7,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,/resources/blog/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,yes,yes,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",failed,no,yes,yes,yes,no,yes,not approved - lawyer review required,Legacy footer/contact content must be cleaned.
4,8,https://chamanlawfirm.com/types-of-tenant-in-nigeria/,/resources/blog/types-of-tenant-in-nigeria,types-of-tenant-in-nigeria,TYPES OF TENANT IN NIGERIA,yes,yes,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",failed,no,yes,yes,yes,no,yes,not approved - lawyer review required,Legacy footer/contact content must be cleaned.
5,10,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,/resources/blog/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,no,no,no,no,no,"Charles Chukwuma Nkwoka, Esq.",image-needed,no,no,yes,yes,yes,needs review,not approved - lawyer review required,No prepared source body in Phase 5C JSON.; Body missing or too short for safe approval.; Rewrite required before approval.
6,12,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,/resources/blog/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,no,no,no,no,no,"Charles Chukwuma Nkwoka, Esq.",image-needed,no,no,yes,yes,yes,needs review,not approved - lawyer review required,No prepared source body in Phase 5C JSON.; Body missing or too short for safe approval.; Rewrite required before approval.
7,15,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/,/resources/blog/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,no,no,no,no,no,"Charles Chukwuma Nkwoka, Esq.",image-needed,no,no,yes,yes,yes,needs review,not approved - lawyer review required,No prepared source body in Phase 5C JSON.; Body missing or too short for safe approval.; Rewrite required before approval.
8,16,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,4-steps-on-how-to-deal-with-a-bad-landlordin,4 Steps On How To Deal With A Bad Landlordin,no,no,no,no,no,"Charles Chukwuma Nkwoka, Esq.",image-needed,no,no,yes,yes,yes,needs review,not approved - lawyer review required,No prepared source body in Phase 5C JSON.; Body missing or too short for safe approval.; Rewrite required before approval.
9,17,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,/resources/blog/joinder-of-parties-misjoinder-of-parties,joinder-of-parties-misjoinder-of-parties,Joinder Of Parties Misjoinder Of Parties,no,no,no,no,no,"Charles Chukwuma Nkwoka, Esq.",image-needed,no,no,yes,yes,yes,needs review,not approved - lawyer review required,No prepared source body in Phase 5C JSON.; Body missing or too short for safe approval.; Rewrite required before approval.
10,18,https://chamanlawfirm.com/how-to-change-name-with-deed-poll/,/resources/blog/how-to-change-name-with-deed-poll,how-to-change-name-with-deed-poll,Effortless Name Change: How to Change Name with Deed Poll Successfully,yes,yes,yes,yes,yes,"Charles Chukwuma Nkwoka, Esq.",failed,no,yes,yes,yes,no,needs review,not approved - lawyer review required,Legacy footer/contact content must be cleaned.
