priority rank,old URL,old slug,proposed new URL,proposed slug,title,SEO title,meta description,clicks,impressions,practice area,category,migration decision,author,image status,legal review status,approval status,redirect status,sitemap status,notes
1,https://chamanlawfirm.com/,,/resources/blog/,blog,Blog,,,1598,78655,Legal Education,Other legal/general information,not article - route separately,"Charles Chukwuma Nkwoka, Esq.",image-needed,not required unless revived,not approved,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
2,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,landlord-and-tenant-rights-in-nigeria,/resources/blog/landlord-and-tenant-rights-in-nigeria,landlord-and-tenant-rights-in-nigeria,A comprehensive guide on Landlord and Tenant Rights in Nigeria,Landlord and Tenant Rights in Nigeria: Complete Legal Guide,"Understand your rights as a landlord or tenant in Nigeria. Learn about tenancy laws, and rent obligations under Nigerian property law.",1579,59489,Property and Real Estate Law,"Tenancy, landlord and eviction",migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",image present,passed for preview,approved/live on preview,pending - activate only after target live and final launch approval,included after approval,
3,https://www.chamanlawfirm.com/,,https://chamanlawfirm.com/,,,,,1452,96316,Legal Education,Other legal/general information,redirect only - non-article or canonical route,"Charles Chukwuma Nkwoka, Esq.",image-needed,not required unless revived,not applicable,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
4,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,obtaining-a-certificate-of-occupancy-c-of-o,REQUIREMENTS FOR OBTAINING A CERTIFICATE OF OCCUPANCY (CofO) IN NIGERIA (LAGOS AND OGUN STATE),The best way to obtain Certificate of Occupancy in Nigeria,"Certificate of Occupancy In Nigeria, for a person to successfully establish ownership or acquisition of land or landed property,",1173,39662,Property and Real Estate Law,Certificate of Occupancy and right of occupancy,migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",failed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
5,https://chamanlawfirm.com/cac-public-search-guide-nigeria/,cac-public-search-guide-nigeria,/resources/blog/cac-public-search-guide-nigeria,cac-public-search-guide-nigeria,How to Use CAC Public Search for Your Business Registration,How to Use CAC Public Search for Your Business Registration,Learn how to use CAC public search for business registration. Chaman Law Firm provides expert guidance on company verification.,1009,77699,Corporate & Commercial Law,"CAC, company registration and corporate compliance",migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",failed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
6,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,the-jurisdiction-of-courts-in-nigeria,/resources/blog/the-jurisdiction-of-courts-in-nigeria,the-jurisdiction-of-courts-in-nigeria,The Jurisdiction of Courts in Nigeria,Powerful Steps: the jurisdiction of courts in Nigeria,the jurisdiction of courts in Nigeria and how judicial powers are defined. Chaman Law Firm provides expert legal analysis.,770,40707,Litigation and Dispute Resolution,Court jurisdiction and civil procedure,migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",patched,passed for preview,approved/live on preview,pending - activate only after target live and final launch approval,included after approval,image recovery/fallback required
7,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,the-concept-of-rule-of-law-in-nigeria,/resources/blog/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,THE CONCEPT OF RULE OF LAW IN NIGERIA,"THE CONCEPT OF RULE OF LAW IN NIGERIA, Rule of law is a legal maxim that suggests that no one is above the law and governmental decisions....",763,51092,Legal Education,Other legal/general information,migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",failed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
8,https://chamanlawfirm.com/types-of-tenant-in-nigeria/,types-of-tenant-in-nigeria,/resources/blog/types-of-tenant-in-nigeria,types-of-tenant-in-nigeria,TYPES OF TENANT IN NIGERIA,TYPES OF TENANT IN NIGERIA,"TYPES OF TENANT IN NIGERIA, Depending on the purpose, duration, and method of establishment, tenancies can be of different types...",758,23316,Property and Real Estate Law,"Tenancy, landlord and eviction",migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",failed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
9,https://chamanlawfirm.com/about-us/,about-us,/about,about,About,,,733,41803,Legal Education,Other legal/general information,redirect only - non-article or canonical route,"Charles Chukwuma Nkwoka, Esq.",image-needed,not required unless revived,not applicable,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
10,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,how-to-change-car-ownership-in-nigeria,/resources/blog/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,,,731,34973,Legal Education,Other legal/general information,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
11,https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,proper-steps-to-eviction-of-tenants,/resources/blog/proper-steps-to-eviction-of-tenants,proper-steps-to-eviction-of-tenants,STEPS TO EVICTION OF TENANTS,STEPS TO EVICTION OF TENANTS,"STEPS TO EVICTION OF TENANTS, It is never easy as a Landlord in Nigeria to have a Tenant that does not pay rent or causes so much trouble....",708,32444,Property and Real Estate Law,"Tenancy, landlord and eviction",migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",patched,passed for preview,approved/live on preview,pending - activate only after target live and final launch approval,included after approval,image recovery/fallback required
12,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,how-to-track-a-stolen-phone-in-nigeria,/resources/blog/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,,,689,48652,Litigation and Dispute Resolution,"Criminal law, police and reporting crime",rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
13,https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/,the-ogun-state-tenancy-law-chaman-law-firm,/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,the-ogun-state-tenancy-law-chaman-law-firm,Understanding the Ogun State Tenancy Law: A Comprehensive Guide,Powerful Steps:the Ogun State Tenancy Law / Chaman Law Firm,"the Ogun State Tenancy Law - Learn about its core provisions, legal responsibilities, and practical implications for both landlords and tenants.",646,10043,Property and Real Estate Law,"Tenancy, landlord and eviction",migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",image present,passed for preview,approved/live on preview,pending - activate only after target live and final launch approval,included after approval,
14,https://chamanlawfirm.com/building-permit-approval-in-ogun-state/,building-permit-approval-in-ogun-state,/resources/blog/building-permit-approval-in-ogun-state,building-permit-approval-in-ogun-state,How to Get Building Permit Approval in Ogun State (Full Guide),Building Permit Approval in Ogun State : Effortless Steps to Secure Building Permit Approval in Ogun State (Full Guide),Building Permit Approval in Ogun State A complete legal guide to obtaining building permit approval in Ogun State...,629,22729,Legal Education,Other legal/general information,migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",patched,passed for preview,approved/live on preview,pending - activate only after target live and final launch approval,included after approval,image recovery/fallback required
15,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/,list-of-government-agencies-of-nigeria,/resources/blog/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,,,608,70716,Legal Education,Other legal/general information,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
16,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,4-steps-on-how-to-deal-with-a-bad-landlordin,/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,4-steps-on-how-to-deal-with-a-bad-landlordin,4 Steps On How To Deal With A Bad Landlordin,,,570,14414,Property and Real Estate Law,"Tenancy, landlord and eviction",rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
17,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,joinder-of-parties-misjoinder-of-parties,/resources/blog/joinder-of-parties-misjoinder-of-parties,joinder-of-parties-misjoinder-of-parties,Joinder Of Parties Misjoinder Of Parties,,,553,15775,Litigation and Dispute Resolution,Court jurisdiction and civil procedure,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
18,https://chamanlawfirm.com/how-to-change-name-with-deed-poll/,how-to-change-name-with-deed-poll,/resources/blog/how-to-change-name-with-deed-poll,how-to-change-name-with-deed-poll,Effortless Name Change: How to Change Name with Deed Poll Successfully,Effortless Name Change: How to Change Name with Deed Poll Successfully,"HOW TO CHANGE NAME WITH DEED POLL, A Deed Poll is a legal document that binds an individual to a particular course of action...",531,24126,Property and Real Estate Law,"Land ownership, title and registration",migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",failed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
