old URL,slug,title,source body recovered yes/no,source used,body quality,plugin debris removed yes/no,headings improved yes/no,answer-first paragraph added yes/no,consultation CTA added yes/no,internal links added yes/no,approval readiness,notes
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,The Concept of Rule of Law In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",approved,
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List of Government Agencies of Nigeria,yes,WordPress SQL body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; internal link missing; consultation CTA missing; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,The Overall List of Federal Laws In Nigeria,yes,existing Sanity hidden body,short/review needed,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,source body short
https://chamanlawfirm.com/the-nigerian-legal-system,the-nigerian-legal-system,The Strengths and Weaknesses of the Nigerian Legal System,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",approved,
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are the Duties of Correctional Institutions In Nigeria?,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Learning: the Impact of Technology On Nigerian Education,yes,existing Sanity hidden body,complete,yes - shortcodes/scripts/styles stripped during recovery,yes - heading tags normalized into portable text,yes,yes,"practice, consultation and contact links added",not ready,"featured image missing; alt text missing/review needed; property-sales/luxury wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
