old URL,slug,title,selected for Sprint 11I,body status,image status,alt text status,SEO status,canonical,author governance,category/practice relationship,consultation CTA,internal links,legal status,duplicate status,approval status,redirect status,notes
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,obtaining-a-certificate-of-occupancy-c-of-o,Obtaining A Certificate Of Occupancy C Of O,no,short/review needed,missing,missing,complete,https://chamanlawfirm.com/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,"Charles Chukwuma Nkwoka, Esq.",Property title and perfection; Certificate of Occupancy and right of occupancy; Real Estate & Property Law,needed before approval,present,low/medium - editorial legal review required,high - likely cannibalization with existing stronger content,hidden,not eligible,outside Sprint 11I controlled approval subset; body too short or missing; featured image missing; alt text missing/review needed; high - likely cannibalization with existing stronger content
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",Legal education and civic law; Other legal/general information,present in source,present,low/medium - editorial legal review required,high - likely cannibalization with existing stronger content,hidden,not eligible,outside Sprint 11I controlled approval subset; overpromising; high - likely cannibalization with existing stronger content
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,high - lawyer review required before approval,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended; high - lawyer review required before approval"
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Apply For Drivers Licence In Nigeria,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,no,present,present,present,complete,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,"Charles Chukwuma Nkwoka, Esq.",Property And Real Estate Law,present in source,present,high - lawyer review required before approval,medium - compare hidden draft against public practice/page before approval,hidden,not eligible,outside Sprint 11I controlled approval subset; high - lawyer review required before approval
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,The Overall List Of Federal Laws In Nigeria,no,short/review needed,present,present,complete,https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",Legal education and civic law; Other legal/general information,needed before approval,needed before approval,low/medium - editorial legal review required,high - likely cannibalization with existing stronger content,hidden,not eligible,"outside Sprint 11I controlled approval subset; body too short or missing; internal link missing in source; CTA will be added, but manual link review recommended; high - likely cannibalization with existing stronger content"
https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,What Are The Sources Of Nigerian Law,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/what-are-the-sources-of-nigerian-law,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,low/medium - editorial legal review required,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,Duties Of Correctional Institutions In Nigeria,no,missing,missing,missing,missing/rewrite needed,https://chamanlawfirm.com/resources/blog/duties-of-correctional-institutions-in-nigeria,"Charles Chukwuma Nkwoka, Esq.",General Legal Education,needed before approval,needed before approval,high - lawyer review required before approval,low/medium - compare against existing live content before publication,hidden,not eligible,"outside Sprint 11I controlled approval subset; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended; high - lawyer review required before approval"
