priority,old URL,slug,title,clicks,impressions,current status,source repairability,image repairability,legal risk,duplicate/cannibalization risk,recommended Sprint 11N action,notes
1,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,The Concept of Rule of Law In Nigeria,763,51092,hidden Sanity record,complete,approved fallback image,low-risk after general-information framing,not flagged,approve controlled public article,
2,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List of Government Agencies of Nigeria,608,70716,hidden Sanity record,complete,image missing,"medium risk, needs Principal/lawyer review",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; internal link missing; consultation CTA missing; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
3,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,689,48652,hidden Sanity record,complete,image missing,"high risk, keep hidden",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
4,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,731,34973,hidden Sanity record,complete,image missing,"medium risk, needs Principal/lawyer review",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
5,https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,373,102871,hidden Sanity record,complete,image missing,"medium risk, needs Principal/lawyer review",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
6,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,414,30229,hidden Sanity record,complete,source image,"high risk, keep hidden",not flagged,keep hidden for lawyer review,"high risk, keep hidden; not in Sprint 11N low-risk concept subset"
7,https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,The Overall List of Federal Laws In Nigeria,263,22517,hidden Sanity record,short/review needed,source image,low-risk after general-information framing,not flagged,keep hidden pending Principal review,source body short
8,https://chamanlawfirm.com/the-nigerian-legal-system,the-nigerian-legal-system,The Strengths and Weaknesses of the Nigerian Legal System,145,21767,hidden Sanity record,complete,approved fallback image,low-risk after general-information framing,not flagged,approve controlled public article,
9,https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are the Duties of Correctional Institutions In Nigeria?,197,25303,hidden Sanity record,complete,image missing,"high risk, keep hidden",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
10,https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Learning: the Impact of Technology On Nigerian Education,210,19932,hidden Sanity record,complete,image missing,"medium risk, needs Principal/lawyer review",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; property-sales/luxury wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
11,https://chamanlawfirm.com/proven-steps-the-canons-of-interpretation,proven-steps-the-canons-of-interpretation,What Are the Canons of Interpretation,93,7675,hidden Sanity record,complete,image missing,low-risk after general-information framing,not flagged,repair image/alt before approval,featured image missing; alt text missing/review needed
12,https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping and Up-Stamping of A Mortgage Document,187,6730,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"internal link missing; consultation CTA missing; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
13,https://chamanlawfirm.com/land-use-act-1978,land-use-act-1978,Understanding the Land Use Act: How It Affects You,96,15652,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
14,https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate,how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,102,14116,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
15,https://chamanlawfirm.com/nigeria-prohibited-items-list,nigeria-prohibited-items-list,Truths Behind Nigeria'S Prohibited Items List; What You Must Know!,127,21883,hidden Sanity record,complete,image missing,"medium risk, needs Principal/lawyer review",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
16,https://chamanlawfirm.com/landlords-and-tenants-in-nigeria,landlords-and-tenants-in-nigeria,Landlords and Tenants In Nigeria,95,13014,hidden Sanity record,complete,source image,"high risk, keep hidden",not flagged,keep hidden for lawyer review,"property-sales/luxury wording; unsafe self-help wording; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
17,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria,rights-of-a-property-owner-in-nigeria,Your Rights As A Property Owner In Nigeria: What the Law Says,105,7442,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
18,https://chamanlawfirm.com/doctrine-of-ultra-vires,doctrine-of-ultra-vires,Understanding the Doctrine of Ultra Vires: A Legal Safeguard For Businesses,83,12540,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
19,https://chamanlawfirm.com/land-registration-system-in-nigeria,land-registration-system-in-nigeria,Land Registration System In Nigeria,101,7937,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
20,https://chamanlawfirm.com/lagos-tenancy-fixed-and-periodic-tenancies,lagos-tenancy-fixed-and-periodic-tenancies,Lagos Tenancy Fixed and Periodic Tenancies,100,6197,hidden Sanity record,complete,image missing,"medium risk, needs Principal/lawyer review",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; unsafe self-help wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
21,https://chamanlawfirm.com/board-of-directors-in-nigerian-companies,board-of-directors-in-nigerian-companies,The Strategic Power of the Board Directors In Nigerian Companies- For A Successful Business,91,8410,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
22,https://chamanlawfirm.com/how-to-file-a-lawsuit-in-nigeria,how-to-file-a-lawsuit-in-nigeria,How To File A Lawsuit In Nigeria,93,7639,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"misleading free-service wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
23,https://chamanlawfirm.com/analysis-of-the-nigerian-legal-system,analysis-of-the-nigerian-legal-system,Unmasking the Flaws and Triumphs of the Nigerian Legal System: A Power Analysis,64,14572,source found in SQL only,complete,image missing,low-risk after general-information framing,merge into stronger live equivalent /resources/blog/the-nigerian-legal-system,merge by exact redirect after live-target QA,featured image missing; alt text missing/review needed; property-sales/luxury wording; merge into stronger live equivalent /resources/blog/the-nigerian-legal-system; merge target preferred: /resources/blog/the-nigerian-legal-system
24,https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria,how-to-apply-for-certificate-of-good-conduct-in-nigeria,How To Apply For Certificate of Good Conduct In Nigeria,150,8056,hidden Sanity record,usable,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
25,https://chamanlawfirm.com/how-to-legally-evict-a-tenant-in-lagos-state,how-to-legally-evict-a-tenant-in-lagos-state,How To Legally Evict A Tenant In Lagos State Without Breaking the Law,90,7981,hidden Sanity record,complete,source image,"high risk, keep hidden",not flagged,keep hidden for lawyer review,"internal link missing; consultation CTA missing; unsafe self-help wording; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
26,https://chamanlawfirm.com/of-the-securities-and-exchange-commission,of-the-securities-and-exchange-commission,5 Functions of the Securities and Exchange Commission,95,6545,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
27,https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act,challenges-of-implementing-the-land-use-act,Challenges of Implementing the Land Use Act,92,6626,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
28,https://chamanlawfirm.com/expert-witnesses-in-nigeria-court-proceeding,expert-witnesses-in-nigeria-court-proceeding,Expert Witnesses In Nigeria Court Proceeding,100,3895,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
29,https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge,how-to-calculate-and-pay-land-use-charge,How To Calculate and Pay Land Use Charge,80,8298,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"internal link missing; consultation CTA missing; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
30,https://chamanlawfirm.com/legally-combat-police-harassment-in-nigeria,legally-combat-police-harassment-in-nigeria,Legally Combat Police Harassment In Nigeria,93,4804,hidden Sanity record,complete,source image,"high risk, keep hidden",not flagged,keep hidden for lawyer review,"high risk, keep hidden; not in Sprint 11N low-risk concept subset"
31,https://chamanlawfirm.com/legal-restrictions-to-sale-of-land,legal-restrictions-to-sale-of-land,Crucial Insights: Understanding the Legal Restrictions To Sale of Land,81,7000,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
32,https://chamanlawfirm.com/establishing-paternity-and-maternity-under,establishing-paternity-and-maternity-under,Establishing Paternity and Maternity Under Nigerian Law: A Comprehensive 3 Steps Guide,80,7061,hidden Sanity record,complete,source image,"high risk, keep hidden",not flagged,keep hidden for lawyer review,"high risk, keep hidden; not in Sprint 11N low-risk concept subset"
33,https://chamanlawfirm.com/selling-a-family-land-without-everyones-consent,selling-a-family-land-without-everyones-consent,Selling A Family Land Without Everyones Consent,79,7191,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
34,https://chamanlawfirm.com/rights-of-parties-to-a-mortgage,rights-of-parties-to-a-mortgage,Rights of Parties To A Mortgage,93,2853,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
35,https://chamanlawfirm.com/right-of-an-illegitimate-child,right-of-an-illegitimate-child,Right of An Illegitimate Child,60,10790,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
36,https://chamanlawfirm.com/minority-protection-rights-and-remedies,minority-protection-rights-and-remedies,Minority Protection: Rights and Remedies of Minorities,83,4287,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
37,https://chamanlawfirm.com/taxes-on-real-estate-transactions-in-nigeria,taxes-on-real-estate-transactions-in-nigeria,Taxes On Real Estate Transactions In Nigeria,70,5596,hidden Sanity record,complete,image missing,"medium risk, needs Principal/lawyer review",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; property-sales/luxury wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
38,https://chamanlawfirm.com/the-concept-of-restitution-of-conjugal-rights,the-concept-of-restitution-of-conjugal-rights,The Concept of Restitution of Conjugal Rights,103,12073,hidden Sanity record,complete,image missing,"high risk, keep hidden",not flagged,repair image/alt before approval,"featured image missing; alt text missing/review needed; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
39,https://chamanlawfirm.com/breach-of-promise-to-marriage-in-nigeria,breach-of-promise-to-marriage-in-nigeria,Breach of Promise To Marriage In Nigeria,65,6573,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
40,https://chamanlawfirm.com/individual-tax-clearance-certificate,individual-tax-clearance-certificate,Individual Tax Clearance Certificate,72,4649,hidden Sanity record,complete,source image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
41,https://chamanlawfirm.com/7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,7 Effective Steps To Take When A Landlord Refuses To Return Your Rent Deposit,68,5171,hidden Sanity record,complete,source image,"high risk, keep hidden",not flagged,keep hidden for lawyer review,"high risk, keep hidden; not in Sprint 11N low-risk concept subset"
42,https://chamanlawfirm.com/laspppa-what-it-is-and-why-it-matters-in-lagos,laspppa-what-it-is-and-why-it-matters-in-lagos,Laspppa: What It Is and Why It Matters For Property Owners In Lagos,88,15004,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
43,https://chamanlawfirm.com/proven-steps-onoverview-of-the-child-right-act,proven-steps-onoverview-of-the-child-right-act,Onoverview of the Child Right Act,63,20853,hidden Sanity record,complete,approved fallback image,"medium risk, needs Principal/lawyer review",not flagged,keep hidden for current-law review,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
44,https://chamanlawfirm.com/basic-elements-of-defamatory-statement,basic-elements-of-defamatory-statement,Basic Elements of Defamatory Statement,70,3672,source found in SQL only,complete,approved fallback image,low-risk after general-information framing,not flagged,approve controlled public article,
