priority rank,old URL,old title,old meta description,old page type,old content found yes/no,image found yes/no,clicks,impressions,current status,recommended new route,recommended action,redirect target,needs new page yes/no,legal review status,SEO risk level,notes
1,https://chamanlawfirm.com/about-chaman-law-firm/,About Chaman Law Firm,,brand/navigation page,not fully verified,not fully verified,83,7680,target route exists or redirect configured,/about,Redirect to current exact brand page,/about,no,not required,low,Safe Sprint 10R redirect candidate; target is live and sitemap-included.
2,https://chamanlawfirm.com/contact-for-legal-consultation/,Contact For Legal Consultation,,lead/contact page,not fully verified,not fully verified,74,7109,target route exists or redirect configured,/consultation,Redirect to current exact consultation page,/consultation,no,pending,low,Safe Sprint 10R redirect candidate; consultation route is live and sitemap-included.
3,https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land/,How To Verify Land Title Before Buying Land,,service/practice authority page,not fully verified,not fully verified,154,8738,target route exists or redirect configured,/practice-areas/property-real-estate-law/property-verification,Redirect to existing property verification service page,/practice-areas/property-real-estate-law/property-verification,no,pending,low,Sprint 10R refined previous broad property redirect to an exact service page.
4,https://chamanlawfirm.com/about-us/,About,,brand/navigation page,not fully verified,not fully verified,733,41803,target route exists or redirect configured,/about,Keep existing exact redirect,/about,no,not required,low,Already covered before Sprint 10R.
5,https://chamanlawfirm.com/debt-recovery-lawyer-nigeria/,Debt Recovery Lawyer Nigeria,,service/practice authority page,not fully verified,not fully verified,0,0,target route exists or redirect configured,/practice-areas/debt-recovery,Keep existing exact practice redirect,/practice-areas/debt-recovery,no,pending,low,Already covered by current redirect map.
6,https://chamanlawfirm.com/how-to-notarize-a-document-in-nigeria/,How To Notarize A Document In Nigeria,,legal education/article hybrid,not fully verified,not fully verified,351,27073,target route exists or redirect configured,/resources/blog/how-to-notarize-a-document-in-nigeria,Keep existing approved article redirect,/resources/blog/how-to-notarize-a-document-in-nigeria,no,pending,low,"Target is an approved article, not a new static page."
7,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,Gain Nigerian Citizenship By Marriage,,static/article hybrid,not fully verified,not fully verified,505,34961,target route exists or redirect configured,/practice-areas/immigration-services,Keep existing practice redirect pending source recovery,/practice-areas/immigration-services,no,pending,low,High clicks but needs legal review before any standalone article/page recovery.
8,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,How To Legally Change A Child Surname,,family-law article/static hybrid,not fully verified,not fully verified,180,10512,target route exists or redirect configured,/practice-areas/family-law,Keep hidden pending legal review,/practice-areas/family-law,no,pending,low,Sensitive family-law topic; do not restore without lawyer review.
9,https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy/,The Role Of The Judiciary In Nigerian Democracy,,legal education article/static hybrid,not fully verified,not fully verified,177,8272,target route exists or redirect configured,/practice-areas/litigation-dispute-resolution,Keep practice redirect pending source recovery,/practice-areas/litigation-dispute-resolution,no,pending,low,"Potential authority article, not static service page."
10,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/,Rights Of A Property Owner In Nigeria,,property authority article/static hybrid,not fully verified,not fully verified,105,7442,unrestored/deferred,/resources/blog/rights-of-a-property-owner-in-nigeria,Recover as article only after source and image review,,yes,pending,medium,Potential duplicate/cannibalization with property owner and land-title posts.
11,https://chamanlawfirm.com/land-use-act-1978/,Land Use Act 1978,,property authority article/static hybrid,not fully verified,not fully verified,96,15652,unrestored/deferred,/resources/blog/land-use-act-1978,Defer pending duplicate/cannibalization review,,yes,pending,medium,Multiple Land Use Act articles already exist.
12,https://chamanlawfirm.com/documents-to-verify-before-buying-property/,Documents To Verify Before Buying Property,,service/article hybrid,not fully verified,not fully verified,63,4881,unrestored/deferred,/practice-areas/property-real-estate-law/property-due-diligence,Review for possible service-page expansion or article recovery,,yes,pending,medium,Do not redirect until target intent is selected and legal content is reviewed.
13,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,Obtaining a Certificate of Occupancy / C of O,,property authority article/static hybrid,not fully verified,not fully verified,1173,39662,unrestored/deferred,/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,Recover as article or dedicated C of O service page after lawyer review,,yes,pending,high,Very high GSC value; avoid broad redirect if exact page can be restored.
14,https://chamanlawfirm.com/cac-public-search-guide-nigeria/,CAC Public Search Guide Nigeria,,corporate article/static hybrid,not fully verified,not fully verified,1009,77699,target route exists or redirect configured,/resources/blog/cac-public-search-guide-nigeria,Keep approved article redirect if live; review Search Console after recrawl,/resources/blog/cac-public-search-guide-nigeria,no,pending,low,Already restored as blog content in earlier sprint.
15,https://chamanlawfirm.com/the-nigerian-legal-system/,The Nigerian Legal System,,legal education article/static hybrid,not fully verified,not fully verified,145,21767,unrestored/deferred,/resources/blog/the-nigerian-legal-system,Defer pending content recovery and legal review,,yes,pending,medium,High impressions but not a service page.
16,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,Landlord And Tenant Rights In Nigeria,,article/static hybrid,not verified in Sprint 10R,not verified in Sprint 10R,1579,59489,requires live/index review,/resources/blog/landlord-and-tenant-rights-in-nigeria,Recover or verify existing article before redirect,,no,pending,high,"From GSC Pages export; do not redirect until a public, 200, sitemap-included target exists."
