priority rank,legacy post ID,old URL,old slug,old title,old SEO title,old meta description,old status,old publish date,clicks,impressions,indexed/search evidence,current production status,current redirect target,body recovered yes/no,image recovered yes/no,Sanity draft exists yes/no,Sanity slug,Sanity approval status,public URL,sitemap status,redirect replacement status,legal review status,notes
1,,https://chamanlawfirm.com/,blog,Blog,,,,,1598,78655,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required,not restored,/resources/blog/,no,no,no,blog,not approved,,excluded while hidden,pending,not required unless revived,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
2,,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,landlord-and-tenant-rights-in-nigeria,A comprehensive guide on Landlord and Tenant Rights in Nigeria,Landlord and Tenant Rights in Nigeria: Complete Legal Guide,"Understand your rights as a landlord or tenant in Nigeria. Learn about tenancy laws, and rent obligations under Nigerian property law.",,,1579,59489,,public article live/eligible,/resources/blog/landlord-and-tenant-rights-in-nigeria,yes,yes,no,landlord-and-tenant-rights-in-nigeria,approved,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria,eligible after deployment/revalidation,pending,passed for preview,
3,,https://www.chamanlawfirm.com/,,,,,,,1452,96316,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content,not restored,https://chamanlawfirm.com/,no,no,no,,not approved,,excluded while hidden,pending,not required unless revived,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
4,,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,REQUIREMENTS FOR OBTAINING A CERTIFICATE OF OCCUPANCY (CofO) IN NIGERIA (LAGOS AND OGUN STATE),The best way to obtain Certificate of Occupancy in Nigeria,"Certificate of Occupancy In Nigeria, for a person to successfully establish ownership or acquisition of land or landed property,",,,1173,39662,GSC Pages export and Sprint 10C inventory,not restored,/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,no,no,no,obtaining-a-certificate-of-occupancy-c-of-o,not approved,,excluded while hidden,pending,pending lawyer review,image recovery/fallback required
5,,https://chamanlawfirm.com/cac-public-search-guide-nigeria/,cac-public-search-guide-nigeria,How to Use CAC Public Search for Your Business Registration,How to Use CAC Public Search for Your Business Registration,Learn how to use CAC public search for business registration. Chaman Law Firm provides expert guidance on company verification.,,,1009,77699,image recovery/fallback required,public article live/eligible,/resources/blog/cac-public-search-guide-nigeria,yes,no,no,cac-public-search-guide-nigeria,approved,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria,eligible after deployment/revalidation,pending,pending lawyer review,image recovery/fallback required
6,,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,the-jurisdiction-of-courts-in-nigeria,The Jurisdiction of Courts in Nigeria,Powerful Steps: the jurisdiction of courts in Nigeria,the jurisdiction of courts in Nigeria and how judicial powers are defined. Chaman Law Firm provides expert legal analysis.,,,770,40707,image recovery/fallback required,public article live/eligible,/resources/blog/the-jurisdiction-of-courts-in-nigeria,yes,no,no,the-jurisdiction-of-courts-in-nigeria,approved,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria,eligible after deployment/revalidation,pending,passed for preview,image recovery/fallback required
7,,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,THE CONCEPT OF RULE OF LAW IN NIGERIA,"THE CONCEPT OF RULE OF LAW IN NIGERIA, Rule of law is a legal maxim that suggests that no one is above the law and governmental decisions....",,,763,51092,image recovery/fallback required,not restored,/resources/blog/the-concept-of-rule-of-law-in-nigeria,no,no,no,the-concept-of-rule-of-law-in-nigeria,not approved,,excluded while hidden,pending,pending lawyer review,image recovery/fallback required
8,,https://chamanlawfirm.com/types-of-tenant-in-nigeria/,types-of-tenant-in-nigeria,TYPES OF TENANT IN NIGERIA,TYPES OF TENANT IN NIGERIA,"TYPES OF TENANT IN NIGERIA, Depending on the purpose, duration, and method of establishment, tenancies can be of different types...",,,758,23316,image recovery/fallback required,public article live/eligible,/resources/blog/types-of-tenant-in-nigeria,yes,no,no,types-of-tenant-in-nigeria,approved,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria,eligible after deployment/revalidation,pending,pending lawyer review,image recovery/fallback required
9,,https://chamanlawfirm.com/about-us/,about-us,About,,,,,733,41803,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content,not restored,/about,no,no,no,about-us,not approved,,excluded while hidden,pending,not required unless revived,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
10,,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,,,,,731,34973,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required,not restored,/resources/blog/how-to-change-car-ownership-in-nigeria,no,no,no,how-to-change-car-ownership-in-nigeria,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
