priority rank,legacy post ID,old URL,old slug,old title,old SEO title,old meta description,clicks,impressions,current production status,current redirect target,content recovered yes/no,image recovered yes/no,proposed Sanity slug,proposed public URL,approval status,redirect replacement status,notes
1,51580,https://chamanlawfirm.com/legal-processofobtaininga-deed-of-assignment/,legal-processofobtaininga-deed-of-assignment,Legal Process for Obtaining a Deed of Assignment in Nigeria,Legal Process for Obtaining a Deed of Assignment in Nigeria,"Introduction Securing real estate ownership in Lagos, Nigeria, involves numerous legal processes, with the Deed of Assignment being a crucial document that solidifies property transfer. Understanding the importance of",90,7853,selected for Sprint 10J recovery,not currently redirected,yes,yes,legal-processofobtaininga-deed-of-assignment,/resources/blog/legal-processofobtaininga-deed-of-assignment,candidate for controlled approval,pending exact article redirect after approval,
2,9327,https://chamanlawfirm.com/land-tenures-and-customary-land-tenure-systems/,land-tenures-and-customary-land-tenure-systems,Land Tenures and Customary Land Tenure Systems in Nigeria,Powerful: Land Tenures and Customary Land Tenure Systems,"Understand land tenures and customary land tenure systems in Nigeria, including legal recognition, practices, and their impact on land ownership.",88,12139,selected for Sprint 10J recovery,not currently redirected,yes,yes,land-tenures-and-customary-land-tenure-systems,/resources/blog/land-tenures-and-customary-land-tenure-systems,candidate for controlled approval,pending exact article redirect after approval,
3,57617,https://chamanlawfirm.com/property-with-existing-tenants-in-nigeria/,property-with-existing-tenants-in-nigeria,Buying Property With Existing Tenants in Nigeria,Property with existing tenants in Nigeria,Frustrated? Bought a Property with Existing Tenants Who Refuse to Leave? Here’s What to Do! Property with existing tenants in Nigeria...,87,3193,selected for Sprint 10J recovery,not currently redirected,yes,yes,property-with-existing-tenants-in-nigeria,/resources/blog/property-with-existing-tenants-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
4,9848,https://chamanlawfirm.com/land-use-act-and-land-tenure-systems/,land-use-act-and-land-tenure-systems,Land Use Act And Land Tenure Systems,Land Use Act And Land Tenure Systems,Land Use Act and Land tenure systems The Land Use Act vs. Traditional Land Tenure: A Complex Interaction,86,8434,selected for Sprint 10J recovery,not currently redirected,yes,yes,land-use-act-and-land-tenure-systems,/resources/blog/land-use-act-and-land-tenure-systems,hidden draft only,do not replace while hidden,Placeholder/plugin debris requires cleanup.
5,9304,https://chamanlawfirm.com/where-marriage-under-the-act-can-be-conducted/,where-marriage-under-the-act-can-be-conducted,Where Marriage Under the Act Can Be Conducted in Nigeria,Proven Steps: Where Marriage Under the Act can be Conducted,"Find out where marriage under the Act can be conducted in Nigeria, including legal venues and requirements for a valid marriage ceremony.",85,15038,selected for Sprint 10J recovery,not currently redirected,yes,yes,where-marriage-under-the-act-can-be-conducted,/resources/blog/where-marriage-under-the-act-can-be-conducted,candidate for controlled approval,pending exact article redirect after approval,
6,37323,https://chamanlawfirm.com/how-nigerian-courts-handle-electronic-evidence/,how-nigerian-courts-handle-electronic-evidence,How Nigerian Courts Handle Electronic Evidence,How Nigerian Courts Handle Electronic Evidence; Powerful Insight: How Nigerian Courts Handle Electronic Evidence in the Digital Age,How Nigerian Courts Handle Electronic Evidence; Powerful Insight: How Nigerian Courts Handle Electronic Evidence in the Digital Age...,85,14154,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-nigerian-courts-handle-electronic-evidence,/resources/blog/how-nigerian-courts-handle-electronic-evidence,candidate for controlled approval,pending exact article redirect after approval,
7,9640,https://chamanlawfirm.com/who-can-be-a-notary-public/,who-can-be-a-notary-public,Who Can Be A Notary Public,Who Can Be A Notary Public,"WHO CAN BE A NOTARY PUBLIC The Notaries Public Act 1936 provides for the appointment, roles and responsibilities of a Notary Public in Nigeria. In Nigeria, Notaries Public are appointed by the Chief Justice of Nigeria.",83,15411,selected for Sprint 10J recovery,not currently redirected,yes,no,who-can-be-a-notary-public,/resources/blog/who-can-be-a-notary-public,hidden draft only,do not replace while hidden,Placeholder/plugin debris requires cleanup.
8,10085,https://chamanlawfirm.com/types-of-company-in-nigeria/,types-of-company-in-nigeria,Types of Companies in Nigeria,Types of Companies in Nigeria,"Introduction Quality, not quantity We have made quality our habit. It’s not something that we just strive for – we live by this principle every day. TYPES OF COMPANY IN NIGERIA. A company is a legal entity created by a",82,14421,selected for Sprint 10J recovery,not currently redirected,yes,yes,types-of-company-in-nigeria,/resources/blog/types-of-company-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
9,37837,https://chamanlawfirm.com/contract-breach-and-remedies/,contract-breach-and-remedies,Contract Breach and Remedies in Nigeria,Contract Breach And Remedies; Contract Breach in Nigeria: Powerful Remedies to Protect Your Rights and Avoid Costly Legal Pitfalls,Contract Breach And Remedies Contract Breach in Nigeria: Powerful Remedies to Protect Your Rights...,82,6175,selected for Sprint 10J recovery,not currently redirected,yes,yes,contract-breach-and-remedies,/resources/blog/contract-breach-and-remedies,candidate for controlled approval,pending exact article redirect after approval,
10,10208,https://chamanlawfirm.com/tax-clearance-certificate-in-nigeria/,tax-clearance-certificate-in-nigeria,Tax Clearance Certificate in Nigeria,The best way to get tax clearance certificate 2025,"In Nigeria, it is the responsibility of Federal Inland Revenue Service or State Inland Revenue Services to issue tax clearance certificate to applicants.",81,28880,selected for Sprint 10J recovery,not currently redirected,yes,yes,tax-clearance-certificate-in-nigeria,/resources/blog/tax-clearance-certificate-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
11,62175,https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge/,how-to-calculate-and-pay-land-use-charge,How To Calculate And Pay Land Use Charge,Powerful Steps: How to Calculate and Pay Land Use Charge,"Land Use Charge -Discover what the Lagos Land Use Charge is, how it’s calculated, and the step-by-step process for paying it to stay compliant.",80,8298,selected for Sprint 10J recovery,not currently redirected,yes,yes,how-to-calculate-and-pay-land-use-charge,/resources/blog/how-to-calculate-and-pay-land-use-charge,hidden draft only,do not replace while hidden,"Disallowed Chaman Properties, luxury, casino, or off-brand signal detected."
12,61359,https://chamanlawfirm.com/selling-a-family-land-without-everyones-consent/,selling-a-family-land-without-everyones-consent,Selling A Family Land Without Everyones Consent,Powerful Steps: Selling a Family Land / Chaman Law Firm,Selling a Family Land Without Everyone’s Consent - Understand your rights and the legal process/ / implications involved. / Chaman Law Firm,79,7191,selected for Sprint 10J recovery,not currently redirected,yes,no,selling-a-family-land-without-everyones-consent,/resources/blog/selling-a-family-land-without-everyones-consent,hidden draft only,do not replace while hidden,No recoverable article-specific image found.
13,9229,https://chamanlawfirm.com/legalisation-authentication-of-marriage-certificate-in-nigeria/,legalisation-authentication-of-marriage-certificate-in-nigeria,Legalisation and Authentication of Marriage Certificates in Nigeria,Legalisation and Authentication of Marriage Certificates in Nigeria,"OUR STORY Quality, not quantity We have made quality our habit. It’s not something that we just strive for – we live by this principle every day. LEGALISATION/AUTHENTICATION OF MARRIAGE CERTIFICATE IN NIGERIA Authentic",77,5655,selected for Sprint 10J recovery,not currently redirected,yes,yes,legalisation-authentication-of-marriage-certificate-in-nigeria,/resources/blog/legalisation-authentication-of-marriage-certificate-in-nigeria,candidate for controlled approval,pending exact article redirect after approval,
14,48364,https://chamanlawfirm.com/the-morgage-sell-the-mortgaged-property/,the-morgage-sell-the-mortgaged-property,The Morgage Sell The Mortgaged Property,Powerful Steps: the Morgage Sell the Mortgaged Property,"Under What Circumstance can the Morgage Sell the Mortgaged Property, A mortgage is the transfer of the ownership of an asset by way of security..",75,4900,selected for Sprint 10J recovery,not currently redirected,yes,yes,the-morgage-sell-the-mortgaged-property,/resources/blog/the-morgage-sell-the-mortgaged-property,candidate for controlled approval,pending exact article redirect after approval,
