old URL,slug,title,approval decision,reason,author,image status,legal status,redirect status,sitemap status,notes
https://chamanlawfirm.com/how-to-appoint-a-company-secretary-in-nigeria,how-to-appoint-a-company-secretary-in-nigeria,How to Appoint a Company Secretary in Nigeria,approved in Sprint 11W,"passes source, image, metadata, author/canonical repair, category, legal-risk, duplicate, and redirect-source gates","Charles Chukwuma Nkwoka, Esq.",image present,low automated risk,eligible after live 200 and sitemap inclusion,expected after approval/revalidation,Sanity public approval applied
https://chamanlawfirm.com/what-are-the-requirements-for-compulsory-acquisition-of-land-in-nigeria,what-are-the-requirements-for-compulsory-acquisition-of-land-in-nigeria,What Are The Requirements For Compulsory Acquisition Of Land In Nigeria,approved in Sprint 11W,"passes source, image, metadata, author/canonical repair, category, legal-risk, duplicate, and redirect-source gates","Charles Chukwuma Nkwoka, Esq.",image present,low automated risk,eligible after live 200 and sitemap inclusion,expected after approval/revalidation,Sanity public approval applied
https://chamanlawfirm.com/land-documentation-excision-vs-gazette,land-documentation-excision-vs-gazette,Land Documentation Excision Vs Gazette,approved in Sprint 11W,"passes source, image, metadata, author/canonical repair, category, legal-risk, duplicate, and redirect-source gates","Charles Chukwuma Nkwoka, Esq.",image present,low automated risk,eligible after live 200 and sitemap inclusion,expected after approval/revalidation,Sanity public approval applied
https://chamanlawfirm.com/legally-terminate-shipping-contract-in-nigeria,legally-terminate-shipping-contract-in-nigeria,Legally Terminate Shipping Contract In Nigeria,approved in Sprint 11W,"passes source, image, metadata, author/canonical repair, category, legal-risk, duplicate, and redirect-source gates","Charles Chukwuma Nkwoka, Esq.",image present,low automated risk,eligible after live 200 and sitemap inclusion,expected after approval/revalidation,Sanity public approval applied
https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,landlord-and-tenant-rights-in-nigeria,A comprehensive guide on Landlord and Tenant Rights in Nigeria,already public,public canonical article already exists,"Charles Chukwuma Nkwoka, Esq.",image present,possible unsafe self-help wording; current-law or procedure-sensitive topic,no redirect to hidden draft,already public/in sitemap if approved,no public change unless selected
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,REQUIREMENTS FOR OBTAINING A CERTIFICATE OF OCCUPANCY (CofO) IN NIGERIA (LAGOS AND OGUN STATE),keep hidden,body block count below gate; source body too short for approval; featured image missing; alt text missing or weak; author reference needs correction; legacy URL already redirects to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy; not selected for Sprint 11W controlled editorial approval,"Charles Chukwuma Nkwoka, Esq.",image missing,low automated risk,no redirect to hidden draft,excluded while hidden,no public change unless selected
https://chamanlawfirm.com/cac-public-search-guide-nigeria/,cac-public-search-guide-nigeria,How to Use CAC Public Search for Your Business Registration,already public,public canonical article already exists,"Charles Chukwuma Nkwoka, Esq.",image missing,current-law or procedure-sensitive topic; unsupported outcome claim,no redirect to hidden draft,already public/in sitemap if approved,no public change unless selected
https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,the-jurisdiction-of-courts-in-nigeria,The Jurisdiction of Courts in Nigeria,already public,public canonical article already exists,"Charles Chukwuma Nkwoka, Esq.",image present,current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review,no redirect to hidden draft,already public/in sitemap if approved,no public change unless selected
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,the-concept-of-rule-of-law-in-nigeria,The Concept of Rule of Law In Nigeria,already public,public canonical article already exists,"Charles Chukwuma Nkwoka, Esq.",image present,unsupported outcome claim,no redirect to hidden draft,already public/in sitemap if approved,no public change unless selected
https://chamanlawfirm.com/types-of-tenant-in-nigeria/,types-of-tenant-in-nigeria,TYPES OF TENANT IN NIGERIA,already public,public canonical article already exists,"Charles Chukwuma Nkwoka, Esq.",image missing,current-law or procedure-sensitive topic,no redirect to hidden draft,already public/in sitemap if approved,no public change unless selected
