slug,sanity_document_id,approved,publishedAt,canonical,production_status,sitemap_status,duplicate_status,route_status,reason_missing,action,final_result
landlords-and-tenants-in-nigeria,chamanlawfirm.sprint10i.landlords-and-tenants-in-nigeria,true,2026-08-11T21:42:35.270Z,https://chamanlawfirm.com/resources/blog/landlords-and-tenants-in-nigeria,200,missing,unique_slug,live_200,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
how-to-calculate-land-use-charge-in-nigeria,chamanlawfirm.sprint10n.calculate-land-use-charge-chaman-law-firm,true,2026-08-10T18:30:00.000Z,https://chamanlawfirm.com/resources/blog/how-to-calculate-land-use-charge-in-nigeria,404,missing,unique_slug,route_404,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
rights-of-an-illegitimate-child-in-nigeria,chamanlawfirm.sprint10j.right-of-an-illegitimate-child,true,2026-08-09T18:30:00.000Z,https://chamanlawfirm.com/resources/blog/rights-of-an-illegitimate-child-in-nigeria,200,missing,unique_slug,live_200,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
what-is-stamping-and-up-stamping-of-a-mortgage-document,chamanlawfirm.phase5c.stamping-and-up-stamping-of-a-mortgage-document,true,2026-07-27T18:30:00.000Z,https://chamanlawfirm.com/resources/blog/what-is-stamping-and-up-stamping-of-a-mortgage-document,200,missing,unique_slug,live_200,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
void-and-voidable-marriages-in-nigeria,chamanlawfirm.phase5c.void-and-voidable-marriages-in-nigeria,true,2026-07-15T18:30:00.000Z,https://chamanlawfirm.com/resources/blog/void-and-voidable-marriages-in-nigeria,404,missing,unique_slug,route_404,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
how-do-i-legally-evict-a-tenant-in-ogun-state,chamanlawfirm.phase5c.how-do-i-legally-evict-a-tenant-in-ogun-state,true,2026-07-14T19:00:00.000Z,https://chamanlawfirm.com/resources/blog/how-do-i-legally-evict-a-tenant-in-ogun-state,200,missing,unique_slug,live_200,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
debt-recovery-and-consumer-protection-laws,chamanlawfirm.sprint10q.debt-recovery-and-consumer-protection-laws,true,2026-07-10T19:30:00.000Z,https://chamanlawfirm.com/resources/blog/debt-recovery-and-consumer-protection-laws,200,missing,unique_slug,live_200,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
ultimate-legal-guide-to-buying-land-in-nigeria,chamanlawfirm.sprint10o.ultimate-legal-guide-to-buying-land-in-niger,true,2026-07-09T18:30:00.000Z,https://chamanlawfirm.com/resources/blog/ultimate-legal-guide-to-buying-land-in-nigeria,200,missing,unique_slug,live_200,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
legal-aspects-of-employment-contracts,chamanlawfirm.sprint10k.legal-aspects-of-employment-contracts,true,2026-07-07T19:00:00.000Z,https://chamanlawfirm.com/resources/blog/legal-aspects-of-employment-contracts,200,missing,unique_slug,live_200,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
obtaining-a-certificate-of-occupancy-in-ogun-state,chamanlawfirm.sprint10k.obtaining-a-c-of-o-in-ogun-state,true,2026-07-07T19:00:00.000Z,https://chamanlawfirm.com/resources/blog/obtaining-a-certificate-of-occupancy-in-ogun-state,200,missing,unique_slug,live_200,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
how-to-verify-a-property-title-in-lagos,chamanlawfirm.sprint10k.verify-a-property-title-in-lagos,true,2024-12-25T18:00:31.000Z,https://chamanlawfirm.com/resources/blog/how-to-verify-a-property-title-in-lagos,200,missing,unique_slug,live_200,token_visible_not_public_api_visible,remove_from_public_count_and_preserve_legacy_redirect,EXCLUDED_FROM_PUBLIC_SITEMAP_CANONICALS
