priority rank,old URL,old title,old content type,page type,current status,GSC clicks,GSC impressions,average position,source body available,image available,current redirect status,Sanity public status,Sanity hidden/draft status,duplicate/cannibalization risk,legal/current-law risk,recommended action,recommended final URL,canonical URL,sitemap status,SEO/AEO/GEO opportunity,priority score,notes
1,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria,Landlord And Tenant Rights In Nigeria,property/title,blog,redirect configured to /resources/blog/landlord-and-tenant-rights-in-nigeria,1579,59489,6.5,yes,yes,configured to /resources/blog/landlord-and-tenant-rights-in-nigeria,approved public,hidden/unapproved,low - public canonical target exists,high - lawyer review required before publication,already redirected,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria,included,answer block; FAQs where useful; practice-area links; consultation CTA,10139,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
2,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,Obtaining A Certificate Of Occupancy C Of O,property/title,blog,redirect configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,1173,39662,3.4,yes,not confirmed,configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,not public,hidden/unapproved,medium - compare against live practice/blog pages,medium - current-law verification required before publication,already redirected,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,included,answer block; FAQs where useful; practice-area links; consultation CTA,7585,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
3,https://chamanlawfirm.com/cac-public-search-guide-nigeria,CAC Public Search Guide Nigeria,corporate/commercial,blog,redirect configured to /resources/blog/cac-public-search-guide-nigeria,1009,77699,8.95,yes,yes,configured to /resources/blog/cac-public-search-guide-nigeria,approved public,hidden/unapproved,low - public canonical target exists,medium - current-law verification required before publication,already redirected,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria,included,answer block; FAQs where useful; practice-area links; consultation CTA,6901,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
4,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,general legal education,blog,hidden Sanity record; old URL unresolved,763,51092,8.05,yes,yes,not configured,not public,hidden/unapproved,medium - compare against live practice/blog pages,medium - current-law verification required before publication,restore as blog after review,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,not included,answer block; FAQs where useful; practice-area links; consultation CTA,5309,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
5,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria,The Jurisdiction Of Courts In Nigeria,litigation/ADR,blog,redirect configured to /resources/blog/the-jurisdiction-of-courts-in-nigeria,770,40707,17.01,yes,yes,configured to /resources/blog/the-jurisdiction-of-courts-in-nigeria,approved public,hidden/unapproved,low - public canonical target exists,high - lawyer review required before publication,already redirected,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria,included,answer block; FAQs where useful; practice-area links; consultation CTA,4997,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
6,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,general legal education,blog,hidden Sanity record; old URL unresolved,731,34973,8.93,yes,not confirmed,not configured,not public,hidden/unapproved,medium - compare against live practice/blog pages,high - lawyer review required before publication,restore as blog after review,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,not included,answer block; FAQs where useful; practice-area links; consultation CTA,4956,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
7,https://chamanlawfirm.com/about-us,About Us,general legal education,static,redirect configured to /about,733,41803,6.17,not confirmed,not confirmed,configured to /about,not public,none detected,unknown,low/medium - editorial legal review required,already redirected,https://chamanlawfirm.com/about,https://chamanlawfirm.com/about,included,service answer block; process steps; FAQs; contact CTA,4886,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
8,https://chamanlawfirm.com/types-of-tenant-in-nigeria,Types Of Tenant In Nigeria,property/title,blog,redirect configured to /resources/blog/types-of-tenant-in-nigeria,758,23316,8.3,yes,yes,configured to /resources/blog/types-of-tenant-in-nigeria,approved public,hidden/unapproved,low - public canonical target exists,medium - current-law verification required before publication,already redirected,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria,included,answer block; FAQs where useful; practice-area links; consultation CTA,4851,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
9,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,general legal education,blog,hidden Sanity record; old URL unresolved,689,48652,8.56,yes,not confirmed,not configured,not public,hidden/unapproved,medium - compare against live practice/blog pages,high - lawyer review required before publication,restore as blog after review,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,not included,answer block; FAQs where useful; practice-area links; consultation CTA,4841,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
10,https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants,Proper Steps To Eviction Of Tenants,property/title,blog,redirect configured to /resources/blog/proper-steps-to-eviction-of-tenants,708,32444,9.43,yes,yes,configured to /resources/blog/proper-steps-to-eviction-of-tenants,approved public,hidden/unapproved,low - public canonical target exists,high - lawyer review required before publication,already redirected,https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants,https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants,included,answer block; FAQs where useful; practice-area links; consultation CTA,4642,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
