priority rank,old URL,old title,old meta title,old meta description,old content type,current live status,Google ranking/impression/click evidence,featured snippet evidence,old image availability,best new route,whether to preserve same URL or redirect,redirect target,canonical URL,sitemap inclusion,legal safety status,image status,approval status,recovery classification,notes
"1","https://chamanlawfirm.com/","Home","","","general legal education","live canonical/static","1598 clicks; 78655 impressions; avg position 25.32 from local GSC Pages.csv","not available locally","legacy image not confirmed","/","preserve same URL","","https://chamanlawfirm.com/","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","merge into existing stronger live page",""
"4","https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/","Obtaining A Certificate Of Occupancy C Of O","The best way to obtain Certificate of Occupancy in Nigeria","Certificate of Occupancy In Nigeria, for a person to successfully establish ownership or acquisition of land or landed property,","property/title","redirect configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy","1173 clicks; 39662 impressions; avg position 4.42 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/how-do-i-obtain-a-certificate-of-occupancy","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy","included","medium - verify current law and facts before publication","image recovery needed","hidden/not approved","restore as blog post",""
"7","https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/","The Concept Of Rule Of Law In Nigeria","THE CONCEPT OF RULE OF LAW IN NIGERIA","THE CONCEPT OF RULE OF LAW IN NIGERIA, Rule of law is a legal maxim that suggests that no one is above the law and governmental decisions....","general legal education","hidden Sanity draft; do not redirect","763 clicks; 51092 impressions; avg position 8.05 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/the-concept-of-rule-of-law-in-nigeria","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","hidden/not approved","keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",""
"9","https://chamanlawfirm.com/about-us/","About Us","","","general legal education","redirect configured to /about","733 clicks; 41803 impressions; avg position 6.17 from local GSC Pages.csv","not available locally","legacy image not confirmed","/about","redirect old URL to best new route","/about","https://chamanlawfirm.com/about","included","low/medium - editorial and legal review still required","image recovery needed","not restored","redirect one-hop to closest exact live equivalent",""
"10","https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/","How To Change Car Ownership In Nigeria","","","general legal education","live 404","731 clicks; 34973 impressions; avg position 8.93 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/how-to-change-car-ownership-in-nigeria","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"12","https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/","How To Track A Stolen Phone In Nigeria","","","general legal education","live 404","689 clicks; 48652 impressions; avg position 8.56 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/how-to-track-a-stolen-phone-in-nigeria","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"15","https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/","List Of Government Agencies Of Nigeria","","","general legal education","live 404","608 clicks; 70716 impressions; avg position 15.11 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/list-of-government-agencies-of-nigeria","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
"19","https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/","Gain Nigerian Citizenship By Marriage","Powerful step: Gain Nigerian Citizenship by Marriage","Learn how a foreign wife can gain Nigerian citizenship by marriage, including eligibility, legal process, and documents required for application.","immigration","redirect configured to /practice-areas/immigration-services","505 clicks; 34961 impressions; avg position 11.08 from local GSC Pages.csv","not available locally","legacy image not confirmed","/practice-areas/immigration-services","redirect old URL to best new route","","https://chamanlawfirm.com/practice-areas/immigration-services","included","high - lawyer review required before publication","image recovery needed","hidden/not approved","merge into existing stronger live page",""
"23","https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw/","Steps On How To Confidently Report Acrimelaw","Steps On How To Confidently Report Acrimelaw","Introduction Reporting a crime is a crucial step in ensuring justice and maintaining public safety. In Nigeria, the process of reporting a crime can be straightforward, but understanding the appropriate steps can help","general legal education","hidden Sanity draft; do not redirect","414 clicks; 30229 impressions; avg position 5.26 from local GSC Pages.csv","not available locally","Sanity image present","/resources/blog/steps-on-how-to-confidently-report-acrimelaw","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image and alt present in Sanity","hidden/not approved","keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",""
"27","https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria/","Apply For Drivers Licence In Nigeria","","","general legal education","live 404","373 clicks; 102871 impressions; avg position 10.7 from local GSC Pages.csv","not available locally","legacy image not confirmed","/resources/blog/apply-for-drivers-licence-in-nigeria","redirect old URL to best new route","","https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria","not included until restored/approved or static target exists","low/medium - editorial and legal review still required","image recovery needed","not restored","restore as blog post",""
