old URL,slug,title,complete body,short/thin body risk,plugin debris,unsafe legal advice,outdated legal statement,overpromising,misleading free-service wording,self-help eviction risk,family-law sensitivity,property-law accuracy,corporate/CAC accuracy,immigration accuracy,probate/debt recovery accuracy,litigation/procedure accuracy,duplicate/cannibalization risk,approval readiness,notes
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,yes,no,not detected,not detected,not detected,yes,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,high - likely cannibalization with existing stronger content,not ready,not selected by Sprint 11J image-safe public gate; overpromising; high - likely cannibalization with existing stronger content
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,no,yes,not detected,not detected,not detected,not detected,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,low/medium - compare against existing live content before publication,not ready,"not selected by Sprint 11J image-safe public gate; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,no,yes,not detected,not detected,manual review required,not detected,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,low/medium - compare against existing live content before publication,not ready,"not selected by Sprint 11J image-safe public gate; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended; high - lawyer review required before approval"
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,no,yes,not detected,not detected,not detected,not detected,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,low/medium - compare against existing live content before publication,not ready,"not selected by Sprint 11J image-safe public gate; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Apply For Drivers Licence In Nigeria,no,yes,not detected,not detected,not detected,not detected,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,low/medium - compare against existing live content before publication,not ready,"not selected by Sprint 11J image-safe public gate; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,yes,no,not detected,not detected,manual review required,not detected,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,medium - compare hidden draft against public practice/page before approval,not ready,not selected by Sprint 11J image-safe public gate; high - lawyer review required before approval
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,The Overall List Of Federal Laws In Nigeria,no,yes,not detected,not detected,not detected,not detected,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,high - likely cannibalization with existing stronger content,not ready,"not selected by Sprint 11J image-safe public gate; body too short or missing; internal link missing in source; CTA will be added, but manual link review recommended; high - likely cannibalization with existing stronger content"
https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,What Are The Sources Of Nigerian Law,no,yes,not detected,not detected,not detected,not detected,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,low/medium - compare against existing live content before publication,not ready,"not selected by Sprint 11J image-safe public gate; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,Duties Of Correctional Institutions In Nigeria,no,yes,not detected,not detected,manual review required,not detected,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,low/medium - compare against existing live content before publication,not ready,"not selected by Sprint 11J image-safe public gate; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended; high - lawyer review required before approval"
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,The Role Of Technology In Nigerian Education,no,yes,not detected,not detected,not detected,not detected,not detected,not detected,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,not primary issue,low/medium - compare against existing live content before publication,not ready,"not selected by Sprint 11J image-safe public gate; hidden/unapproved Sanity source document missing; body too short or missing; publishedAt missing or future-dated; featured image missing; alt text missing/review needed; category/practice relationship missing; SEO title missing; meta description missing; internal link missing in source; CTA will be added, but manual link review recommended"
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,Stamping And Up Stamping Of A Mortgage Document,yes,no,not detected,not detected,manual review required,not detected,not detected,not detected,not primary issue,lawyer review required,not primary issue,not primary issue,not primary issue,not primary issue,medium - compare hidden draft against public practice/page before approval,not ready,not selected by Sprint 11J image-safe public gate; medium - current-law review required but no automated unsafe wording detected
