old URL,old title,old meta title,old meta description,old content type,likely page type,current status,GSC clicks,GSC impressions,average position,backlink evidence,featured-snippet evidence,ranking evidence,current redirect target,Sanity public status,Sanity hidden/draft status,old image availability,recommended action,recommended final URL,canonical URL,sitemap inclusion status,image status,legal risk,duplicate/cannibalization risk,SEO priority score,AEO/GEO opportunity,notes
https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria,Landlord And Tenant Rights In Nigeria,Landlord and Tenant Rights in Nigeria: Complete Legal Guide,"Understand your rights as a landlord or tenant in Nigeria. Learn about tenancy laws, and rent obligations under Nigerian property law.",property/title,blog,redirect configured to /resources/blog/landlord-and-tenant-rights-in-nigeria,1579,59489,6.5,not available locally,not available locally,not available locally,/resources/blog/landlord-and-tenant-rights-in-nigeria,approved public,none detected,image and alt present in Sanity,exact redirect to existing live equivalent,/resources/blog/landlord-and-tenant-rights-in-nigeria,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria,included,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,8580,"answer block, FAQs, lawyer CTA, practice-area links",Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,Obtaining A Certificate Of Occupancy C Of O,The best way to obtain Certificate of Occupancy in Nigeria,"Certificate of Occupancy In Nigeria, for a person to successfully establish ownership or acquisition of land or landed property,",property/title,blog,redirect configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,1173,39662,3.4,not available locally,not available locally,not available locally,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,not public,hidden/unapproved,image recovery needed,exact redirect to existing live equivalent,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,included,image recovery needed,medium - verify current law and facts before publication,medium - compare hidden draft against public practice/page before approval,6412,"answer block, FAQs, lawyer CTA, practice-area links",Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
https://chamanlawfirm.com/cac-public-search-guide-nigeria,CAC Public Search Guide Nigeria,How to Use CAC Public Search in Nigeria | Chaman Law Firm,"Learn how CAC public search helps verify Nigerian company information, what it can and cannot prove, and when to request legal due diligence.",corporate/commercial,blog,redirect configured to /resources/blog/cac-public-search-guide-nigeria,1009,77699,8.95,not available locally,not available locally,not available locally,/resources/blog/cac-public-search-guide-nigeria,approved public,none detected,image and alt present in Sanity,exact redirect to existing live equivalent,/resources/blog/cac-public-search-guide-nigeria,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria,included,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,5912,"answer block, FAQs, lawyer CTA, practice-area links",Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,"THE CONCEPT OF RULE OF LAW IN NIGERIA, Rule of law is a legal maxim that suggests that no one is above the law and governmental decisions....",general legal education,blog,hidden Sanity draft; do not redirect,763,51092,8.05,not available locally,not available locally,not available locally,,not public,hidden/unapproved,image recovery needed,keep hidden pending image/source repair,/resources/blog/the-concept-of-rule-of-law-in-nigeria,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,not checked,image recovery needed,low/medium - editorial and legal review still required,medium - compare hidden draft against public practice/page before approval,4536,"answer block, FAQs, lawyer CTA, practice-area links",Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria,The Jurisdiction Of Courts In Nigeria,The Jurisdiction of Courts in Nigeria | Chaman Law Firm,"Understand how Nigerian court jurisdiction works, why the correct forum matters, and why legal advice is important before filing a claim.",litigation/ADR,blog,redirect configured to /resources/blog/the-jurisdiction-of-courts-in-nigeria,770,40707,17.01,not available locally,not available locally,not available locally,/resources/blog/the-jurisdiction-of-courts-in-nigeria,approved public,none detected,image and alt present in Sanity,exact redirect to existing live equivalent,/resources/blog/the-jurisdiction-of-courts-in-nigeria,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria,included,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,4287,"answer block, FAQs, lawyer CTA, practice-area links",Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,,,general legal education,blog,live 404,731,34973,8.93,not available locally,not available locally,not available locally,,not public,none detected,image recovery needed,restore as blog post,/resources/blog/how-to-change-car-ownership-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,not checked,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,4215,"answer block, FAQs, lawyer CTA, practice-area links",Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
https://chamanlawfirm.com/about-us,About Us,,,general legal education,static,redirect configured to /about,733,41803,6.17,not available locally,not available locally,not available locally,/about,not public,none detected,image recovery needed,exact redirect to existing live equivalent,/about,https://chamanlawfirm.com/about,included,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,4173,"service answer block, process steps, FAQs, consultation CTA",source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,,,general legal education,blog,live 404,689,48652,8.56,not available locally,not available locally,not available locally,,not public,none detected,image recovery needed,restore as blog post,/resources/blog/how-to-track-a-stolen-phone-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,not checked,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,4142,"answer block, FAQs, lawyer CTA, practice-area links",Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
https://chamanlawfirm.com/types-of-tenant-in-nigeria,Types Of Tenant In Nigeria,Types of Tenants in Nigeria | Chaman Law Firm,"Understand common types of tenants in Nigeria, including fixed-term and periodic tenancies, and why tenancy classification affects notices and rights.",property/title,blog,redirect configured to /resources/blog/types-of-tenant-in-nigeria,758,23316,8.3,not available locally,not available locally,not available locally,/resources/blog/types-of-tenant-in-nigeria,approved public,none detected,image and alt present in Sanity,exact redirect to existing live equivalent,/resources/blog/types-of-tenant-in-nigeria,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria,included,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,4113,"answer block, FAQs, lawyer CTA, practice-area links",Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,,,general legal education,blog,live 404,608,70716,15.11,not available locally,not available locally,not available locally,,not public,none detected,image recovery needed,restore as blog post,/resources/blog/list-of-government-agencies-of-nigeria,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,not checked,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,3897,"answer block, FAQs, lawyer CTA, practice-area links",Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
