URL,blocker_type,description,can_codex_fix,manual_action_required,exact_manual_location,priority,blocks_publication,status
https://chamanlawfirm.com/transfer-property-ownership-to-my-children,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/property-acquisition-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/property-titles-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/land-acquisition-in-nigeria-2,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-do-i-resolve-landlord-tenant-disputes,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/title-search-and-land-ownership-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/what-is-community-land-in-nigeria-and-how-is-it-understood,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/the-land-use-act-on-real-estate-transactions,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/what-is-trespass-to-land,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-does-the-land-use-act-impact-housing-development-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/what-documents-should-i-check-before-purchasing-land-in-ogun-state,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/what-are-the-legal-steps-to-evict-a-tenant,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-do-i-draft-a-tenancy-agreement,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/powerful-steps-probate-lawyer-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/ultimate-guide-how-to-apply-and-obtain-letter-of-administration-in-lagos-state-2025-update-authored-by-charles-chukwuma-nkwoka-esq-ksm-llb-bl-llm-cmc-fimc-aicmc-aciarb-managing-partner,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/retention-money-in-construction-contracts,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/statute-of-limitations-on-debt-in-nigeria-2,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/litigation-lawyers-in-nigeria,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/nigerian-court-system-challenges,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
https://chamanlawfirm.com/how-to-navigate-the-federal-high-court,LEGAL,recover exact source or merge into stronger page,no,Principal/lawyer should review the exact disputed proposition before publication,Sanity post/source record and current Nigerian legal source review,high,yes,open
