old URL,slug,title,original featured image found yes/no,original body image found yes/no,fallback image assigned yes/no,Sanity image reference,image topic category,alt text,image relevance,repeated image risk,Chaman Properties contamination risk,approval readiness,notes
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,The Concept of Rule of Law In Nigeria,yes,not confirmed,yes - patched,image-e599645c56d2ead18080cccef30b2dde38d7c827-817x428-jpg,litigation and dispute resolution,The Concept of Rule of Law In Nigeria legal guidance for litigation and dispute resolution | Chaman Law Firm,matched to litigation and dispute resolution,not detected,not detected,approved,
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List of Government Agencies of Nigeria,no,yes,no,,general legal education,,missing or unsafe to assign,not detected,not detected,keep hidden,"featured image missing; alt text missing/review needed; internal link missing; consultation CTA missing; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,no,not confirmed,no,,general legal education,,missing or unsafe to assign,not detected,not detected,keep hidden,"featured image missing; alt text missing/review needed; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,no,not confirmed,no,,general legal education,,missing or unsafe to assign,not detected,not detected,keep hidden,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,no,not confirmed,no,,general legal education,,missing or unsafe to assign,not detected,not detected,keep hidden,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,yes,yes,no,image-fbf940b860fca8b5610edad98aa19d4bb579df71-259x195-jpg,general legal education,Steps On How To Confidently Report Acrimelaw legal guide | Chaman Law Firm,matched to general legal education,not detected,not detected,keep hidden,"high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,The Overall List of Federal Laws In Nigeria,yes,not confirmed,no,image-ca0eee78ff2afb96b43086260a5ae1deb8ab26a8-1080x608-webp,litigation and dispute resolution,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,matched to litigation and dispute resolution,not detected,not detected,keep hidden,source body short
https://chamanlawfirm.com/the-nigerian-legal-system,the-nigerian-legal-system,The Strengths and Weaknesses of the Nigerian Legal System,yes,yes,yes - patched,image-ad1e21fe2d67c17ee019b8fb90ca4f7e9c740510-1200x675-jpg,litigation and dispute resolution,The Strengths and Weaknesses of the Nigerian Legal System legal guidance for litigation and dispute resolution | Chaman Law Firm,matched to litigation and dispute resolution,not detected,not detected,approved,
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are the Duties of Correctional Institutions In Nigeria?,no,not confirmed,no,,general legal education,,missing or unsafe to assign,not detected,not detected,keep hidden,"featured image missing; alt text missing/review needed; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Learning: the Impact of Technology On Nigerian Education,no,yes,no,,general legal education,,missing or unsafe to assign,not detected,yes,keep hidden,"featured image missing; alt text missing/review needed; property-sales/luxury wording; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/proven-steps-the-canons-of-interpretation,proven-steps-the-canons-of-interpretation,What Are the Canons of Interpretation,no,not confirmed,no,,general legal education,,missing or unsafe to assign,not detected,not detected,keep hidden,featured image missing; alt text missing/review needed
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping and Up-Stamping of A Mortgage Document,yes,not confirmed,no,image-0b53d32653a89d6f01d944a79c1fff125afdfd46-1536x1024-png,notary public,Stamping And Up Stamping Of A Mortgage Document | Chaman Law Firm,matched to notary public,not detected,not detected,keep hidden,"internal link missing; consultation CTA missing; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/land-use-act-1978,land-use-act-1978,Understanding the Land Use Act: How It Affects You,yes,not confirmed,yes - patched,image-42cb9df07e572ee9c4fd361caeeb0350f894cf36-614x309-jpg,probate and estate administration,Understanding the Land Use Act: How It Affects You legal guidance for probate and estate administration | Chaman Law Firm,matched to probate and estate administration,not detected,not detected,keep hidden,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/how-to-obtain-tax-clearance-certificate,how-to-obtain-tax-clearance-certificate,How To Obtain Tax Clearance Certificate,yes,not confirmed,no,image-506cad03972282b82faf8d62f13b14e534b349df-768x456-jpg,corporate and commercial law,How To Obtain Tax Clearance Certificate legal guide | Chaman Law Firm,matched to corporate and commercial law,not detected,not detected,keep hidden,"medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/nigeria-prohibited-items-list,nigeria-prohibited-items-list,Truths Behind Nigeria'S Prohibited Items List; What You Must Know!,no,not confirmed,no,,general legal education,,missing or unsafe to assign,not detected,not detected,keep hidden,"featured image missing; alt text missing/review needed; medium risk, needs Principal/lawyer review; not in Sprint 11N low-risk concept subset"
https://chamanlawfirm.com/landlords-and-tenants-in-nigeria,landlords-and-tenants-in-nigeria,Landlords and Tenants In Nigeria,yes,yes,no,image-ccb78afe5cbb8b25a65e50fe21bb85149aaa046f-1170x694-webp,probate and estate administration,Landlords And Tenants In Nigeria legal guide | Chaman Law Firm,matched to probate and estate administration,not detected,yes,keep hidden,"property-sales/luxury wording; unsafe self-help wording; high risk, keep hidden; not in Sprint 11N low-risk concept subset"
