"priority","old_url","new_url","slug","old_url_evidenced","preview_target_url","preview_status","in_sitemap","redirect_type","activation_status","homepage_redirect","unrelated_content","chaman_properties_content","notes"
"1","https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/","https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria","landlord-and-tenant-rights-in-nigeria","yes","https://chaman-law-firm-website.vercel.app/resources/blog/landlord-and-tenant-rights-in-nigeria","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"2","https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/","https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria","the-jurisdiction-of-courts-in-nigeria","yes","https://chaman-law-firm-website.vercel.app/resources/blog/the-jurisdiction-of-courts-in-nigeria","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"3","https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/","https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants","proper-steps-to-eviction-of-tenants","yes","https://chaman-law-firm-website.vercel.app/resources/blog/proper-steps-to-eviction-of-tenants","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"4","https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/","https://chamanlawfirm.com/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm","the-ogun-state-tenancy-law-chaman-law-firm","yes","https://chaman-law-firm-website.vercel.app/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"5","https://chamanlawfirm.com/building-permit-approval-in-ogun-state/","https://chamanlawfirm.com/resources/blog/building-permit-approval-in-ogun-state","building-permit-approval-in-ogun-state","yes","https://chaman-law-firm-website.vercel.app/resources/blog/building-permit-approval-in-ogun-state","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"6","https://chamanlawfirm.com/cac-public-search-guide-nigeria/","https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria","cac-public-search-guide-nigeria","yes","https://chaman-law-firm-website.vercel.app/resources/blog/cac-public-search-guide-nigeria","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"7","https://chamanlawfirm.com/types-of-tenant-in-nigeria/","https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria","types-of-tenant-in-nigeria","yes","https://chaman-law-firm-website.vercel.app/resources/blog/types-of-tenant-in-nigeria","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"8","https://chamanlawfirm.com/how-to-change-name-with-deed-poll/","https://chamanlawfirm.com/resources/blog/how-to-change-name-with-deed-poll","how-to-change-name-with-deed-poll","yes","https://chaman-law-firm-website.vercel.app/resources/blog/how-to-change-name-with-deed-poll","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"9","https://chamanlawfirm.com/ways-to-prove-ownership-of-land/","https://chamanlawfirm.com/resources/blog/ways-to-prove-ownership-of-land","ways-to-prove-ownership-of-land","yes","https://chaman-law-firm-website.vercel.app/resources/blog/ways-to-prove-ownership-of-land","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"10","https://chamanlawfirm.com/how-to-notarize-a-document-in-nigeria/","https://chamanlawfirm.com/resources/blog/how-to-notarize-a-document-in-nigeria","how-to-notarize-a-document-in-nigeria","yes","https://chaman-law-firm-website.vercel.app/resources/blog/how-to-notarize-a-document-in-nigeria","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"11","https://chamanlawfirm.com/the-statutory-right-of-occupancy-in-nigeria/","https://chamanlawfirm.com/resources/blog/the-statutory-right-of-occupancy-in-nigeria","the-statutory-right-of-occupancy-in-nigeria","yes","https://chaman-law-firm-website.vercel.app/resources/blog/the-statutory-right-of-occupancy-in-nigeria","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"12","https://chamanlawfirm.com/transfer-of-company-shares-in-nigeria/","https://chamanlawfirm.com/resources/blog/transfer-of-company-shares-in-nigeria","transfer-of-company-shares-in-nigeria","yes","https://chaman-law-firm-website.vercel.app/resources/blog/transfer-of-company-shares-in-nigeria","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
"13","https://chamanlawfirm.com/statute-of-limitations-on-debt-in-nigeria/","https://chamanlawfirm.com/resources/blog/statute-of-limitations-on-debt-in-nigeria","statute-of-limitations-on-debt-in-nigeria","yes","https://chaman-law-firm-website.vercel.app/resources/blog/statute-of-limitations-on-debt-in-nigeria","200","yes","one-hop 301","pending - inactive","no","no","no","Approved public article only. Activate after final launch approval."
