slug,title,issue type,unsafe legal advice,overpromises,self-help risk,family sensitivity,land use/c-of-o current-law risk,category status,approval recommendation,notes
"can-a-landlord-increase-rent-arbitrarily-in-ogun","Can A Landlord Increase Rent Arbitrarily In Ogun","tenancy/current-law","review required","review required","medium","none","low","repaired to Property and Tenancy Law","revise before approval","Confirm current Ogun tenancy position, permissible rent increases, notice expectations, and avoid suggesting a universal rent-control rule."
"certificate-of-occupancy-in-rivers-state","Certificate Of Occupancy In Rivers State","state C of O/current process","review required","review required","low","none","high","repaired to Property and Real Estate Law; C of O; Property title and perfection","revise before approval","High duplicate risk with the live C of O article. Confirm Rivers State process, authorities, fees/process wording, and decide whether to merge rather than publish."
"challenges-of-implementing-the-land-use-act","Challenges Of Implementing The Land Use Act","Land Use Act/current-law","review required","review required","low","none","high","repaired to Property and Real Estate Law; Land ownership, title and registration","revise before approval","Confirm current Land Use Act analysis, avoid sweeping claims, and check cannibalization with existing property/title pages."
"how-do-i-legally-evict-a-tenant-in-ogun-state","How Do I Legally Evict a Tenant in Ogun State?","eviction/procedure","review required","review required","high","none","medium","repaired to Property and Tenancy Law; Tenancy, landlord and eviction","revise before approval","Lawyer must confirm statutory notices, court process, and remove any wording that could imply self-help eviction or lockout."
"how-to-calculate-stamp-duty-chaman-law-firm","How to calculate stamp duty for property transactions in Ogun?","tax/stamp-duty","review required","review required","low","none","medium","repaired to Property and Real Estate Law; Property finance and stamp duties","revise before approval","Confirm current rates/assessment process and avoid giving fixed fee/tax statements without qualification."
"land-grabbing-the-legal-consequences-of","Severe Repercussions of Land Grabbing in Nigeria: What Property Owners Must Know","land dispute/offence consequences","review required","review required","medium","none","medium","repaired to Property and Real Estate Law; Land disputes and trespass","revise before approval","Confirm current anti-land-grabbing law references, avoid overbroad criminal-liability claims, and expand thin older draft before approval."
"property-how-to-place-a-caveat","Property How To Place A Caveat","property title/procedure","review required","review required","medium","none","medium","repaired to Property and Real Estate Law; Property title and perfection","revise before approval","Clean title, confirm caveat procedure and jurisdictional fit, and ensure the article does not invite procedurally risky self-help filing."
"the-role-of-family-court-in-relation-to-child-protect-in-nigeria","THE ROLE OF FAMILY COURT IN RELATION TO CHILD PROTECTION IN NIGERIA","family/child protection","review required","review required","low","high","none","repaired to Family Law; Family litigation and child protection","revise before approval","Use sensitive child-protection language, confirm court/procedure accuracy, and avoid statements that could mislead vulnerable families."
"void-and-voidable-marriages-in-nigeria","Void and Voidable Marriages in Nigeria: Understanding Legal Implications","family/marriage validity","review required","review required","low","high","none","repaired to Family Law; Family, marriage and divorce","revise before approval","Confirm statutory grounds, limitations, and tone; avoid presenting complex family-law decisions as simple self-help steps."
"rights-of-a-property-owner-in-nigeria","Rights of a Property Owner in Nigeria","property rights/duplicate risk","review required","review required","medium","none","medium","not found in Sprint 10Z query","do not approve","Locate exact source first. If recovered, compare against existing property-rights, Land Use Act, and title-protection content before approval."
"letters-of-administration-in-nigeria","Letters of Administration in Nigeria","probate procedure","review required","review required","low","family sensitivity possible","none","not found in Sprint 10Z query","do not approve","Recover exact source first, then confirm probate process, eligible applicants, grant limitations, and whether family-sensitive wording is balanced."
"debt-recovery-lawyer-nigeria","Debt Recovery Lawyer Nigeria","service/static authority candidate","review required","review required","medium","none","none","not found in Sprint 10Z query","do not approve","Treat as future static authority/service planning. Avoid publishing as a thin blog or making outcome promises."
