old URL,slug,title,legal risk,current-law risk,duplicate/cannibalization risk,plugin debris cleanup,formatting repair,lawyer review decision,publication decision,notes
https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,landlord-and-tenant-rights-in-nigeria,A comprehensive guide on Landlord and Tenant Rights in Nigeria,possible unsafe self-help wording; current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,already public,public canonical article already exists
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,REQUIREMENTS FOR OBTAINING A CERTIFICATE OF OCCUPANCY (CofO) IN NIGERIA (LAGOS AND OGUN STATE),low automated risk,low automated risk,redirect conflict: /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,clear,needs body repair,lawyer/manual cleanup required before approval,keep hidden,body block count below gate; source body too short for approval; featured image missing; alt text missing or weak; author reference needs correction; legacy URL already redirects to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy; not selected for Sprint 11V controlled editorial approval
https://chamanlawfirm.com/cac-public-search-guide-nigeria/,cac-public-search-guide-nigeria,How to Use CAC Public Search for Your Business Registration,current-law or procedure-sensitive topic; unsupported outcome claim,lawyer review required,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,already public,public canonical article already exists
https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,the-jurisdiction-of-courts-in-nigeria,The Jurisdiction of Courts in Nigeria,current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review,lawyer review required,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,already public,public canonical article already exists
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,the-concept-of-rule-of-law-in-nigeria,The Concept of Rule of Law In Nigeria,unsupported outcome claim,low automated risk,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,already public,public canonical article already exists
https://chamanlawfirm.com/types-of-tenant-in-nigeria/,types-of-tenant-in-nigeria,TYPES OF TENANT IN NIGERIA,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,already public,public canonical article already exists
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,keep hidden,featured image missing; alt text missing or weak; current-law or procedure-sensitive topic; not selected for Sprint 11V controlled editorial approval
https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,proper-steps-to-eviction-of-tenants,STEPS TO EVICTION OF TENANTS,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,already public,public canonical article already exists
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,current-law or procedure-sensitive topic; unsupported outcome claim,lawyer review required,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,keep hidden,featured image missing; alt text missing or weak; current-law or procedure-sensitive topic; unsupported outcome claim; not selected for Sprint 11V controlled editorial approval
https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/,the-ogun-state-tenancy-law-chaman-law-firm,Understanding the Ogun State Tenancy Law: A Comprehensive Guide,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,already public,public canonical article already exists
https://chamanlawfirm.com/building-permit-approval-in-ogun-state/,building-permit-approval-in-ogun-state,How to Get Building Permit Approval in Ogun State (Full Guide),current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict,clear,adequate block structure,lawyer/manual cleanup required before approval,already public,public canonical article already exists
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/,list-of-government-agencies-of-nigeria,List of Government Agencies of Nigeria,low automated risk,low automated risk,no configured redirect conflict,clear,needs body repair,lawyer/manual cleanup required before approval,already public,public canonical article already exists
