old URL,slug,title,current Sanity status,source body found yes/no,source body quality,WordPress export match yes/no,SQL/source record match yes/no,old HTML/body recovered yes/no,plugin debris present yes/no,short/thin content risk,duplicate public article match,recommended recovery action,approval readiness,notes
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,hidden/unapproved source exists,yes,complete,yes,yes,no,no,no,high - likely cannibalization with existing stronger content,keep hidden for lawyer/editorial review,not ready,overpromising; medium - current-law review required before approval; high - likely cannibalization with existing stronger content
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,featured image missing; alt text missing; medium - current-law review required before approval
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,featured image missing; alt text missing; overpromising; high - lawyer review required before approval
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,LIST OF GOVERNMENT AGENCIES OF NIGERIA,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,featured image missing; alt text missing; medium - current-law review required before approval
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Essential Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,featured image missing; alt text missing; medium - current-law review required before approval
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,hidden/unapproved source exists,yes,complete,yes,yes,no,no,no,medium - compare hidden draft against public practice/page before approval,keep hidden for lawyer/editorial review,not ready,high - lawyer review required before approval
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,hidden/unapproved source exists,yes,thin,yes,yes,no,no,yes,high - likely cannibalization with existing stronger content,keep hidden for lawyer/editorial review,not ready,body too short or missing; high - likely cannibalization with existing stronger content
https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,WHAT ARE THE SOURCES OF NIGERIAN LAW,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,medium - current-law review required before approval
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are The Duties Of Correctional Institutions In Nigeria?,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,featured image missing; alt text missing; high - lawyer review required before approval
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Revolutionizing Learning: The Powerful Impact Of Technology On Nigerian Education,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,featured image missing; alt text missing; property-sales/luxury wording; medium - current-law review required before approval
https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping And Up-Stamping Of A Mortgage Document,hidden/unapproved source exists,yes,complete,yes,yes,yes,no,no,medium - compare hidden draft against public practice/page before approval,keep hidden for lawyer/editorial review,not ready,medium - current-law review required before approval
https://chamanlawfirm.com/how-to-apply-for-certificate-of-good-conduct-in-nigeria,how-to-apply-for-certificate-of-good-conduct-in-nigeria,HOW TO APPLY FOR CERTIFICATE OF GOOD CONDUCT IN NIGERIA,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,featured image missing; alt text missing; medium - current-law review required before approval
https://chamanlawfirm.com/the-nigerian-legal-system,the-nigerian-legal-system,Cracking The Code: The Hidden Strengths And Weaknesses Of The Nigerian Legal System,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,medium - current-law review required before approval
https://chamanlawfirm.com/nigeria-prohibited-items-list,nigeria-prohibited-items-list,Shocking Truths Behind Nigeria'S Prohibited Items List; What You Must Know!,hidden source recovered,yes,complete,yes,yes,yes,no,no,low/medium - compare against existing live content before publication,keep hidden for lawyer/editorial review,not ready,featured image missing; alt text missing; medium - current-law review required before approval
https://chamanlawfirm.com/legal-implications-of-joint-property,legal-implications-of-joint-property,The Critical Legal Implications Of Joint Property Ownership In Nigeria,hidden/unapproved source exists,yes,complete,yes,yes,yes,no,no,medium - compare hidden draft against public practice/page before approval,keep hidden for lawyer/editorial review,not ready,featured image missing; alt text missing; property-sales/luxury wording; medium - current-law review required before approval
