source,slash_variant,status,target,target_status,redirect_count,chain,loop,homepage_dump,hidden_target,404_target,canonical_match,sitemap_target,result
/4-proven-steps-on-how-to-enforce-a-contract,/4-proven-steps-on-how-to-enforce-a-contract/,ERR,,200,0,no,no,no,no,no,not checked in redirect sample,no,REVIEW
/4-steps-on-how-to-deal-with-a-bad-landlordin,/4-steps-on-how-to-deal-with-a-bad-landlordin/,308,/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/5-steps-on-how-to-obtain-restraining-order,/5-steps-on-how-to-obtain-restraining-order/,ERR,,200,0,no,no,no,no,no,not checked in redirect sample,no,REVIEW
/5-vital-role-of-consumer-protection-agencies,/5-vital-role-of-consumer-protection-agencies/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/7-step-citizenship-application-in-nigeria,/7-step-citizenship-application-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/abandonment-and-withdrew-of-court-action,/abandonment-and-withdrew-of-court-action/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/accountability-in-corporate-governance,/accountability-in-corporate-governance/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/annulment-of-marriage-under-the-nigerian-law,/annulment-of-marriage-under-the-nigerian-law/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/appointment-of-arbitrators-in-nigeria,/appointment-of-arbitrators-in-nigeria/,ERR,,200,0,no,no,no,no,no,not checked in redirect sample,no,REVIEW
/banking-and-finance-law-in-lagos,/banking-and-finance-law-in-lagos/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/basic-procedure-for-dissolution-of-marriage,/basic-procedure-for-dissolution-of-marriage/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/business-name-and-a-company-limited-by-shares,/business-name-and-a-company-limited-by-shares/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/can-a-landlord-increase-rent-arbitrarily,/can-a-landlord-increase-rent-arbitrarily/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/can-a-landlord-increase-rent-arbitrarily-in-ogun,/can-a-landlord-increase-rent-arbitrarily-in-ogun/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/can-a-minor-enter-into-a-valid-contract-in-nigeria,/can-a-minor-enter-into-a-valid-contract-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/certificate-of-occupancy-in-rivers-state,/certificate-of-occupancy-in-rivers-state/,308,/resources/blog/certificate-of-occupancy-in-rivers-state,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/challenges-facing-the-nigerian-court-system,/challenges-facing-the-nigerian-court-system/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/charles-chukwuma-nkwoka,/charles-chukwuma-nkwoka/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/child-support-and-maintenance-payment,/child-support-and-maintenance-payment/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/communal-land-and-family-land,/communal-land-and-family-land/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/community-development-associations-law,/community-development-associations-law/,308,/resources/blog/community-development-associations-law,200,1,no,no,no,no,no,not checked in redirect sample,no,PASS
/complete-guide-to-probate-registry-in-lagos,/complete-guide-to-probate-registry-in-lagos/,ERR,,200,0,no,no,no,no,no,not checked in redirect sample,no,REVIEW
/conditions-for-granting-injunctions-and-types-of-injunctions,/conditions-for-granting-injunctions-and-types-of-injunctions/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/contract-breach-and-remedies,/contract-breach-and-remedies/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/corporate-affairs-commission-and-its-functions-in-nigeria,/corporate-affairs-commission-and-its-functions-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/corporate-affairs-commission-in-nigeria,/corporate-affairs-commission-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/corporate-governance-and-business-ethics,/corporate-governance-and-business-ethics/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/corporate-governance-and-ethical-responsibility,/corporate-governance-and-ethical-responsibility/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/corporate-governance-challenges-in-companies,/corporate-governance-challenges-in-companies/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/cost-of-building-approval-chaman-law-firm,/cost-of-building-approval-chaman-law-firm/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/customary-vs-statutory-marriage-in-nigeria,/customary-vs-statutory-marriage-in-nigeria/,308,/resources/blog/customary-vs-statutory-marriage-in-nigeria,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/deal-with-and-bad-tenant-as-a-landlord,/deal-with-and-bad-tenant-as-a-landlord/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/deed-of-assignment-in-nigeria,/deed-of-assignment-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/developer-fails-to-deliver-property,/developer-fails-to-deliver-property/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/difference-between-ownership-and-possession,/difference-between-ownership-and-possession/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/dissolution-of-marriage-under-the-nigeria-law,/dissolution-of-marriage-under-the-nigeria-law/,308,/resources/blog/dissolution-of-marriage-under-the-nigeria-law,ERR,1,no,no,no,no,no,n/a,no,REVIEW
/documents-apostilled-in-nigeria,/documents-apostilled-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/documents-to-verify-before-buying-property,/documents-to-verify-before-buying-property/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications,/domestic-violence-ground-for-dissolution-of-marriage-and-its-criminal-implications/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/duration-to-get-governors-consent,/duration-to-get-governors-consent/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/effect-of-witness-as-beneficiary-in-will,/effect-of-witness-as-beneficiary-in-will/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/employment-disputes-and-grievances,/employment-disputes-and-grievances/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/employment-law-7-compliance-for-nigerian,/employment-law-7-compliance-for-nigerian/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/enforcement-of-arbitral-award,/enforcement-of-arbitral-award/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/enforcement-of-arbitral-awards,/enforcement-of-arbitral-awards/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/family-courts-and-specialized-tribunals-2,/family-courts-and-specialized-tribunals-2/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/family-law-disputes-and-child-abduction,/family-law-disputes-and-child-abduction/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/family-law-lawyer-near-me,/family-law-lawyer-near-me/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/family-property-and-right-of-individual-member-in-family-property,/family-property-and-right-of-individual-member-in-family-property/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/gain-nigerian-citizenship-by-marriage,/gain-nigerian-citizenship-by-marriage/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/gallery,/gallery/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/get-the-top-legal-advice-from-experts-for-free,/get-the-top-legal-advice-from-experts-for-free/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
/government-acquired-lands-in-nigeria,/government-acquired-lands-in-nigeria/,ERR,,ERR,0,no,no,no,no,no,n/a,no,REVIEW
