old URL,slug,title,approval decision,reason,author,image status,legal status,redirect status,sitemap status,notes
https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,landlord-and-tenant-rights-in-nigeria,Landlord And Tenant Rights In Nigeria,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",candidate image present; verify relevance,blocked for lawyer/current-law review,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,Obtaining A Certificate Of Occupancy C Of O,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",image recovery required,blocked for lawyer/current-law review,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/cac-public-search-guide-nigeria/,cac-public-search-guide-nigeria,CAC Public Search Guide Nigeria,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",candidate image present; verify relevance,low/medium - editorial and legal review still required,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,the-jurisdiction-of-courts-in-nigeria,The Jurisdiction Of Courts In Nigeria,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",candidate image present; verify relevance,low/medium - editorial and legal review still required,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",image recovery required,low/medium - editorial and legal review still required,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/types-of-tenant-in-nigeria/,types-of-tenant-in-nigeria,Types Of Tenant In Nigeria,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",candidate image present; verify relevance,blocked for lawyer/current-law review,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",image recovery required,low/medium - editorial and legal review still required,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,proper-steps-to-eviction-of-tenants,Proper Steps To Eviction Of Tenants,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",candidate image present; verify relevance,blocked for lawyer/current-law review,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",image recovery required,low/medium - editorial and legal review still required,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/,the-ogun-state-tenancy-law-chaman-law-firm,The Ogun State Tenancy Law Chaman Law Firm,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",candidate image present; verify relevance,low/medium - editorial and legal review still required,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
https://chamanlawfirm.com/building-permit-approval-in-ogun-state/,building-permit-approval-in-ogun-state,Building Permit Approval In Ogun State,deferred,"Sprint 11T focused on static/service recovery; blog approval blocked until source body, image, alt text, legal-current review, and cannibalization gates pass.","Charles Chukwuma Nkwoka, Esq.",candidate image present; verify relevance,low/medium - editorial and legal review still required,no redirect to hidden draft,excluded while hidden,No blog post was approved automatically.
