old URL,slug,title,complete source body,clean formatting,unsafe legal claim,misleading free-service wording,duplicate/cannibalization risk,SEO title present,meta description present,canonical correct,image and alt text present,category/practice relationship present,CTA present,internal links present,author,approval status,redirect status,notes
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,yes,yes,not detected,not detected,high - likely cannibalization with existing stronger content,yes,yes,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,yes,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,overpromising; medium - current-law review required before approval; high - likely cannibalization with existing stronger content
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,yes,yes,not detected,not detected,low/medium - compare against existing live content before publication,yes,yes,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,featured image missing; alt text missing; medium - current-law review required before approval
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,yes,yes,not detected,not detected,low/medium - compare against existing live content before publication,yes,yes,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,featured image missing; alt text missing; overpromising; high - lawyer review required before approval
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,LIST OF GOVERNMENT AGENCIES OF NIGERIA,yes,yes,not detected,not detected,low/medium - compare against existing live content before publication,yes,yes,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,featured image missing; alt text missing; medium - current-law review required before approval
https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Essential Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,yes,yes,not detected,not detected,low/medium - compare against existing live content before publication,yes,yes,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,featured image missing; alt text missing; medium - current-law review required before approval
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,yes,yes,not detected,not detected,medium - compare hidden draft against public practice/page before approval,yes,yes,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,yes,Probate and Estate Administration,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,high - lawyer review required before approval
https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA,no,yes,not detected,not detected,high - likely cannibalization with existing stronger content,yes,yes,https://chamanlawfirm.com/resources/blog/the-overall-list-of-federal-laws-in-nigeria,yes,Litigation and Dispute Resolution,no,no,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,body too short or missing; high - likely cannibalization with existing stronger content
https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law,what-are-the-sources-of-nigerian-law,WHAT ARE THE SOURCES OF NIGERIAN LAW,yes,yes,not detected,not detected,low/medium - compare against existing live content before publication,yes,yes,https://chamanlawfirm.com/resources/blog/what-are-the-sources-of-nigerian-law,yes,Litigation and Dispute Resolution,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,medium - current-law review required before approval
https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are The Duties Of Correctional Institutions In Nigeria?,yes,yes,not detected,not detected,low/medium - compare against existing live content before publication,yes,yes,https://chamanlawfirm.com/resources/blog/duties-of-correctional-institutions-in-nigeria,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,featured image missing; alt text missing; high - lawyer review required before approval
https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Revolutionizing Learning: The Powerful Impact Of Technology On Nigerian Education,yes,yes,not detected,not detected,low/medium - compare against existing live content before publication,yes,yes,https://chamanlawfirm.com/resources/blog/the-role-of-technology-in-nigerian-education,no,General Legal Education,yes,yes,"Charles Chukwuma Nkwoka, Esq.",hidden,not eligible,featured image missing; alt text missing; property-sales/luxury wording; medium - current-law review required before approval
